row_label_raw,row_label_full,col_0,Bên cho vay,Loại tiền,Hạn mức,Lãi suất,Lãi suất_1,Tài sản đảm bảo,numeric__Bên cho vay,numeric__Loại tiền,numeric__Hạn mức,numeric__Lãi suất,numeric__Lãi suất_1,numeric__Tài sản đảm bảo
,,,Bên cho vay,Loại tiền,Hạn mức,30/9/2020,1/10/2019,Tài sản đảm bảo,,,,,,
i.,i.,i.,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương,VND,3.000 tỷ VND,"4,50% - 4,90%","5,50% - 6,30%","Quyền sử dụng đất, nhà cửa, vật kiến trúc, máy móc và thiết bị và phải thu của khách hàng",,,,,,
i.,i. > i.,i.,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương,USD,3.000 tỷ VND,"1,85% - 2,00%","3,60%","Quyền sử dụng đất, nhà cửa, vật kiến trúc, máy móc và thiết bị và phải thu của khách hàng",,,,,0.036000000000000004,
ii.,i. > ii.,ii.,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương,VND,1.697 tỷ VND,"4,50% - 5,00%","6,20%","Quyền sử dụng đất, máy móc và thiết bị và hàng tồn kho",,,,,0.062,
ii.,i. > ii.,ii.,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương,USD,1.697 tỷ VND,"1,80% - 2,10%","3,60%","Quyền sử dụng đất, máy móc và thiết bị và hàng tồn kho",,,,,0.036000000000000004,
iii.,i. > iii.,iii.,Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 2,VND,-,-,"6,00%","Hàng tồn kho và trái phiếu của Công ty; máy móc và thiết bị và một phần công trình xây dựng trên đất của Công ty TNHH Một Thành Viên Hoa Sen Nghệ An, công ty con",,,,,0.06,
iii.,i. > iii.,iii.,Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 2,VND,-,"4,20% - 4,50%","6,00%","Hàng tồn kho và trái phiếu của Công ty; máy móc và thiết bị và một phần công trình xây dựng trên đất của Công ty TNHH Một Thành Viên Hoa Sen Nghệ An, công ty con",,,,,0.06,
iii.,i. > iii.,iii.,Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 2,USD,1.500 tỷ VND,"3,00%",-,"Hàng tồn kho và trái phiếu của Công ty; máy móc và thiết bị và một phần công trình xây dựng trên đất của Công ty TNHH Một Thành Viên Hoa Sen Nghệ An, công ty con",,,,0.03,,
iv.,iv.,iv.,Ngân hàng TNHH MTV HSBC (Việt Nam),VND,40 triệu USD,"4,10% - 4,90%","5,80% - 6,15%","Hàng tồn kho, máy móc và thiết bị, quyền sử dụng đất và công trình xây dựng trên đất và một số tài sản cố định của Công ty TNHH Một Thành Viên Hoa Sen Bình Định, công ty con",,,,,,
v.,iv. > v.,v.,Ngân hàng TMCP Phát triển TP. Hồ Chí Minh,USD,800 tỷ VND,"1,80%","4,20%",Không có tài sản đảm bảo,,,,0.018000000000000002,0.042,
vi.,iv. > vi.,vi.,Ngân hàng Sinopac - Chi nhánh TP. Hồ Chí Minh,VND,3 triệu USD,"5,00%","5,90%",Không có tài sản đảm bảo,,,,0.05,0.059000000000000004,
vii.,vii.,vii.,Ngân hàng TNHH MTV UOB Việt Nam,VND,12 triệu USD,"4,00% - 4,20%","5,90% - 6,19%",Hàng tồn kho,,,,,,
vii.,vii. > vii.,vii.,Ngân hàng TNHH MTV UOB Việt Nam,USD,12 triệu USD,"1,64%",-,Hàng tồn kho,,,,0.016399999999999998,,
viii.,viii.,viii.,Ngân hàng TNHH MTV UOB Việt Nam,VND,3 triệu USD,"4,00% - 4,50%","4,20% - 4,50%",Hàng tồn kho,,,,,,
ix.,ix.,ix.,Ngân hàng Malayan Banking Berhad - Chi nhánh TP. Hồ Chí Minh,VND,4 triệu USD,"4,10% - 4,70%",-,Hàng tồn kho,,,,,,
ix.,ix. > ix.,ix.,Ngân hàng Malayan Banking Berhad - Chi nhánh TP. Hồ Chí Minh,USD,4 triệu USD,"1,80%","4,20%",Hàng tồn kho,,,,0.018000000000000002,0.042,
