row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020 và cho năm tài chính kết thúc cùng ngày,Hoạt động khai thác trồng rừng > Tại ngày 31 tháng 12 năm 2020 và cho năm tài chính kết thúc cùng ngày,Hoạt động thương mại > Tại ngày 31 tháng 12 năm 2020 và cho năm tài chính kết thúc cùng ngày,Sản xuất và kinh doanh MDF > Tại ngày 31 tháng 12 năm 2020 và cho năm tài chính kết thúc cùng ngày,Hoạt động cung cấp dịch vụ > Tại ngày 31 tháng 12 năm 2020 và cho năm tài chính kết thúc cùng ngày,Hoạt động khác > Tại ngày 31 tháng 12 năm 2020 và cho năm tài chính kết thúc cùng ngày,Loại trừ > Tại ngày 31 tháng 12 năm 2020 và cho năm tài chính kết thúc cùng ngày,Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2020 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động khai thác trồng rừng > Tại ngày 31 tháng 12 năm 2020 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động thương mại > Tại ngày 31 tháng 12 năm 2020 và cho năm tài chính kết thúc cùng ngày,numeric__Sản xuất và kinh doanh MDF > Tại ngày 31 tháng 12 năm 2020 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động cung cấp dịch vụ > Tại ngày 31 tháng 12 năm 2020 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động khác > Tại ngày 31 tháng 12 năm 2020 và cho năm tài chính kết thúc cùng ngày,numeric__Loại trừ > Tại ngày 31 tháng 12 năm 2020 và cho năm tài chính kết thúc cùng ngày,numeric__Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2020 và cho năm tài chính kết thúc cùng ngày
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,17.986.150.646,369.533.903.996,300.127.058.872,67.371.507.947,14.016.806.886,-,769.035.428.347,17986150646.0,369533903996.0,300127058872.0,67371507947.0,14016806886.0,,769035428347.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,-,-,-,-,-,-,-,,,,,,,
Tổng doanh thu,Doanh thu từ bán hàng cho các bộ phận > Tổng doanh thu,Tổng doanh thu,17.986.150.646,369.533.903.996,300.127.058.872,67.371.507.947,14.016.806.886,-,769.035.428.347,17986150646.0,369533903996.0,300127058872.0,67371507947.0,14016806886.0,,769035428347.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,4.670.915.414,12.404.523.180,72.849.713.931,34.519.828.027,6.711.201.258,-,131.156.181.810,4670915414.0,12404523180.0,72849713931.0,34519828027.0,6711201258.0,,131156181810.0
"Thu nhập, chi phí không phân bổ (i)","Kết quả > Thu nhập, chi phí không phân bổ (i)","Thu nhập, chi phí không phân bổ (i)",,,,,,,239.153.427.754,,,,,,,239153427754.0
Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,,370.309.609.564(28.868.082.559),,,,,,,
Chi phí thuế TNDN,Lợi nhuận thuần trước thuế > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,,,341.441.527.005,,,,,,,341441527005.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,,,,,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,149.204.143.228,21.968.091.994,97.055.243.228,138.729.402.924,148.380.121.767,-,555.337.003.1413.668.261.500.362,149204143228.0,21968091994.0,97055243228.0,138729402924.0,148380121767.0,,5.553370031413668e+24
Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,,,,,,,,,,,
Tổng tài sản,Tài sản không phân bổ (ii) > Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,4.223.598.503.503,,,,,,,4223598503503.0
Nợ phải trả bộ phận,Tài sản không phân bổ (ii) > Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.121.533.576,-,10.278.253.200,6.192.355.928,-,-,17.592.142.704,1121533576.0,,10278253200.0,6192355928.0,,,17592142704.0
Nợ phải trả không phân bổ (iii),Tài sản không phân bổ (ii) > Nợ phải trả không phân bổ (iii),Nợ phải trả không phân bổ (iii),,,,,,,171.302.487.226,,,,,,,171302487226.0
Tổng nợ phải trả,Tài sản không phân bổ (ii) > Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,188.894.629.930,,,,,,,188894629930.0
