row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,,,,
Công ty Cổ phần Dây và Cáp Sacom,Phải thu khách hàng ngắn hạn > Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,Dịch vụ cho thuê,-,229.701.240,,,,229701240.0
Công ty Cổ phần Sacom - Tuyền Lâm,Phải thu khách hàng ngắn hạn > Công ty Cổ phần Sacom - Tuyền Lâm,Công ty Cổ phần Sacom - Tuyền Lâm,Công ty con,Dịch vụ cho thuê,-,37.400.400,,,,37400400.0
,,,,,-,267.101.640,,,,267101640.0
Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,Phải thu khách hàng dài hạn,,,,
Công ty Cổ phần Địa ốc Sacom,Phải thu khách hàng dài hạn > Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,Chuyển nhượng dự án Giai Việt,-,6.800.000.000,,,,6800000000.0
Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,,,,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Phải thu cho vay ngắn hạn > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty liên kết,Cho vay,6.500.000.000,6.500.000.000,,,6500000000.0,6500000000.0
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Phải thu cho vay ngắn hạn > Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty con,Cho vay,1.100.000.000,-,,,1100000000.0,
Công ty TNHH Sacom Chỉp Sáng,Phải thu cho vay ngắn hạn > Công ty TNHH Sacom Chỉp Sáng,Công ty TNHH Sacom Chỉp Sáng,Công ty con,Cho vay,-,4.900.000.000,,,,4900000000.0
,,,,,7.600.000.000,11.400.000.000,,,7600000000.0,11400000000.0
