row_label_raw,row_label_full,col_0,Lĩnh vực bản vế cầu dưỡng,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Các khoản loại trừ,Cộng,numeric__Lĩnh vực bản vế cầu dưỡng,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Các khoản loại trừ,numeric__Cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Doanh thu thuần về bản hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bản hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bản hàng và cung cấp dịch vụ ra bên ngoài,212.921.819.087,239.214.692.534,13.931.426.615,-,-,220.085.238.645,-,686.153.176.881,212921819087.0,239214692534.0,13931426615.0,,,220085238645.0,,686153176881.0
Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phận,,,,,,,,,,,,,,,,
Tổng doanh thu thuần về bản hàng và cung cấp dịch vụ,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bản hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bản hàng và cung cấp dịch vụ,212.921.819.087,239.214.692.534,13.931.426.615,-,-,220.085.238.645,-,686.153.176.881,212921819087.0,239214692534.0,13931426615.0,,,220085238645.0,,686153176881.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,136.351.826.893,(30.986.676.473),(3.824.933.852),-,-,26.509.616.788,-,128.049.833.356,136351826893.0,-30986676473.0,-3824933852.0,,,26509616788.0,,128049833356.0
Các chỉ phí không phân bổ theo bộ phân,Các chỉ phí không phân bổ theo bộ phân,Các chỉ phí không phân bổ theo bộ phân,,,,,,,,,,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chỉ phí không phân bổ theo bộ phân > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,,128.049.833.356,,,,,,,,128049833356.0
Doanh thu hoạt động tài chính,Các chỉ phí không phân bổ theo bộ phân > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,3.120.304.388,,,,,,,,3120304388.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,,,,,,,,,
"Phân lãi hoặc lỗ trong công ty liên doanh, liên kết","Phân lãi hoặc lỗ trong công ty liên doanh, liên kết","Phân lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,
Thu nhập khác,"Phân lãi hoặc lỗ trong công ty liên doanh, liên kết > Thu nhập khác",Thu nhập khác,,,,,,,,16.821.673.019,,,,,,,,16821673019.0
Chi phí khác,"Phân lãi hoặc lỗ trong công ty liên doanh, liên kết > Chi phí khác",Chi phí khác,,,,,,,,(248.905.896),,,,,,,,-248905896.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,"Phân lãi hoặc lỗ trong công ty liên doanh, liên kết > Chi phí thuế thu nhập doanh nghiệp hiện hành",Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,,(25.721.765.732),,,,,,,,-25721765732.0
Chi phí thuế thu nhập doanh nghiệp hoãn lai,Chi phí thuế thu nhập doanh nghiệp hoãn lai,Chi phí thuế thu nhập doanh nghiệp hoãn lai,,,,,,,,,,,,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hoãn lai > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,122.021.139.135,,,,,,,,122021139135.0
Tổng chỉ phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Chi phí thuế thu nhập doanh nghiệp hoãn lai > Tổng chỉ phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chỉ phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,14.344.666.508,5.850.000,-,-,-,7.530.975.441,-,21.881.491.949,14344666508.0,5850000.0,,,,7530975441.0,,21881491949.0
Tổng chỉ phí khấu hao và phân bổ chi phí trả trước dài hạn,Chi phí thuế thu nhập doanh nghiệp hoãn lai > Tổng chỉ phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chỉ phí khấu hao và phân bổ chi phí trả trước dài hạn,33.212.417.411,-,3.895.639.171,-,-,8.708.740.506,-,45.816.797.088,33212417411.0,,3895639171.0,,,8708740506.0,,45816797088.0
Tổng giá trị các khoản chỉ phí lớn không bằng tiền (trừ chỉ phí khấu hao và phân bổ chỉ phí trả trước dài hạn),Tổng giá trị các khoản chỉ phí lớn không bằng tiền (trừ chỉ phí khấu hao và phân bổ chỉ phí trả trước dài hạn),Tổng giá trị các khoản chỉ phí lớn không bằng tiền (trừ chỉ phí khấu hao và phân bổ chỉ phí trả trước dài hạn),,,,,,,,,,,,,,,,
