row_label_raw,row_label_full,col_0,Địa chỉ,Tỷ lệ sở hữu và tỷ lệ quyền biểu quyết (%),31/12/2023 > Giá gốc VND,31/12/2023 > Dự phòng VND,31/12/2023 > Giá trị hợp lý VND,numeric__Địa chỉ,numeric__Tỷ lệ sở hữu và tỷ lệ quyền biểu quyết (%),numeric__31/12/2023 > Giá gốc VND,numeric__31/12/2023 > Dự phòng VND,numeric__31/12/2023 > Giá trị hợp lý VND
• Công ty Cổ phần KCN Quốc tế Hải Phòng (**),• Công ty Cổ phần KCN Quốc tế Hải Phòng (**),• Công ty Cổ phần KCN Quốc tế Hải Phòng (**),Hải Phòng,"99,00%",9.800.000.000,-,(*),,0.99,9800000000.0,,
• Công ty Phát triển Khu Công nghiệp Nhật Bản - Hải Phòng (***),• Công ty Phát triển Khu Công nghiệp Nhật Bản - Hải Phòng (***),• Công ty Phát triển Khu Công nghiệp Nhật Bản - Hải Phòng (***),Hải Phòng,"70,00%",703.098.368.940,-,(*),,0.7,703098368940.0,,
• PC1 Australia Pty Ltd (****),• PC1 Australia Pty Ltd (****),• PC1 Australia Pty Ltd (****),Australia,"100,00%",5.118.723.000,-,(*),,1.0,5118723000.0,,
,,,,,3.789.927.776.619,-,,,,3789927776619.0,,
• Công ty liên kết,• Công ty liên kết,• Công ty liên kết,• Công ty liên kết,• Công ty liên kết,• Công ty liên kết,• Công ty liên kết,• Công ty liên kết,,,,,
• Công ty Cổ phần Gang thép Cao Bằng,• Công ty liên kết > • Công ty Cổ phần Gang thép Cao Bằng,• Công ty Cổ phần Gang thép Cao Bằng,Cao Bằng,"25,09%",124.748.756.168,-,(*),,0.2509,124748756168.0,,
• Công ty Cổ phần Đầu tư Bất động sản CT2,• Công ty liên kết > • Công ty Cổ phần Đầu tư Bất động sản CT2,• Công ty Cổ phần Đầu tư Bất động sản CT2,Hà Nội,"49,00%",300.000.000.000,-,(*),,0.49,300000000000.0,,
• Công ty Cổ phần Western Pacific,• Công ty liên kết > • Công ty Cổ phần Western Pacific,• Công ty Cổ phần Western Pacific,TP Hồ Chí Minh,"30,08%",1.110.000.000.000,-,(*),,0.30079999999999996,1110000000000.0,,
• Công ty Cổ phần Kho bãi Phú Bình (***** ),• Công ty liên kết > • Công ty Cổ phần Kho bãi Phú Bình (***** ),• Công ty Cổ phần Kho bãi Phú Bình (***** ),Bà Rịa-Vũng Tàu,"36,00%",68.400.000.000,-,(*),,0.36,68400000000.0,,
,,,,,1.603.148.756.168,-,,,,1603148756168.0,,
• Đơn vị khác,• Đơn vị khác,• Đơn vị khác,• Đơn vị khác,• Đơn vị khác,• Đơn vị khác,• Đơn vị khác,• Đơn vị khác,,,,,
• Công ty Cổ phần Bê tông Ly tâm Vinaincon,• Đơn vị khác > • Công ty Cổ phần Bê tông Ly tâm Vinaincon,• Công ty Cổ phần Bê tông Ly tâm Vinaincon,Hải Dương,"10,00%",4.000.000.000,(3.606.012.909),(*),,0.1,4000000000.0,-3606012909.0,
• Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,• Đơn vị khác > • Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,• Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Hà Nội,"0,00115%",821.770.000,-,2.534.386.400,,1.15e-05,821770000.0,,2534386400.0
,,,,,4.821.770.000,(3.606.012.909),,,,4821770000.0,-3606012909.0,
,,,,,5.397.898.302.787,(3.606.012.909),,,,5397898302787.0,-3606012909.0,
