row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Phụ trội hợp nhất,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Phụ trội hợp nhất,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.000.000.000.000,-,(9.350.460.000),5.083.303.511,461.504.867.883,1.621.291.619.893,5.078.529.331.287,3000000000000.0,,-9350460000.0,5083303511.0,461504867883.0,1621291619893.0,5078529331287.0
Phát hành cổ phiếu (i),Năm nay > Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),224.710.220.000,340.683.172.475,-,-,-,-,565.393.392.475,224710220000.0,340683172475.0,,,,,565393392475.0
Góp vốn từ cổ đông không kiểm soát,Năm nay > Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,-,-,-,-,-,443.091.153.000,443.091.153.000,,,,,,443091153000.0,443091153000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,873.250.678.942(529.800.000.000),262.287.806.786,1.135.538.485.728(529.800.000.000),,,,,,262287806786.0,
Cổ tức đã công bố (ii),Năm nay > Cổ tức đã công bố (ii),Cổ tức đã công bố (ii),-,-,-,-,-,(379.084.296.464),(379.084.296.464),,,,,,-379084296464.0,-379084296464.0
Cổ tức trả cho cổ đông không kiểm soát,Năm nay > Cổ tức trả cho cổ đông không kiểm soát,Cổ tức trả cho cổ đông không kiểm soát,-,-,-,-,-,(21.439.385.060),(64.651.419.245),,,,,,-21439385060.0,-64651419245.0
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(43.212.034.185),(232.671.703.042),(538.508.498.133),,,,,-43212034185.0,-232671703042.0,-538508498133.0
Tăng tỷ lệ sở hữu tại các công ty con,Năm nay > Tăng tỷ lệ sở hữu tại các công ty con,Tăng tỷ lệ sở hữu tại các công ty con,-,-,-,-,(305.836.795.091),157.967.239.942,157.967.239.942,,,,,-305836795091.0,157967239942.0,157967239942.0
Tăng do mua công ty con Giảm do thanh lý công ty con,Năm nay > Tăng do mua công ty con Giảm do thanh lý công ty con,Tăng do mua công ty con Giảm do thanh lý công ty con,-,-,-,-,-,(29.302.370.726),(29.302.370.726),,,,,,-29302370726.0,-29302370726.0
Thay đổi khác,Năm nay > Thay đổi khác,Thay đổi khác,-,-,-,-,83.852.564,80.388.290,164.240.854,,,,,83852564.0,80388290.0,164240854.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.224.710.220.000,340.683.172.475,(9.350.460.000),5.083.303.511,455.990.570.113,1.822.220.452.619,5.839.337.258.718,3224710220000.0,340683172475.0,-9350460000.0,5083303511.0,455990570113.0,1822220452619.0,5839337258718.0
