row_label_raw,row_label_full,col_0,Dịch vụ bất động sản,Đầu tư và phát triển dự án bất động sản,Loại trừ,Tổng cộng,numeric__Dịch vụ bất động sản,numeric__Đầu tư và phát triển dự án bất động sản,numeric__Loại trừ,numeric__Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,,,,
Doanh thu thuầnDoanh thu hoạt động kinh doanh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Doanh thu thuầnDoanh thu hoạt động kinh doanh,Doanh thu thuầnDoanh thu hoạt động kinh doanh,3.411.657.594.871,910.138.845.708,(231.063.472.665),4.090.732.967.914,3411657594871.0,910138845708.0,-231063472665.0,4090732967914.0
Kết quả hoạt động kinh doanhLợi nhuận gộp của bộ phậnChi phí không phân bổ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Kết quả hoạt động kinh doanhLợi nhuận gộp của bộ phậnChi phí không phân bổ,Kết quả hoạt động kinh doanhLợi nhuận gộp của bộ phậnChi phí không phân bổ,2.434.391.989.939,315.669.938.468,(72.815.158.118),2.677.246.770.289(759.766.827.953),2434391989939.0,315669938468.0,-72815158118.0,
Lợi nhuận từ hoạt động kinh doanhDoanh thu hoạt động tài chínhChi phí tài chínhLợi nhuận khác,Lợi nhuận từ hoạt động kinh doanhDoanh thu hoạt động tài chínhChi phí tài chínhLợi nhuận khác,Lợi nhuận từ hoạt động kinh doanhDoanh thu hoạt động tài chínhChi phí tài chínhLợi nhuận khác,,,,1.917.479.942.336127.240.317.654(32.941.742.365)36.693.286.784,,,,
Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại,,,,2.048.471.804.409(421.029.817.752)5.502.158.408,,,,
Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại > Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,Lợi nhuận thuần sau thuếLợi ích cổ đông không kiểm soát,,,,1.632.944.145.065571.550.667.746,,,,1.6329441450655715e+24
Lợi nhuận sau thuế công ty mẹVào ngày 31 tháng 12 năm 2019,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại > Lợi nhuận sau thuế công ty mẹVào ngày 31 tháng 12 năm 2019,Lợi nhuận sau thuế công ty mẹVào ngày 31 tháng 12 năm 2019,,,,1.061.393.477.319,,,,1061393477319.0
Tải sản và công nợTải sản bộ phậnTải sản không phân bổ,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại > Tải sản và công nợTải sản bộ phậnTải sản không phân bổ,Tải sản và công nợTải sản bộ phậnTải sản không phân bổ,7.794.447.292.531,1.351.360.825.168,(643.512.985.491),8.502.295.132.208493.072.981.303,7794447292531.0,1351360825168.0,-643512985491.0,8.502295132208493e+24
Tổng tài sảnCông nợ bộ phậnCông nợ không phân bổ,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại > Tổng tài sảnCông nợ bộ phậnCông nợ không phân bổ,Tổng tài sảnCông nợ bộ phậnCông nợ không phân bổ,3.522.142.056.344,204.610.411.871,(583.717.952.083),8.995.368.113.5113.143.034.516.132773.804.266.0923.916.838.782.224,3522142056344.0,204610411871.0,-583717952083.0,8.995368113511315e+50
Tổng công nợ,Lợi nhuận trước thuếChi phí thuế TNDNThu nhập thuế TNDN hoãn lại > Tổng công nợ,Tổng công nợ,53,,,,53.0,,,
