row_label_raw,row_label_full,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2020,Hoạt động khai thác trồng rừng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2020,Kinh doanh thương mại gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2020,Bán thành phẩm sản xuất từ gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2020,Doanh thu cung cấp dịch vụ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2020,Khác > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2020,Loại trừ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2020,Đơn vị tính: VND Tổng cộng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2020,numeric__Hoạt động khai thác trồng rừng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2020,numeric__Kinh doanh thương mại gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2020,numeric__Bán thành phẩm sản xuất từ gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2020,numeric__Doanh thu cung cấp dịch vụ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2020,numeric__Khác > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2020,numeric__Loại trừ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2020,numeric__Đơn vị tính: VND Tổng cộng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2020
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,106.092.304.834,733.377.423.821,875.961.480.057,103.695.442.102,29.835.557.656,-,1.848.962.208.470,106092304834.0,733377423821.0,875961480057.0,103695442102.0,29835557656.0,,1848962208470.0
Tổng doanh thu thuần,Doanh thu > Tổng doanh thu thuần,Tổng doanh thu thuần,106.092.304.834,733.377.423.821,875.961.480.057,103.695.442.102,29.835.557.656,-,1.848.962.208.470,106092304834.0,733377423821.0,875961480057.0,103695442102.0,29835557656.0,,1848962208470.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,36.634.657.738,36.332.484.650,171.439.276.357,59.533.965.798,4.400.579.989,-,308.340.964.532,36634657738.0,36332484650.0,171439276357.0,59533965798.0,4400579989.0,,308340964532.0
"Thu nhập, chi phí không phân bổ (i)","Kết quả > Thu nhập, chi phí không phân bổ (i)","Thu nhập, chi phí không phân bổ (i)",,,,,,,31.613.841.913,,,,,,,31613841913.0
Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,,339.954.806.445(34.398.750.466),,,,,,,
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,,,339.954.806.445(34.398.750.466),,,,,,,
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,,(4.813.101.585),,,,,,,-4813101585.0
Lợi nhuận thuần sau thuế,Chi phí thuế TNDN > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,,300.742.954.394,,,,,,,300742954394.0
Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,,,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,609.246.230.328,66.049.185.879,197.931.335.432,228.555.450.579,148.911.032.934,-,1.250.693.235.152,609246230328.0,66049185879.0,197931335432.0,228555450579.0,148911032934.0,,1250693235152.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,,,,4.244.376.056.213,,,,,,,4244376056213.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,,,5.495.069.291.365,,,,,,,5495069291365.0
Nợ phải trả bộ phận,Tài sản và công nợ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,122.660.657.524,18.358.130.723,155.271.650.434,8.455.875.426,,,304.746.314.107,122660657524.0,18358130723.0,155271650434.0,8455875426.0,,,304746314107.0
Nợ phải trả không phân bổ (iii),Tài sản và công nợ > Nợ phải trả không phân bổ (iii),Nợ phải trả không phân bổ (iii),,,,,,,301.700.059.906,,,,,,,301700059906.0
Tổng nợ phải trả,Tài sản và công nợ > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,606.446.374.013,,,,,,,606446374013.0
