row_label_raw,row_label_full,col_0,Giá trị giao dịch cho năm > 2019,Giá trị giao dịch cho năm > 2018,numeric__Giá trị giao dịch cho năm > 2019,numeric__Giá trị giao dịch cho năm > 2018
Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,,,,
Cổ tức được chia,Công ty Cổ phần Thủy điện A Vương > Cổ tức được chia,Cổ tức được chia,3.868.603.500,2.836.975.900,3868603500.0,2836975900.0
Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,,,,
Cổ tức được chia,Công ty Cổ phần Thủy điện Sông Ba Hạ > Cổ tức được chia,Cổ tức được chia,5.120.000.000,1.664.000.000,5120000000.0,1664000000.0
Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,,,,
Ứng trước hợp đồng xây dựng cơ bản,Công ty Cổ phần Tư vấn Xây dựng Điện 2 > Ứng trước hợp đồng xây dựng cơ bản,Ứng trước hợp đồng xây dựng cơ bản,-,3.129.529.074,,3129529074.0
Chi phí dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 2 > Chi phí dịch vụ,Chi phí dịch vụ,10.669.437.578,-,10669437578.0,
Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,,,,
Cung cấp dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 3 > Cung cấp dịch vụ,Cung cấp dịch vụ,1.462.159.689,679.448.632,1462159689.0,679448632.0
Chi phí dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 3 > Chi phí dịch vụ,Chi phí dịch vụ,9.318.304.769,9.050.204.042,9318304769.0,9050204042.0
Công ty Cổ phần Tư vấn Xây dựng Điện 4,Công ty Cổ phần Tư vấn Xây dựng Điện 4,Công ty Cổ phần Tư vấn Xây dựng Điện 4,,,,
Chi phí dịch vụ,Công ty Cổ phần Tư vấn Xây dựng Điện 4 > Chi phí dịch vụ,Chi phí dịch vụ,198.969.091,1.113.716.872,198969091.0,1113716872.0
Chi nhánh Tổng Công ty Phát điện 1 – Công ty Thủy điện Đại Ninh,Chi nhánh Tổng Công ty Phát điện 1 – Công ty Thủy điện Đại Ninh,Chi nhánh Tổng Công ty Phát điện 1 – Công ty Thủy điện Đại Ninh,,,,
Cung cấp dịch vụ,Chi nhánh Tổng Công ty Phát điện 1 – Công ty Thủy điện Đại Ninh > Cung cấp dịch vụ,Cung cấp dịch vụ,-,54.300.000,,54300000.0
Công ty Cổ Phần Đầu tư và Phát triển Điện Miền Trung,Công ty Cổ Phần Đầu tư và Phát triển Điện Miền Trung,Công ty Cổ Phần Đầu tư và Phát triển Điện Miền Trung,,,,
Cung cấp dịch vụ,Công ty Cổ Phần Đầu tư và Phát triển Điện Miền Trung > Cung cấp dịch vụ,Cung cấp dịch vụ,-,114.990.000,,114990000.0
Công ty Thí nghiệm Điện Miền Nam,Công ty Thí nghiệm Điện Miền Nam,Công ty Thí nghiệm Điện Miền Nam,,,,
Cung cấp dịch vụ,Công ty Thí nghiệm Điện Miền Nam > Cung cấp dịch vụ,Cung cấp dịch vụ,-,71.400.000,,71400000.0
Ứng trước hợp đồng dịch vụ,Công ty Thí nghiệm Điện Miền Nam > Ứng trước hợp đồng dịch vụ,Ứng trước hợp đồng dịch vụ,-,463.559.985,,463559985.0
Chi phí dịch vụ,Công ty Thí nghiệm Điện Miền Nam > Chi phí dịch vụ,Chi phí dịch vụ,245.656.952,-,245656952.0,
Chi nhánh Công ty cổ phần Thủy điện miền Nam tại Lâm Đồng,Chi nhánh Công ty cổ phần Thủy điện miền Nam tại Lâm Đồng,Chi nhánh Công ty cổ phần Thủy điện miền Nam tại Lâm Đồng,,,,
Cung cấp dịch vụ,Chi nhánh Công ty cổ phần Thủy điện miền Nam tại Lâm Đồng > Cung cấp dịch vụ,Cung cấp dịch vụ,53.590.000,97.419.932,53590000.0,97419932.0
Trung tâm Thông tin Điện lực – Tập đoàn Điện lực Việt Nam,Trung tâm Thông tin Điện lực – Tập đoàn Điện lực Việt Nam,Trung tâm Thông tin Điện lực – Tập đoàn Điện lực Việt Nam,,,,
Chi phí dịch vụ,Trung tâm Thông tin Điện lực – Tập đoàn Điện lực Việt Nam > Chi phí dịch vụ,Chi phí dịch vụ,299.569.510,126.000.000,299569510.0,126000000.0
Trung tâm Viễn thông và Công nghệ thông tin – Tập đoàn Điện lực Việt Nam,Trung tâm Viễn thông và Công nghệ thông tin – Tập đoàn Điện lực Việt Nam,Trung tâm Viễn thông và Công nghệ thông tin – Tập đoàn Điện lực Việt Nam,,,,
Chi phí dịch vụ,Trung tâm Viễn thông và Công nghệ thông tin – Tập đoàn Điện lực Việt Nam > Chi phí dịch vụ,Chi phí dịch vụ,-,850.372.646,,850372646.0
Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,,,,
Tiền lương,Tổng Giám đốc > Tiền lương,Tiền lương,582.465.600,592.384.000,582465600.0,592384000.0
