row_label_raw,row_label_full,col_0,Kinh doanh chuyển nhượng bất động sản,Kinh doanh cho thuê bất động sản đầu tư và các dịch vụ liên quan,"Kinh doanh dịch vụ khách sạn du lịch, vui chơi giải trí và các dịch vụ liên quan",Kinh doanh dịch vụ bệnh viện và các dịch vụ liên quan,Kinh doanh dịch vụ giáo dục và các dịch vụ liên quan,Kinh doanh dịch vụ bán lẻ,Hoạt động kinh doanh khác,Điều chỉnh và loại trừ,Tổng cộng,numeric__Kinh doanh chuyển nhượng bất động sản,numeric__Kinh doanh cho thuê bất động sản đầu tư và các dịch vụ liên quan,"numeric__Kinh doanh dịch vụ khách sạn du lịch, vui chơi giải trí và các dịch vụ liên quan",numeric__Kinh doanh dịch vụ bệnh viện và các dịch vụ liên quan,numeric__Kinh doanh dịch vụ giáo dục và các dịch vụ liên quan,numeric__Kinh doanh dịch vụ bán lẻ,numeric__Hoạt động kinh doanh khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần Doanh thu thuần cho bên thứ ba Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần Doanh thu thuần cho bên thứ ba Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần Doanh thu thuần cho bên thứ ba Doanh thu thuần giữa các bộ phận (1),21.179.148.427.947,2.655.125.765.258,2.847.874.120.764,770.605.761.951,514.231.160.146,4.305.993.748.453,1.774.987.328.583,-,34.047.966.313.102,21179148427947.0,2655125765258.0,2847874120764.0,770605761951.0,514231160146.0,4305993748453.0,1774987328583.0,,34047966313102.0
Doanh thu thuần Doanh thu thuần cho bên thứ ba Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần Doanh thu thuần cho bên thứ ba Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần Doanh thu thuần cho bên thứ ba Doanh thu thuần giữa các bộ phận (1),-,850.111.255.083,464.069.508.360,15.633.050.742,46.894.633.522,2.208.951.791.935,7.471.388.184.883,(11.057.048.424.525),-,,850111255083.0,464069508360.0,15633050742.0,46894633522.0,2208951791935.0,7471388184883.0,-11057048424525.0,
Tổng doanh thu thuần,Tổng doanh thu thuần,Tổng doanh thu thuần,21.179.148.427.947,3.505.237.020.341,3.311.943.629.124,786.238.812.693,561.125.793.668,6.514.945.540.388,9.246.375.513.466,(11.057.048.424.525),34.047.966.313.102,21179148427947.0,3505237020341.0,3311943629124.0,786238812693.0,561125793668.0,6514945540388.0,9246375513466.0,-11057048424525.0,34047966313102.0
Kết quả hoạt động kinh doanh Khẩu hao và hao mòn Phần được chia từ lãi/(tỗ) của công ty liên kết,Kết quả hoạt động kinh doanh Khẩu hao và hao mòn Phần được chia từ lãi/(tỗ) của công ty liên kết,Kết quả hoạt động kinh doanh Khẩu hao và hao mòn Phần được chia từ lãi/(tỗ) của công ty liên kết,784.467.555.749,458.719.574.567,481.840.848.659,148.113.189.361,25.101.485.382,432.239.049.832,8.873.523.892,-,2.339.355.227.442,784467555749.0,458719574567.0,481840848659.0,148113189361.0,25101485382.0,432239049832.0,8873523892.0,,2339355227442.0
Kết quả hoạt động kinh doanh Khẩu hao và hao mòn Phần được chia từ lãi/(tỗ) của công ty liên kết,Kết quả hoạt động kinh doanh Khẩu hao và hao mòn Phần được chia từ lãi/(tỗ) của công ty liên kết,Kết quả hoạt động kinh doanh Khẩu hao và hao mòn Phần được chia từ lãi/(tỗ) của công ty liên kết,45.414.860.194,-,1.391.478.544,-,-,(7.578.584.538),-,-,39.227.754.200,45414860194.0,,1391478544.0,,,-7578584538.0,,,39227754200.0
Thu nhập/(lỗ) trước thuế theo bộ phận (2),Thu nhập/(lỗ) trước thuế theo bộ phận (2),Thu nhập/(lỗ) trước thuế theo bộ phận (2),6.207.559.342.399,1.368.494.771.966,(140.509.261.243),(90.643.874.579),87.822.714.692,(1.610.549.072.792),858.459.408.663,(3.828.533.063.705),2.852.100.965.401,6207559342399.0,1368494771966.0,-140509261243.0,-90643874579.0,87822714692.0,-1610549072792.0,858459408663.0,-3828533063705.0,2852100965401.0
Tài sản Đầu tư vào công ty liên kết,Tài sản Đầu tư vào công ty liên kết,Tài sản Đầu tư vào công ty liên kết,6.496.609.209.864,-,89.924.078.544,-,-,129.004.873.638,-,-,6.715.538.162.046,6496609209864.0,,89924078544.0,,,129004873638.0,,,6715538162046.0
Chi phí vốn tăng trong năm,Chi phí vốn tăng trong năm,Chi phí vốn tăng trong năm,6.862.452.727.850,4.306.792.777.837,5.762.322.502.878,1.823.225.828.637,112.475.058.169,2.289.101.339.504,8.579.822.904,-,21.164.950.057.779,6862452727850.0,4306792777837.0,5762322502878.0,1823225828637.0,112475058169.0,2289101339504.0,8579822904.0,,21164950057779.0
Tổng tài sản (3),Tổng tài sản (3),Tổng tài sản (3),63.301.518.998.400,26.588.625.080.026,15.347.614.777.138,2.834.470.320.509,327.527.272.723,9.692.251.119.124,2.294.172.597.770,25.168.177.386.285,145.554.357.551.975,63301518998400.0,26588625080026.0,15347614777138.0,2834470320509.0,327527272723.0,9692251119124.0,2294172597770.0,25168177386285.0,145554357551975.0
Tổng nợ phải trả (4),Tổng nợ phải trả (4),Tổng nợ phải trả (4),45.399.273.835.670,8.928.198.405.394,8.575.497.722.022,217.894.879.960,494.178.720.546,1.075.423.483.717,3.299.887.212.371,39.979.078.395.502,107.969.432.655.182,45399273835670.0,8928198405394.0,8575497722022.0,217894879960.0,494178720546.0,1075423483717.0,3299887212371.0,39979078395502.0,107969432655182.0
