row_label_raw,row_label_full,col_0,Chỉ tiêu,Năm 2024VND,Năm 2023VND,numeric__Chỉ tiêu,numeric__Năm 2024VND,numeric__Năm 2023VND
I.,I.,I.,Nguồn thu từ khai thác tài sản KCHTHK,2.748.067.748.888,2.514.358.387.995,,2748067748888.0,2514358387995.0
1.,1.,1.,Doanh thu khai thác tài sản KCHTHK,2.814.851.848.707,2.576.272.615.268,,2814851848707.0,2576272615268.0
1.,1.,1.,Các khoản giảm trừ doanh thu,66.784.099.819,64.634.797.650,,66784099819.0,64634797650.0
1.,1.,1.,Doanh thu thuần,2.748.067.748.888,2.511.637.817.618,,2748067748888.0,2511637817618.0
2.,2.,2.,Lãi tiền gửi,-,2.720.570.377,,,2720570377.0
II.,II.,II.,Các khoản chỉ cho hoạt động khai thác tài sản KCHTHK,1.505.386.295.969,1.276.939.249.912,,1505386295969.0,1276939249912.0
1.,1.,1.,Chi hoạt động,1.194.715.932.740,967.584.465.392,,1194715932740.0,967584465392.0
1.,1.,1.,Chi phí nhân viên,539.264.244.123,477.705.996.318,,539264244123.0,477705996318.0
1.,1.,1.,"Chi phí vật liệu, công cụ dụng cụ, đồ dùng văn phòng",7.924.735.397,7.762.685.778,,7924735397.0,7762685778.0
1.,1.,1.,Chi phí khấu hao tài sản cố định phân bổ,69.356.513.104,67.074.465.108,,69356513104.0,67074465108.0
1.,1.,1.,"Thuế, phí lệ phí",1.273.581.402,1.560.984.723,,1273581402.0,1560984723.0
1.,1.,1.,Chi phí sửa chữa tài sản,380.877.226.025,216.541.959.666,,380877226025.0,216541959666.0
1.,1.,1.,"Chi phí điện, nước, thông tin liên lạc",19.638.148.585,19.616.297.753,,19638148585.0,19616297753.0
1.,1.,1.,Chi phí dịch vụ mua ngoài khác,82.032.572.560,83.564.021.867,,82032572560.0,83564021867.0
1.,1.,1.,Chi phí phúc lợi người lao động,31.098.361.672,30.069.719.336,,31098361672.0,30069719336.0
1.,1.,1.,Chi phí bằng tiền khác,59.572.545.328,59.699.374.737,,59572545328.0,59699374737.0
1.,1.,1.,Lỗ chênh lệch tỷ giá,3.678.004.544,3.988.960.106,,3678004544.0,3988960106.0
2.,2.,2.,Chi phí thuế thu nhập doanh nghiệp hiện hành,310.342.985.841,309.455.888.264,,310342985841.0,309455888264.0
3.,3.,3.,Chi phí (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,327.377.388,(101.103.744),,327377388.0,-101103744.0
III.,III.,III.,Chênh lệch còn lại,1.242.681.452.919,1.237.419.138.083,,1242681452919.0,1237419138083.0
