row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thăng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch quy đổi tiền tệ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thăng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch quy đổi tiền tệ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,20.899.554.450.000,34.110.709.700,202.658.418.215,92.498.048.227,5.266.761.584.973,3.353.468.092.666,2.967.467.051.304,32.816.518.355.085,20899554450000.0,34110709700.0,202658418215.0,92498048227.0,5266761584973.0,3353468092666.0,2967467051304.0,32816518355085.0
Cổ đông không kiểm soát góp vốn vào một công ty con,Cổ đông không kiểm soát góp vốn vào một công ty con,Cổ đông không kiểm soát góp vốn vào một công ty con,-,-,-,-,-,(2.244.994.800),492.032.003.810,489.787.009.010,,,,,,-2244994800.0,492032003810.0,489787009010.0
Lợi nhuận chưa phân phối chuyển thành vốn góp của một công ty con,Lợi nhuận chưa phân phối chuyển thành vốn góp của một công ty con,Lợi nhuận chưa phân phối chuyển thành vốn góp của một công ty con,-,-,296.422.385.000,-,-,(296.422.385.000),-,-,,,296422385000.0,,,-296422385000.0,,
Hoàn trả vốn góp cho cổ đông không kiểm soát của một công ty con đã giải thể,Hoàn trả vốn góp cho cổ đông không kiểm soát của một công ty con đã giải thể,Hoàn trả vốn góp cho cổ đông không kiểm soát của một công ty con đã giải thể,-,-,-,-,-,-,(142.548.827.636),(142.548.827.636),,,,,,,-142548827636.0,-142548827636.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,8.873.812.416.864,145.541.748.187,9.019.354.165.051,,,,,,8873812416864.0,145541748187.0,9019354165051.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,-,-,896.975.002.023,(896.975.002.023),-,-,,,,,896975002023.0,-896975002023.0,,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.20),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.20),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.20),-,-,-,-,-,(940.037.560.976),(28.297.876.541),(968.335.437.517),,,,,,-940037560976.0,-28297876541.0,-968335437517.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,(6.165.368.562.744),-,(6.165.368.562.744),,,,,,-6165368562744.0,,-6165368562744.0
Cổ tức của công ty con chia cho cổ đông không kiểm soát,Cổ tức của công ty con chia cho cổ đông không kiểm soát,Cổ tức của công ty con chia cho cổ đông không kiểm soát,-,-,-,-,-,-,(105.265.039.805),(105.265.039.805),,,,,,,-105265039805.0,-105265039805.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,81.602.104.026,-,-,-,81.602.104.026,,,,81602104026.0,,,,81602104026.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,20.899.554.450.000,34.110.709.700,499.080.803.215,174.100.152.253,6.163.736.586.996,3.926.232.003.987,3.328.929.059.319,35.025.743.765.470,20899554450000.0,34110709700.0,499080803215.0,174100152253.0,6163736586996.0,3926232003987.0,3328929059319.0,35025743765470.0
