row_label_raw,row_label_full,A.7.21. Tiền gửi của Nhà đầu tư,A.7.21. Tiền gửi của Nhà đầu tư_1,A.7.21. Tiền gửi của Nhà đầu tư_2,numeric__A.7.21. Tiền gửi của Nhà đầu tư_1,numeric__A.7.21. Tiền gửi của Nhà đầu tư_2
Tiền gửi của Nhà đầu tư,Tiền gửi của Nhà đầu tư,Tiền gửi của Nhà đầu tư,Số cuối năm,Số đầu năm,,
1.Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,Tiền gửi của Nhà đầu tư > 1.Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,1.Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,4.569.163.013.911,3.057.660.225.224,4569163013911.0,3057660225224.0
1.1.Tiền gửi của Nhà đầu tư trong nước về giao dịch chứng khoán theo phương thức CTCK quản lý,Tiền gửi của Nhà đầu tư > 1.1.Tiền gửi của Nhà đầu tư trong nước về giao dịch chứng khoán theo phương thức CTCK quản lý,1.1.Tiền gửi của Nhà đầu tư trong nước về giao dịch chứng khoán theo phương thức CTCK quản lý,4.477.436.173.800,3.033.703.064.475,4477436173800.0,3033703064475.0
1.2. Tiền gửi của Nhà đầu tư nước ngoài về giao dịch chứng khoán theo phương thức CTCK quản lý,Tiền gửi của Nhà đầu tư > 1.2. Tiền gửi của Nhà đầu tư nước ngoài về giao dịch chứng khoán theo phương thức CTCK quản lý,1.2. Tiền gửi của Nhà đầu tư nước ngoài về giao dịch chứng khoán theo phương thức CTCK quản lý,91.726.840.111,23.957.160.749,91726840111.0,23957160749.0
2.Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,2.Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,2.Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,,,,
3.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư,3.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư,3.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư,,,,
3.1.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư trong nước,3.1.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư trong nước,3.1.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư trong nước,,,,
3.2.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư nước ngoài,3.2.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư nước ngoài,3.2.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư nước ngoài,,,,
Công,3.2.Tiền gửi bù trừ và thanh toán giao dịch chứng khoán của Nhà đầu tư nước ngoài > Công,Công,4.569.163.013.911,3.057.660.225.224,4569163013911.0,3057660225224.0
A.7.22. Tiền gửi của Tổ chức phát hành,A.7.22. Tiền gửi của Tổ chức phát hành,A.7.22. Tiền gửi của Tổ chức phát hành,A.7.22. Tiền gửi của Tổ chức phát hành,A.7.22. Tiền gửi của Tổ chức phát hành,,
Tiền gửi của Tổ chức phát hành,Tiền gửi của Tổ chức phát hành,Tiền gửi của Tổ chức phát hành,Số cuối năm,Số đầu năm,,
"1.Tiền gửi bán chứng khoán bảo lãnh, đại lý phát hành","1.Tiền gửi bán chứng khoán bảo lãnh, đại lý phát hành","1.Tiền gửi bán chứng khoán bảo lãnh, đại lý phát hành",,,,
"2.Tiền gửi thanh toán góc, tiền lãi và cổ tức của Tổ chức phát hành","1.Tiền gửi bán chứng khoán bảo lãnh, đại lý phát hành > 2.Tiền gửi thanh toán góc, tiền lãi và cổ tức của Tổ chức phát hành","2.Tiền gửi thanh toán góc, tiền lãi và cổ tức của Tổ chức phát hành",2.544.642.150,11.396.603.739,2544642150.0,11396603739.0
Công,"1.Tiền gửi bán chứng khoán bảo lãnh, đại lý phát hành > Công",Công,2.544.642.150,11.396.603.739,2544642150.0,11396603739.0
