row_label_raw,row_label_full,Related parties,Relationship,numeric__Relationship
Viet Nhat Organic Fertilizer Company Limited,Viet Nhat Organic Fertilizer Company Limited,Viet Nhat Organic Fertilizer Company Limited,Subsidiary,
Dacovet Pharmaceutical and Animal Health Company Limited,Dacovet Pharmaceutical and Animal Health Company Limited,Dacovet Pharmaceutical and Animal Health Company Limited,Subsidiary,
Transeco Joint Stock Company,Transeco Joint Stock Company,Transeco Joint Stock Company,Associate,
Dabaco Food Processing Joint Stock Company,Dabaco Food Processing Joint Stock Company,Dabaco Food Processing Joint Stock Company,Associate,
Mr Nguyen Nhu So,Mr Nguyen Nhu So,Mr Nguyen Nhu So,Chairman of the Board of Director,
Mr Nguyen Khac Thao,Mr Nguyen Khac Thao,Mr Nguyen Khac Thao,Deputy Chairman the Board of Director cum General Director,
Ms Nguyen Thi Thu Huong,Ms Nguyen Thi Thu Huong,Ms Nguyen Thi Thu Huong,Member of the Board of Director cum Deputy General Director,
Mr Nguyen The Tuong,Mr Nguyen The Tuong,Mr Nguyen The Tuong,Member of the Board of Director cum Deputy General Director,
Mr Nguyen Hoang Nguyen,Mr Nguyen Hoang Nguyen,Mr Nguyen Hoang Nguyen,Member of the Board of Director,
Mr Le Quoc Doan,Mr Le Quoc Doan,Mr Le Quoc Doan,Member of the Board of Director,
Ms Nguyen Thanh Huong,Ms Nguyen Thanh Huong,Ms Nguyen Thanh Huong,Member of the Board of Director,
Mr Hoang Nguyen Hoc,Mr Hoang Nguyen Hoc,Mr Hoang Nguyen Hoc,Member of the Board of Director,
Mr Bui Van Hoan,Mr Bui Van Hoan,Mr Bui Van Hoan,Member of the Board of Director,
Mr Nguyen Van Tue,Mr Nguyen Van Tue,Mr Nguyen Van Tue,Deputy General Director,
Mr Hoang Van Chung,Mr Hoang Van Chung,Mr Hoang Van Chung,Deputy General Director,
Mr Le Minh Tuan,Mr Le Minh Tuan,Mr Le Minh Tuan,Deputy General Director,
Mr Do Viet Quan,Mr Do Viet Quan,Mr Do Viet Quan,Deputy General Director,
Mr Pham Van Hoc,Mr Pham Van Hoc,Mr Pham Van Hoc,Deputy General Director,
Ms Le Thi Minh Thu,Ms Le Thi Minh Thu,Ms Le Thi Minh Thu,Deputy General Director,
Ms Bui Hai Huyen,Ms Bui Hai Huyen,Ms Bui Hai Huyen,Deputy General Director (resigned on 1 February 2024),
Ms Nguyen Thi Hue Minh,Ms Nguyen Thi Hue Minh,Ms Nguyen Thi Hue Minh,"The Chief of the Board of Directors Office, who is authorized to disclose information and also responsible for corporate governance.",
Mr Ho Sy Quy,Mr Ho Sy Quy,Mr Ho Sy Quy,Head of Board of Supervision,
Mr Nguyen Thanh Ha,Mr Nguyen Thanh Ha,Mr Nguyen Thanh Ha,Member of Board of Supervision,
Ms Nguyen Thi Bich,Ms Nguyen Thi Bich,Ms Nguyen Thi Bich,Member of Board of Supervision,
Ms Dinh Thi Minh Thuan,Ms Dinh Thi Minh Thuan,Ms Dinh Thi Minh Thuan,Head of Internal Audit Function,
Ms Nguyen Thi Thu Huong,Ms Nguyen Thi Thu Huong,Ms Nguyen Thi Thu Huong,Member of Internal Audit Function,
Mr Nguyen Xuan Quang,Mr Nguyen Xuan Quang,Mr Nguyen Xuan Quang,Member of Internal Audit Function,
Ms Nguyen Thi Thanh Huyen,Ms Nguyen Thi Thanh Huyen,Ms Nguyen Thi Thanh Huyen,Chief Accountant,
