row_label_raw,row_label_full,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
- Công ty CP Sài Gòn Lương Thực,- Công ty CP Sài Gòn Lương Thực,- Công ty CP Sài Gòn Lương Thực,TP Hồ Chí Minh,"51,00%","51,00%","Sản xuất, chế biến lương thực; dịch vụ XNK",,0.51,0.51,
- Công ty CP Lương thực Nam Trung Bộ,- Công ty CP Lương thực Nam Trung Bộ,- Công ty CP Lương thực Nam Trung Bộ,Tinh Bình Thuận,"66,27%","66,27%","Sản xuất, chế biến lương thực; dịch vụ XNK",,0.6627,0.6627,
- Công ty CP Lương thực Thực phẩm Safoco,- Công ty CP Lương thực Thực phẩm Safoco,- Công ty CP Lương thực Thực phẩm Safoco,TP Hồ Chí Minh,"51,30%","51,30%","Sản xuất, chế biến thực phẩm; kinh doanh thương mại",,0.513,0.513,
- Công ty CP Bao bì Tiền Giang,- Công ty CP Bao bì Tiền Giang,- Công ty CP Bao bì Tiền Giang,Tinh Tiền Giang,"60,00%","60,00%","Sản xuất, kinh doanh XNK bao bì",,0.6,0.6,
- Công ty CP Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,- Công ty CP Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,- Công ty CP Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,Tinh Cà Mau,"62,05%","62,05%","Kinh doanh nông sản, thực phẩm",,0.6204999999999999,0.6204999999999999,
- Công ty CP Tô Châu,- Công ty CP Tô Châu,- Công ty CP Tô Châu,Tinh Đồng Tháp,"65,40%","65,40%","Nuôi trồng thủy sản, chế biến nông sản",,0.654,0.654,
- Công ty CP Lương thực Bình Định,- Công ty CP Lương thực Bình Định,- Công ty CP Lương thực Bình Định,Tinh Bình Định,"51,00%","51,00%","Sản xuất, chế biến, kinh doanh lương thực",,0.51,0.51,
- Công ty CP Lương thực Hậu Giang,- Công ty CP Lương thực Hậu Giang,- Công ty CP Lương thực Hậu Giang,Tinh Hậu Giang,"53,28%","53,28%","Sản xuất, chế biến, kinh doanh lương thực",,0.5328,0.5328,
- Công ty CP Xây lắp Cơ khi và Lương thực Thực phẩm,- Công ty CP Xây lắp Cơ khi và Lương thực Thực phẩm,- Công ty CP Xây lắp Cơ khi và Lương thực Thực phẩm,Tinh Long An,"60,00%","60,00%","Sản xuất sản phẩm cơ khí lương thực, kinh doanh lương thực",,0.6,0.6,
- Công ty CP Lương thực Quảng Ngãi,- Công ty CP Lương thực Quảng Ngãi,- Công ty CP Lương thực Quảng Ngãi,Tinh Quảng Ngãi,"51,00%","51,00%","Sản xuất, chế biến, kinh doanh lương thực",,0.51,0.51,
- Công ty CP Lương thực Thành phố Hồ Chí Minh,- Công ty CP Lương thực Thành phố Hồ Chí Minh,- Công ty CP Lương thực Thành phố Hồ Chí Minh,TP Hồ Chí Minh,"59,78%","59,78%","Sản xuất, chế biến, kinh doanh lương thực, thương mại",,0.5978,0.5978,
- Công ty CP Xuất nhập khẩu Kiên Giang,- Công ty CP Xuất nhập khẩu Kiên Giang,- Công ty CP Xuất nhập khẩu Kiên Giang,Tinh Kiên Giang,"83,31%","83,31%","Sản xuất, chế biến, kinh doanh lương thực, thương mại",,0.8331000000000001,0.8331000000000001,
