row_label_raw,row_label_full,col_0,2025triệu đồng,2024triệu đồng,numeric__2025triệu đồng,numeric__2024triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,36.323.317,32.440.818,36323317.0,32440818.0
Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,1.788.613,1.088.071,1788613.0,1088071.0
Thu nhập lãi cho vay,Thu nhập lãi cho vay,Thu nhập lãi cho vay,31.721.288,28.688.072,31721288.0,28688072.0
"Thu lãi từ kinh doanh, đầu tư chứng khoán","Thu lãi từ kinh doanh, đầu tư chứng khoán","Thu lãi từ kinh doanh, đầu tư chứng khoán",2.727.112,2.616.090,2727112.0,2616090.0
Thu phí từ nghiệp vụ bảo lãnh,Thu phí từ nghiệp vụ bảo lãnh,Thu phí từ nghiệp vụ bảo lãnh,86.304,48.585,86304.0,48585.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(20.271.528),(15.708.053),-20271528.0,-15708053.0
Trả lãi tiền gửi,Trả lãi tiền gửi,Trả lãi tiền gửi,(16.799.642),(12.712.081),-16799642.0,-12712081.0
Trả lãi tiền vay,Trả lãi tiền vay,Trả lãi tiền vay,(1.891.535),(1.849.522),-1891535.0,-1849522.0
Trả lãi phát hành giấy tờ có giá,Trả lãi phát hành giấy tờ có giá,Trả lãi phát hành giấy tờ có giá,(1.553.581),(1.112.775),-1553581.0,-1112775.0
Chi phí hoạt động tín dụng khác,Chi phí hoạt động tín dụng khác,Chi phí hoạt động tín dụng khác,(26.770),(33.675),-26770.0,-33675.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,16.051.789,16.732.765,16051789.0,16732765.0
