row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Trong nước triệu đồng,Nước ngoài triệu đồng,Tổng cộng triệu đồng,numeric__Trong nước triệu đồng,numeric__Nước ngoài triệu đồng,numeric__Tổng cộng triệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,3.552.555,-,3.552.555,3552555.0,,3552555.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,8.998.068,-,8.998.068,8998068.0,,8998068.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,103.836.921,574.199,104.411.120,103836921.0,574199.0,104411120.0
Cho vay khách hàng,Tài sản > Cho vay khách hàng,Cho vay khách hàng,381.972.016,-,381.972.016,381972016.0,,381972016.0
Hoạt động mua nợ,Tài sản > Hoạt động mua nợ,Hoạt động mua nợ,4.366,-,4.366,4366.0,,4366.0
Chứng khoán đầu tư,Tài sản > Chứng khoán đầu tư,Chứng khoán đầu tư,51.149.531,-,51.149.531,51149531.0,,51149531.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",3.569.125,542,3.569.667,3569125.0,542.0,3569667.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,845.745,-,845.745,845745.0,,845745.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,8.569.663,-,8.569.663,8569663.0,,8569663.0
,,,562.497.990,574.741,563.072.731,562497990.0,574741.0,563072731.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,10.980.813,-,10.980.813,10980813.0,,10980813.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,128.025.329,29.483.632,157.508.961,128025329.0,29483632.0,157508961.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,296.673.135,185.172,296.858.307,296673135.0,185172.0,296858307.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,105.602,-,105.602,105602.0,,105602.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",3.306,-,3.306,3306.0,,3306.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,35.070.700,-,35.070.700,35070700.0,,35070700.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,10.932.677,-,10.932.677,10932677.0,,10932677.0
,,,481.791.562,29.668.804,511.460.366,481791562.0,29668804.0,511460366.0
Các cam kết ngoại bảng,Các cam kết ngoại bảng,Các cam kết ngoại bảng,Các cam kết ngoại bảng,Các cam kết ngoại bảng,Các cam kết ngoại bảng,,,
Cam kết giao dịch hối đoái,Các cam kết ngoại bảng > Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,391.971.912,-,391.971.912,391971912.0,,391971912.0
Cam kết trong nghiệp vụ thư tín dụng,Các cam kết ngoại bảng > Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,3.582.917,-,3.582.917,3582917.0,,3582917.0
Bảo lãnh khác,Các cam kết ngoại bảng > Bảo lãnh khác,Bảo lãnh khác,13.836.912,-,13.836.912,13836912.0,,13836912.0
Các cam kết khác,Các cam kết ngoại bảng > Các cam kết khác,Các cam kết khác,73.546.010,-,73.546.010,73546010.0,,73546010.0
Lãi cho vay và phí phải thu chưa thu được,Các cam kết ngoại bảng > Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,3.573.476,-,3.573.476,3573476.0,,3573476.0
Nợ khó đòi đã xử lý,Các cam kết ngoại bảng > Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,26.012.085,-,26.012.085,26012085.0,,26012085.0
Tài sản và chứng từ khác,Các cam kết ngoại bảng > Tài sản và chứng từ khác,Tài sản và chứng từ khác,23.502.978,-,23.502.978,23502978.0,,23502978.0
