row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.276.579.720.000,11.680.300.000,137.513.584.076,870.960.228.891,4.296.733.832.967,3276579720000.0,11680300000.0,137513584076.0,870960228891.0,4296733832967.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,1.222.683.556.391,1.222.683.556.391,,,,1222683556391.0,1222683556391.0
Phân phối lợi nhuận,Năm trước > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,17.500.000.000,(17.500.000.000),-,,,17500000000.0,-17500000000.0,
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(16.640.913.781),(16.640.913.781),,,,-16640913781.0,-16640913781.0
Chi cổ tức bằng cổ phiếu,Năm trước > Chi cổ tức bằng cổ phiếu,Chi cổ tức bằng cổ phiếu,685.119.250.000,-,-,(685.119.250.000),-,685119250000.0,,,-685119250000.0,
Chi cổ tức bằng tiền,Năm trước > Chi cổ tức bằng tiền,Chi cổ tức bằng tiền,-,-,-,(393.189.566.400),(393.189.566.400),,,,-393189566400.0,-393189566400.0
Thủ lao HĐQT,Năm trước > Thủ lao HĐQT,Thủ lao HĐQT,-,-,-,(5.260.000.000),(5.260.000.000),,,,-5260000000.0,-5260000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.961.698.970.000,11.680.300.000,155.013.584.076,975.934.055.101,5.104.326.909.177,3961698970000.0,11680300000.0,155013584076.0,975934055101.0,5104326909177.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.961.698.970.000,11.680.300.000,155.013.584.076,975.934.055.101,5.104.326.909.177,3961698970000.0,11680300000.0,155013584076.0,975934055101.0,5104326909177.0
Phát hành cổ phiếu (*),Năm nay > Phát hành cổ phiếu (*),Phát hành cổ phiếu (*),60.000.000.000,60.000.000.000,-,-,120.000.000.000,60000000000.0,60000000000.0,,,120000000000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,1.881.021.048.229,1.881.021.048.229,,,,1881021048229.0,1881021048229.0
Phân phối lợi nhuận,Năm nay > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,24.400.000.000,(24.400.000.000),-,,,24400000000.0,-24400000000.0,
"Trích lập quỹ khen thưởng, phúc lợi","Năm nay > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(24.400.000.000),(24.400.000.000),,,,-24400000000.0,-24400000000.0
Chi cổ tức bằng cổ phiếu (*),Năm nay > Chi cổ tức bằng cổ phiếu (*),Chi cổ tức bằng cổ phiếu (*),906.020.190.000,-,-,(906.020.190.000),-,906020190000.0,,,-906020190000.0,
Thủ lao HĐQT,Năm nay > Thủ lao HĐQT,Thủ lao HĐQT,-,-,-,(15.860.000.000),(15.860.000.000),,,,-15860000000.0,-15860000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,4.927.719.160.000,71.680.300.000,179.413.584.076,1.886.274.913.330,7.065.087.957.406,4927719160000.0,71680300000.0,179413584076.0,1886274913330.0,7065087957406.0
