row_label_raw,row_label_full,col_0,col_1,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__col_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
STT,STT,STT,b. Đầu tư vào công ty con,3.255.688.201.448,(392.545.879.707),,2.396.078.636.436,(389.447.202.204),,,3255688201448.0,-392545879707.0,,2396078636436.0,-389447202204.0,
1,1,1,Công ty Cổ phần Kính Đáp Cầu (ii),280.645.000.000,(280.645.000.000),116.651.250.000,280.645.000.000,(280.645.000.000),129.612.500.000,,280645000000.0,-280645000000.0,116651250000.0,280645000000.0,-280645000000.0,129612500000.0
2,2,2,Công ty Cổ phần Viglacera Văn Hải (i),789.985.611.563,-,,281.981.631.563,-,,,789985611563.0,,,281981631563.0,,
3,3,3,Công ty TNHH Kinh nổi siêu trắng Phú Mỹ (i),660.100.000.000,-,,660.100.000.000,-,,,660100000000.0,,,660100000000.0,,
4,4,4,Công ty Cổ phần Khoáng sản Viglacera (ii),7.447.460.436,-,13.387.500.000,7.447.460.436,-,15.937.500.000,,7447460436.0,,13387500000.0,7447460436.0,,15937500000.0
5,5,5,Công ty Cổ phần Việt Trì Viglacera (i),29.999.243.861,-,,29.999.243.861,-,,,29999243861.0,,,29999243861.0,,
6,6,6,Công ty Cổ phần Sử Viglacera Thanh Trì (ii),39.898.908.925,-,49.110.880.000,39.898.908.925,-,48.355.328.000,,39898908925.0,,49110880000.0,39898908925.0,,48355328000.0
7,7,7,Công ty Cổ phần Thương mại Viglacera (i),22.171.173.381,(14.536.237.843),,22.171.173.381,(14.583.575.640),,,22171173381.0,-14536237843.0,,22171173381.0,-14583575640.0,
8,8,8,Công ty Cổ phần Viglacera Thăng Long (ii),21.420.000.000,-,56.763.000.000,21.420.000.000,-,74.970.000.000,,21420000000.0,,56763000000.0,21420000000.0,,74970000000.0
9,9,9,Công ty Cổ phần Viglacera Tiên Sơn (iii),245.248.800.000,-,481.950.000.000,245.248.800.000,-,484.500.000.000,,245248800000.0,,481950000000.0,245248800000.0,,484500000000.0
10,10,10,Công ty Cổ phần Viglacera Hà Nội (ii),28.560.000.000,-,28.560.000.000,28.560.000.000,-,39.412.800.000,,28560000000.0,,28560000000.0,28560000000.0,,39412800000.0
11,11,11,Công ty Cổ phần Bê tông khí Viglacera (i),62.200.000.000,(62.200.000.000),,62.200.000.000,(62.200.000.000),,,62200000000.0,-62200000000.0,,62200000000.0,-62200000000.0,
12,12,12,Công ty Cổ phần Bao bì và Má phanh Viglacera (i),6.553.719.948,-,,6.553.719.948,-,,,6553719948.0,,,6553719948.0,,
13,13,13,Công ty Cổ phần Viglacera Hạ Long (iii),226.136.894.000,-,172.883.725.000,226.136.894.000,-,283.933.125.000,,226136894000.0,,172883725000.0,226136894000.0,,283933125000.0
14,14,14,Công ty Cổ phần Từ Liêm (i),22.876.640.252,(22.876.640.252),,22.876.640.252,(22.876.640.252),,,22876640252.0,-22876640252.0,,22876640252.0,-22876640252.0,
15,15,15,Công ty Cổ phần 382 Đông Anh (ii),3.895.380.000,(3.895.380.000),3.792.870.000,3.895.380.000,(3.895.380.000),4.305.420.000,,3895380000.0,-3895380000.0,3792870000.0,3895380000.0,-3895380000.0,4305420000.0
16,16,16,Công ty Cổ phần Gốm Xây dựng Hữu Hưng (i),5.246.606.313,(5.246.606.312),,5.246.606.313,(5.246.606.312),,,5246606313.0,-5246606312.0,,5246606313.0,-5246606312.0,
17,17,17,Công ty Cổ phần Tư vấn Viglacera (i),2.823.344.712,-,,2.823.344.712,-,,,2823344712.0,,,2823344712.0,,
18,18,18,Công ty Cổ phần Phát triển Khu công nghiệp Viglacera Yên Mỹ (i),180.000.000.000,-,,180.000.000.000,-,,,180000000000.0,,,180000000000.0,,
19,19,19,Công ty TNHH CHAO - Viglacera (i),3.146.015.300,(3.146.015.300),,3.146.015.300,-,,,3146015300.0,-3146015300.0,,3146015300.0,,
20,20,20,Công ty ViMariel - CTCP (i),311.333.402.757,-,,265.727.817.745,-,,,311333402757.0,,,265727817745.0,,
21,21,21,Công ty Cổ phần Viglacera Thái Nguyên (i),306.000.000.000,-,,-,-,,,306000000000.0,,,,,
