row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,VND,VND,,
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,3.371.594.571.667,3.076.992.668.188,3371594571667.0,3076992668188.0
"Chi phí vật liệu, đồ dùng văn phòng","Chi phí vật liệu, đồ dùng văn phòng","Chi phí vật liệu, đồ dùng văn phòng",125.699.979.376,98.475.765.358,125699979376.0,98475765358.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,2.355.606.338.743,2.327.607.053.206,2355606338743.0,2327607053206.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",151.265.649.661,108.107.821.929,151265649661.0,108107821929.0
Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,664.162.226.444,694.742.675.227,664162226444.0,694742675227.0
"Chi phí điều hành, thương quyền","Chi phí điều hành, thương quyền","Chi phí điều hành, thương quyền",221.812.443.970,124.710.529.979,221812443970.0,124710529979.0
"Chi phí bảo hiểm hàng không, phi hàng không","Chi phí bảo hiểm hàng không, phi hàng không","Chi phí bảo hiểm hàng không, phi hàng không",29.711.144.015,28.928.382.067,29711144015.0,28928382067.0
"Chi phí điện, nước, thông tin liên lạc","Chi phí điện, nước, thông tin liên lạc","Chi phí điện, nước, thông tin liên lạc",478.957.808.198,400.517.469.705,478957808198.0,400517469705.0
Chi phí dịch vụ mua ngoài khác,Chi phí dịch vụ mua ngoài khác,Chi phí dịch vụ mua ngoài khác,479.414.798.059,363.088.563.012,479414798059.0,363088563012.0
"Chi hoa hồng, môi giới","Chi hoa hồng, môi giới","Chi hoa hồng, môi giới",157.441.971.056,105.233.968.746,157441971056.0,105233968746.0
Chi phí phúc lợi cho người lao động,Chi phí phúc lợi cho người lao động,Chi phí phúc lợi cho người lao động,223.699.906.889,203.249.424.392,223699906889.0,203249424392.0
Phí nhượng quyền khai thác,Phí nhượng quyền khai thác,Phí nhượng quyền khai thác,226.687.867.000,212.771.297.000,226687867000.0,212771297000.0
Chi phí bằng tiền khác,Chi phí bằng tiền khác,Chi phí bằng tiền khác,319.320.934.429,305.878.432.375,319320934429.0,305878432375.0
Trích lập dự phòng nợ phải thu khó đòi,Trích lập dự phòng nợ phải thu khó đòi,Trích lập dự phòng nợ phải thu khó đòi,2.475.167.275.648,755.343.222.770,2475167275648.0,755343222770.0
,,,11.280.542.915.155,8.805.647.273.954,11280542915155.0,8805647273954.0
