row_label_raw,row_label_full,Danh sách các bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Đức Long Tây Nguyên,Công ty Cổ phần Đức Long Tây Nguyên,Công ty Cổ phần Đức Long Tây Nguyên,Công ty liên kết. Tỷ lệ vốn DLG cam kết góp tại Công ty này là 40%.,
Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Công ty liên kết. Tỷ lệ vốn góp của DLG tại công ty này là 20%. Ông Bùi Pháp - Chủ tịch HĐQT của DLG đồng thời là chủ tịch HĐQT của Công ty này.,
Công ty Cổ phần DLG CY Việt Nam,Công ty Cổ phần DLG CY Việt Nam,Công ty Cổ phần DLG CY Việt Nam,Công ty liên kết. Tỷ lệ vốn DLG cam kết góp tại công ty này là 40%.,
Công ty CP Điện Mặt trời DLG Ninh Thuận,Công ty CP Điện Mặt trời DLG Ninh Thuận,Công ty CP Điện Mặt trời DLG Ninh Thuận,Ống Bùi Pháp – Chủ tịch HĐQT của DLG đồng thời là Chủ tịch HĐQT của Công ty này,
Công ty CP Dịch vụ công cộng Đức Long Bảo Lộc,Công ty CP Dịch vụ công cộng Đức Long Bảo Lộc,Công ty CP Dịch vụ công cộng Đức Long Bảo Lộc,Công ty nhận đầu tư. Tỷ lệ vốn góp của DLG tại công ty này là 4%.,
Công ty CP Tập đoàn Năng lượng Tái tạo Việt Nam,Công ty CP Tập đoàn Năng lượng Tái tạo Việt Nam,Công ty CP Tập đoàn Năng lượng Tái tạo Việt Nam,Có chung cổ đông lớn là ông Bùi Pháp,
Công ty Cổ phần Đầu tư Xây dựng Đức Long Gia Lai,Công ty Cổ phần Đầu tư Xây dựng Đức Long Gia Lai,Công ty Cổ phần Đầu tư Xây dựng Đức Long Gia Lai,Chung thành viên lãnh đạo,
Công ty TNHH Phú Thành Gia Pleiku,Công ty TNHH Phú Thành Gia Pleiku,Công ty TNHH Phú Thành Gia Pleiku,Công ty con của Công ty có chung cổ đông lớn (Công ty CP Tập đoàn Năng lượng Tái tạo Việt Nam),
Công ty TNHH Đức Long Dung Quát,Công ty TNHH Đức Long Dung Quát,Công ty TNHH Đức Long Dung Quát,Ống Bùi Pháp là Chủ tịch HĐQT của DLG đồng thời là Chủ tịch HĐTV của Công ty này,
