row_label_raw,row_label_full,col_0,NGUỒN VỐN,Thuyết,Thuyết_1,Thuyết_2,Thuyết_3,numeric__NGUỒN VỐN,numeric__Thuyết,numeric__Thuyết_1,numeric__Thuyết_2,numeric__Thuyết_3
,,,NGUỒN VỐN,Mã số,minh,Số cuối năm,Số đầu năm,,,,,
C.,C.,C.,NỘ PHẢI TRẢ,300,,3.790.838.619.074,4.272.435.357.109,,300.0,,3790838619074.0,4272435357109.0
I.,I.,I.,Nợ ngắn hạn,310,,3.771.124.636.797,4.255.382.913.679,,310.0,,3771124636797.0,4255382913679.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,15,1.230.721.486.283,1.434.037.560.108,,311.0,15.0,1230721486283.0,1434037560108.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,16,116.026.475.921,91.660.829.034,,312.0,16.0,116026475921.0,91660829034.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,11,13.084.570.827,31.796.446.595,,313.0,11.0,13084570827.0,31796446595.0
4.,4.,4.,Phải trả người lao động,314,,143.493.578.468,169.691.197.365,,314.0,,143493578468.0,169691197365.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,17,6.806.791.565,8.340.847.250,,315.0,17.0,6806791565.0,8340847250.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,18,121.084.421.294,130.322.265.781,,318.0,18.0,121084421294.0,130322265781.0
7.,7.,7.,Phải trả ngắn hạn khác,319,19,402.124.385.993,386.176.921.021,,319.0,19.0,402124385993.0,386176921021.0
8.,8.,8.,Vay ngắn hạn,320,20,1.578.035.584.184,1.845.022.377.695,,320.0,20.0,1578035584184.0,1845022377695.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,21,1.644.732.923,-,,321.0,21.0,1644732923.0,
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,158.102.609.339,158.334.468.830,,322.0,,158102609339.0,158334468830.0
II.,II.,II.,Nợ dài hạn,330,,19.713.982.277,17.052.443.430,,330.0,,19713982277.0,17052443430.0
1.,1.,1.,Thuế thu nhập hoãn lại phải trả,341,30,356.387.455,444.396.125,,341.0,30.0,356387455.0,444396125.0
2.,2.,2.,Dự phòng phải trả dài hạn,342,21,19.357.594.822,16.608.047.305,,342.0,21.0,19357594822.0,16608047305.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,4.832.911.358.204,5.112.622.180.527,,400.0,,4832911358204.0,5112622180527.0
I.,I.,I.,Vốn chủ sở hữu,410,22,4.832.911.358.204,5.112.622.180.527,,410.0,22.0,4832911358204.0,5112622180527.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.815.899.110.000,3.815.899.110.000,,411.0,,3815899110000.0,3815899110000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.815.899.110.000,3.815.899.110.000,,,,3815899110000.0,3815899110000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,70.877.131.506,70.877.131.506,,412.0,,70877131506.0,70877131506.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,918.345.539.128,903.345.539.128,,418.0,,918345539128.0,903345539128.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,18.249.082.255,313.196.850.998,,421.0,,18249082255.0,313196850998.0
,,,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,421a,,521.136.598,55.490.550.542,,,,521136598.0,55490550542.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,17.727.945.657,257.706.300.456,,,,17727945657.0,257706300456.0
5.,5.,5.,Lợi ích cổ đông không kiểm soát,429,,9.540.495.315,9.303.548.895,,429.0,,9540495315.0,9303548895.0
