row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tại ngày 31 tháng 12 năm 2019(Triệu VND)","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Quá hạn","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Khônghuống lãi","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Dưới1 tháng","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 1 đến3 tháng","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 3 đến6 tháng","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 6 đến12 tháng","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 1 đến5 năm","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Trên 5 năm","Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tổng cộng","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Quá hạn","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Khônghuống lãi","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Dưới1 tháng","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 1 đến3 tháng","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 3 đến6 tháng","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 6 đến12 tháng","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Từ 1 đến5 năm","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Trên 5 năm","numeric__Ngân hàng Thương mại Cổ phần Quốc tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tổng cộng"
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.159.583,-,-,-,-,-,-,1.159.583,,1159583.0,,,,,,,1159583.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,19.040.311,-,-,-,-,-,19.040.311,,,19040311.0,,,,,,19040311.0
Tiền gửi và cho vaycác TCTD khác - gộp,Tài sản > Tiền gửi và cho vaycác TCTD khác - gộp,Tiền gửi và cho vaycác TCTD khác - gộp,-,-,2.672.025,414.427,675.407,250.000,-,-,4.011.859,,,2672025.0,414427.0,675407.0,250000.0,,,4011859.0
Cho vay khách hàngvà hoạt động mua nợ - gộp,Tài sản > Cho vay khách hàngvà hoạt động mua nợ - gộp,Cho vay khách hàngvà hoạt động mua nợ - gộp,1.370.658,-,28.482.207,60.592.154,16.009.859,21.735.810,1.265.121,70.571,129.526.380,1370658.0,,28482207.0,60592154.0,16009859.0,21735810.0,1265121.0,70571.0,129526380.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,1.010.060,1.993.874,6.025.989,7.302.718,8.796.388,2.795.520,27.924.549,,,1010060.0,1993874.0,6025989.0,7302718.0,8796388.0,2795520.0,27924549.0
"Gộp vốn, đầu tư dài hạn","Tài sản > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",-,285.272,-,-,-,-,-,-,285.272,,285272.0,,,,,,,285272.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,360.186,-,-,-,-,-,-,360.186,,360186.0,,,,,,,360186.0
Tài sản cố khác - gộp,Tài sản > Tài sản cố khác - gộp,Tài sản cố khác - gộp,-,3.800.845,-,-,-,-,-,-,3.800.845,,3800845.0,,,,,,,3800845.0
,,,1.370.658,5.605.886,51.204.603,63.000.455,22.711.255,29.288.528,10.061.509,2.866.091,186.108.985,1370658.0,5605886.0,51204603.0,63000455.0,22711255.0,29288528.0,10061509.0,2866091.0,186108985.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi và vaycác TCTD khác,Nợ phải trả > Tiền gửi và vaycác TCTD khác,Tiền gửi và vaycác TCTD khác,-,-,11.930.312,6.706.819,4.301.496,33,4.286.450,-,27.225.110,,,11930312.0,6706819.0,4301496.0,33.0,4286450.0,,27225110.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,41.657.418,30.854.575,30.728.047,12.596.523,6.639.045,51.133,122.526.741,,,41657418.0,30854575.0,30728047.0,12596523.0,6639045.0,51133.0,122526741.0
Các công cụ tài chính phải sinhvà các công nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinhvà các công nợ tài chính khác,Các công cụ tài chính phải sinhvà các công nợ tài chính khác,-,2.426,-,-,-,-,-,-,2.426,,2426.0,,,,,,,2426.0
"Vốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro",-,-,799,9.903,-,-,-,-,10.702,,,799.0,9903.0,,,,,10702.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,6.234,-,-,130.777,-,1.100.000,15.774.080,143.756,17.154.847,6234.0,,,130777.0,,1100000.0,15774080.0,143756.0,17154847.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,4.335.477,-,-,-,-,-,-,4.335.477,,4335477.0,,,,,,,4335477.0
,,,6.234,4.337.903,53.588.529,37.702.074,35.029.543,13.696.556,26.699.575,194.889,171.255.303,6234.0,4337903.0,53588529.0,37702074.0,35029543.0,13696556.0,26699575.0,194889.0,171255303.0
Mức chênh lệch nhạy cảm vớilãi suất - nội bằng,Nợ phải trả > Mức chênh lệch nhạy cảm vớilãi suất - nội bằng,Mức chênh lệch nhạy cảm vớilãi suất - nội bằng,1.364.424,1.267.983,(2.383.926),25.298.381,(12.318.288),15.591.972,(16.638.066),2.671.202,14.853.682,1364424.0,1267983.0,-2383926.0,25298381.0,-12318288.0,15591972.0,-16638066.0,2671202.0,14853682.0
Các cam kết ngoại bằng có tácđộng tới mức độ nhạy cảm vớiLãi suất của các tài sản và nợphải trả (thuẩn),Nợ phải trả > Các cam kết ngoại bằng có tácđộng tới mức độ nhạy cảm vớiLãi suất của các tài sản và nợphải trả (thuẩn),Các cam kết ngoại bằng có tácđộng tới mức độ nhạy cảm vớiLãi suất của các tài sản và nợphải trả (thuẩn),-,-,(50),(346.277),348.369,-,-,-,2.042,,,-50.0,-346277.0,348369.0,,,,2042.0
"Mức chênh nhạy cảm với lãi suất nội, ngoại bằng","Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội, ngoại bằng","Mức chênh nhạy cảm với lãi suất nội, ngoại bằng",1.364.424,1.267.983,(2.383.976),24.952.104,(11.969.919),15.591.972,(16.638.066),2.671.202,14.855.724,1364424.0,1267983.0,-2383976.0,24952104.0,-11969919.0,15591972.0,-16638066.0,2671202.0,14855724.0
