row_label_raw,row_label_full,STT,Tên đơn vị,Tổng tỷ lệ sở hữu của Tập đoàn > 31/12/2025,Tổng tỷ lệ sở hữu của Tập đoàn > 1/1/2025,Giá trị đầu tư của Tập đoàn Đệt May Việt Nam theo giá gốc khoản đầu tư VND > 31/12/2025,Giá trị đầu tư của Tập đoàn Đệt May Việt Nam theo giá gốc khoản đầu tư VND > 1/1/2025,Giá trị đầu tư của các công ty khác trong Tập đoàn theo giá gốc khoản đầu tư VND > 31/12/2025,Giá trị đầu tư của các công ty khác trong Tập đoàn theo giá gốc khoản đầu tư VND > 1/1/2025,numeric__Tên đơn vị,numeric__Tổng tỷ lệ sở hữu của Tập đoàn > 31/12/2025,numeric__Tổng tỷ lệ sở hữu của Tập đoàn > 1/1/2025,numeric__Giá trị đầu tư của Tập đoàn Đệt May Việt Nam theo giá gốc khoản đầu tư VND > 31/12/2025,numeric__Giá trị đầu tư của Tập đoàn Đệt May Việt Nam theo giá gốc khoản đầu tư VND > 1/1/2025,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn theo giá gốc khoản đầu tư VND > 31/12/2025,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn theo giá gốc khoản đầu tư VND > 1/1/2025
1,1,1,Công ty TNHH Một thành viên Đệt kim Đông Xuân,100%,100%,115.191.925.340,115.191.925.340,-,-,,1.0,1.0,115191925340.0,115191925340.0,,
2,2,2,Công ty TNHH Một thành viên Đệt kim Đông Phương,100%,100%,163.627.554.636,163.627.554.636,-,-,,1.0,1.0,163627554636.0,163627554636.0,,
3,3,3,Công ty Cổ phần Sản xuất Kinh doanh Nguyên liệu Đệt May Việt Nam,"80,74%","80,74%",24.852.076.451,24.852.076.451,17.282.879.453,17.282.879.453,,0.8073999999999999,0.8073999999999999,24852076451.0,24852076451.0,17282879453.0,17282879453.0
4,4,4,Công ty Cổ phần Sợi Phú Bài,"63,77%","63,77%",122.656.621.350,122.656.621.350,7.495.524.000,7.495.524.000,,0.6377,0.6377,122656621350.0,122656621350.0,7495524000.0,7495524000.0
5,5,5,Công ty Cổ phần Phát Triền Hạ tầng Đệt May Phố Nói,"51,00%","51,00%",38.633.449.251,38.633.449.251,-,-,,0.51,0.51,38633449251.0,38633449251.0,,
6,6,6,Tổng Công ty Cổ phần Đệt May Hoà Thọ,"61,87%","61,87%",189.153.465.950,189.153.465.950,-,-,,0.6187,0.6187,189153465950.0,189153465950.0,,
7,7,7,Công ty Cổ phần Sản xuất Xuất nhập khẩu Đệt May,"68,34%","68,34%",26.032.500.000,26.032.500.000,-,-,,0.6834,0.6834,26032500000.0,26032500000.0,,
8,8,8,Công ty Cổ phần Đệt May Huế,"60,86%","60,86%",172.033.729.000,172.033.729.000,-,-,,0.6086,0.6086,172033729000.0,172033729000.0,,
9,9,9,Tổng Công ty Cổ phần Đệt May Nam Định,"53,67%","53,67%",81.555.023.813,81.555.023.813,-,-,,0.5367000000000001,0.5367000000000001,81555023813.0,81555023813.0,,
10,10,10,Tổng Công ty Cổ phần Phong Phú,"50,10%","50,10%",532.242.925.014,532.242.925.014,-,-,,0.501,0.501,532242925014.0,532242925014.0,,
11,11,11,Công ty TNHH Tổng Công ty Đệt May Miền Bắc - Vinatex,100%,100%,500.000.000.000,500.000.000.000,-,-,,1.0,1.0,500000000000.0,500000000000.0,,
12,12,12,Công ty TNHH Tổng Công ty Đệt May Miền Nam - Vinatex,100%,100%,191.301.358.205,191.301.358.205,-,-,,1.0,1.0,191301358205.0,191301358205.0,,
13,13,13,Công ty Cổ phần Vinatex Phú Hưng,52%,52%,33.800.000.000,33.800.000.000,-,-,,0.52,0.52,33800000000.0,33800000000.0,,
