row_label_raw,row_label_full,Năm trước,Miền Bắc > Năm trước,Miền Nam > Năm trước,Loại trừ > Năm trước,Tổng cộng > Năm trước,numeric__Miền Bắc > Năm trước,numeric__Miền Nam > Năm trước,numeric__Loại trừ > Năm trước,numeric__Tổng cộng > Năm trước
Doanh thu thuần bán hàng ra bên ngoài,Doanh thu thuần bán hàng ra bên ngoài,Doanh thu thuần bán hàng ra bên ngoài,169.264.259.258,1.784.393.815.883,-,1.953.658.075.141,169264259258.0,1784393815883.0,,1953658075141.0
Doanh thu thuần bán hàng cho các bộ phận khác,Doanh thu thuần bán hàng cho các bộ phận khác,Doanh thu thuần bán hàng cho các bộ phận khác,15.393.807.825,149.740.256.978,(165.134.064.803),,15393807825.0,149740256978.0,-165134064803.0,
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,184.658.067.083,1.934.134.072.861,(165.134.064.803),1.953.658.075.141,184658067083.0,1934134072861.0,-165134064803.0,1953658075141.0
Giá vốn,Giá vốn,Giá vốn,122.964.274.612,1.587.891.921.858,(150.051.615.537),1.560.804.580.933,122964274612.0,1587891921858.0,-150051615537.0,1560804580933.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,61.693.792.471,346.242.151.003,(15.082.449.266),392.853.494.208,61693792471.0,346242151003.0,-15082449266.0,392853494208.0
"Lãi/(lỗ) trong công ty liên doanh, liên kết","Lãi/(lỗ) trong công ty liên doanh, liên kết","Lãi/(lỗ) trong công ty liên doanh, liên kết",-,(9.050.259.506),-,(9.050.259.506),,-9050259506.0,,-9050259506.0
Chi phí bán hàng và chi phí quản lý doanh nghiệp,Chi phí bán hàng và chi phí quản lý doanh nghiệp,Chi phí bán hàng và chi phí quản lý doanh nghiệp,50.125.752.054,292.638.153.474,10.788.929.212,353.552.834.740,50125752054.0,292638153474.0,10788929212.0,353552834740.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,11.764.644,2.918.276.498,(38.777.980),2.891.263.162,11764644.0,2918276498.0,-38777980.0,2891263162.0
Doanh thu tài chính,Doanh thu tài chính,Doanh thu tài chính,175.293.904.698,107.802.461.834,(33.448.620.646),249.647.745.886,175293904698.0,107802461834.0,-33448620646.0,249647745886.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,14.330.407.861,36.705.052.049,4.062.826.048,55.098.285.958,14330407861.0,36705052049.0,4062826048.0,55098285958.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,172.543.301.898,118.569.424.306,(63.421.603.152),227.691.123.052,172543301898.0,118569424306.0,-63421603152.0,227691123052.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,27.084.545.352,33.557.983.691,-,60.642.529.043,27084545352.0,33557983691.0,,60642529043.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,-,843.672.097,(10.298.381.041),(9.454.708.944),,843672097.0,-10298381041.0,-9454708944.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,145.458.756.546,84.167.768.518,(53.123.222.111),176.503.302.953,145458756546.0,84167768518.0,-53123222111.0,176503302953.0
