row_label_raw,row_label_full,STT,Tên công ty,Tỷ lệ sở hữu (%),Tỷ lệ biểu quyết (%),Trụ sở chính,Hoạt động chính,numeric__Tên công ty,numeric__Tỷ lệ sở hữu (%),numeric__Tỷ lệ biểu quyết (%),numeric__Trụ sở chính,numeric__Hoạt động chính
1,1,1,Công ty TNHH HP Hospitality Nha Trang (“Công ty HPH Nha Trang”),"78,00","78,00","Khu dân cư Cần Tân Lập, phường Xương Huân, thành phố Nha Trang, tỉnh Khánh Hòa, Việt Nam",Phát triển dự án bất động sản,,78.0,78.0,,
2,2,2,Công ty Cổ phần Địa ốc Châu Sơn (“Công ty Châu Sơn”),"81,59","81,59","Tầng 5, tòa nhà CT3, khu ĐTM An Hưng, phường La Khê, quận Hà Đông, thành phố Hà Nội, Việt Nam","Kinh doanh, cho thuê và quản lý bất động sản",,81.59,81.59,,
3,3,3,Công ty TNHH Một thành viên Hải Phát – Bình Thuận (“Công ty Hải Phát – Bình Thuận”),"100,00","100,00","Tầng 2, tòa nhà Viettel Bình Thuận, đại lộ Hùng Vương, phường Phú Thủy, thành phố Phan Thiết, tỉnh Bình Thuận, Việt Nam","Kinh doanh, phát triển các dự án bất động sản",,100.0,100.0,,
4,4,4,Công ty Cổ phần Đầu tư và Kinh doanh Bất động sản Hải Phát (“Công ty ĐT và KD BĐS Hải Phát”),"75,78","75,78","Tầng 2, tòa CT4, khu ĐTM An Hưng, phường La Khê, quận Hà Đông, thành phố Hà Nội, Việt Nam",Phát triển dự án bất động sản và cung cấp dịch vụ môi giới,,75.78,75.78,,
5,5,5,Công ty TNHH Một thành viên Địa ốc Heritage Việt Nam (“Công ty Heritage”),"100,00","100,00","Số 9 Lý Thường Kiệt, phường Phú Nhuận, thành phố Huế, tỉnh Thừa Thiên Huế, Việt Nam",Kinh doanh bất động sản,,100.0,100.0,,
6,6,6,Công ty TNHH Một thành viên Địa ốc Ruby (“Công ty Ruby”),"100,00","100,00","Tầng 5, tòa CT3, khu ĐTM An Hưng, phường La Khê, quận Hà Đông, thành phố Hà Nội, Việt Nam",Kinh doanh phát triển các dự án bất động sản,,100.0,100.0,,
7,7,7,Công ty Cổ phần Dịch vụ Đô Thị PSP (“Công ty PSP”),"77,00","77,00","Tầng 5, tòa CT3, khu ĐTM An Hưng, phường La Khê, quận Hà Đông, thành phố Hà Nội, Việt Nam",Quản lý vận hành sau đầu tư,,77.0,77.0,,
8,8,8,Công ty Cổ phần Khách sạn và Nghĩ dưỡng IWG (“Công ty IWG”),"50,50","50,50","Tầng 5, tòa CT3, khu ĐTM An Hưng, phường La Khê, quận Hà Đông, thành phố Hà Nội, Việt Nam","Tư vấn, môi giới, quản lý bất động sản và xây dựng nhà",,50.5,50.5,,
9,9,9,Công ty TNHH Một thành viên Đầu tư Sapphire (“Công ty Sapphire”),"100,00","100,00","Tầng 5, tòa B2, Roman Plaza, đường Tố Hữu, phường Địa Mỗ, quận Nam Tư Liêm, thành phố Hà Nội, Việt Nam",Hoạt động hỗ trợ dịch vụ tài chính,,100.0,100.0,,
10,10,10,Công ty TNHH Một thành viên Đầu tư và phát triển TOPAZ PM Việt Nam (“Công ty Topaz”),"100,00","100,00","Tầng 5, tòa CT3, khu ĐTM An Hưng, phường La Khê, quận Hà Đông, thành phố Hà Nội, Việt Nam",Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan,,100.0,100.0,,
11,11,11,Công ty TNHH Một thành Viên DIAMOND IC (“Công ty Diamond IC”),"100,00","100,00","Tầng 5, tòa CT3, khu ĐTM An Hưng, phường La Khê, quận Hà Đông, thành phố Hà Nội, Việt Nam",Hoạt động tư vấn đầu tư,,100.0,100.0,,
