row_label_raw,row_label_full,STT,Tên công ty,Tỷ lệ sở hữu (%),Tỷ lệ biểu quyết (%),Trụ sở chính,Hoạt động chính,numeric__Tên công ty,numeric__Tỷ lệ sở hữu (%),numeric__Tỷ lệ biểu quyết (%),numeric__Trụ sở chính,numeric__Hoạt động chính
1,1,1,Công ty HPH Nha Trang,"78,00","78,00","Khu dân cư Cồn Tân Lập, phường Xương Huân, thành phố Nha Trang, tỉnh Khánh Hòa, Việt Nam",Phát triển dự án bất động sản,,78.0,78.0,,
2,2,2,Công ty Châu Sơn,"81,59","81,59","Tầng 5, tòa nhà CT3, khu ĐTM An Hưng, phường La Khê, quận Hà Đông, thành phố Hà Nội, Việt Nam","Kinh doanh, cho thuê và quản lý bất động sản",,81.59,81.59,,
3,3,3,Công ty Hải Phát – Bình Thuận,"100,00","100,00","Tầng 2, tòa nhà Viettel Bình Thuận, đại lộ Hùng Vương, phường Phú Thủy, thành phố Phan Thiết, tỉnh Bình Thuận, Việt Nam","Kinh doanh, phát triển các dự án bất động sản",,100.0,100.0,,
4,4,4,Công ty Heritage,"100,00","100,00","Số 9 Lý Thường Kiệt, phường Phú Nhuận, thành phố Huế, tỉnh Thừa Thiên Huế, Việt Nam",Kinh doanh bất động sản,,100.0,100.0,,
5,5,5,Công ty Ruby,"100,00","100,00","Tầng 5, tòa CT3, khu ĐTM An Hưng, phường La Khê, quận Hà Đông, thành phố Hà Nội, Việt Nam",Kinh doanh phát triển các dự án bất động sản,,100.0,100.0,,
6,6,6,Công ty PSP (*),"93,87","93,87","Tầng 5, tòa CT3, khu ĐTM An Hưng, phường La Khê, quận Hà Đông, thành phố Hà Nội, Việt Nam",Quản lý vận hành sau đầu tư,,93.87,93.87,,
7,7,7,Công ty IWG,"50,50","50,50","Tầng 5, tòa CT3, khu ĐTM An Hưng, phường La Khê, quận Hà Đông, thành phố Hà Nội, Việt Nam","Tư vấn, môi giới, quản lý bất động sản và xây dựng nhà",,50.5,50.5,,
8,8,8,Công ty Sapphire,"100,00","100,00","Tầng 5, tòa B2, Roman Plaza, đường Tổ Hữu, phường Địa Mỗ, quận Nam Từ Liêm, thành phố Hà Nội, Việt Nam",Hoạt động hỗ trợ dịch vụ tài chính,,100.0,100.0,,
9,9,9,Công ty Topaz,"100,00","100,00","Tầng 5, tòa CT3, khu ĐTM An Hưng, phường La Khê, quận Hà Đông, thành phố Hà Nội, Việt Nam",Hoạt động kiến trúc và tư vấn ký thuật có liên quan,,100.0,100.0,,
10,10,10,Công ty Diamond IC,"100,00","100,00","Tầng 5, tòa CT3, khu ĐTM An Hưng, phường La Khê, quận Hà Đông, thành phố Hà Nội, Việt Nam",Hoạt động tư vấn đầu tư,,100.0,100.0,,
