row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2018 VND,31/12/2017 VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2018 VND,numeric__31/12/2017 VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,680.247.116.192,648.853.204.976,,4.0,680247116192.0,648853204976.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,1.275.368.798.168,3.106.795.746.709,,5.0,1275368798168.0,3106795746709.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,13.446.470.503.915,10.381.134.485.255,,6.0,13446470503915.0,10381134485255.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,12.737.000.923.175,9.465.964.985.255,,,12737000923175.0,9465964985255.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,709.469.580.740,915.169.500.000,,,709469580740.0,915169500000.0
IV,A > IV,IV,Chứng khoán kinh doanh,,-,3.288.593.200.000,,,,3288593200000.0
1,A > 1,1,Chứng khoán kinh doanh,,-,3.288.593.200.000,,,,3288593200000.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,7,62.021.072.161,34.459.675.710,,7.0,62021072161.0,34459675710.0
VI,A > VI,VI,Cho vay khách hàng,,55.751.006.610.433,47.778.861.069.809,,,55751006610433.0,47778861069809.0
1,A > 1,1,Cho vay khách hàng,8,56.316.351.513.938,48.182.976.683.825,,8.0,56316351513938.0,48182976683825.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9,(565.344.903.505),(404.115.614.016),,9.0,-565344903505.0,-404115614016.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,10,24.387.912.715.695,16.445.929.137.260,,10.0,24387912715695.0,16445929137260.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,24.444.023.730.519,16.093.181.871.339,,,24444023730519.0,16093181871339.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,-,727.599.850.656,,,,727599850656.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(56.111.014.824),(374.852.584.735),,,-56111014824.0,-374852584735.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",11,39.736.288.513,39.736.288.513,,11.0,39736288513.0,39736288513.0
1,A > 1,1,Đầu tư vào công ty con,,25.000.000.000,25.000.000.000,,,25000000000.0,25000000000.0
4,A > 4,4,Đầu tư dài hạn khác,,24.540.000.000,36.430.000.000,,,24540000000.0,36430000000.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(9.803.711.487),(21.693.711.487),,,-9803711487.0,-21693711487.0
X,A > X,X,Tài sản cố định,,529.287.598.940,527.005.924.816,,,529287598940.0,527005924816.0
1,A > 1,1,Tài sản cố định hữu hình,12,279.207.341.730,259.503.842.193,,12.0,279207341730.0,259503842193.0
a,A > a,a,Nguyên giá,,562.058.876.913,507.670.109.143,,,562058876913.0,507670109143.0
b,A > b,b,Giá trị hao mòn lũy kế,,(282.851.535.183),(248.166.266.950),,,-282851535183.0,-248166266950.0
3,A > 3,3,Tài sản cố định vô hình,13,250.080.257.210,267.502.082.623,,13.0,250080257210.0,267502082623.0
a,A > a,a,Nguyên giá,,355.722.349.547,349.695.313.390,,,355722349547.0,349695313390.0
b,A > b,b,Giá trị hao mòn lũy kế,,(105.642.092.337),(82.193.230.767),,,-105642092337.0,-82193230767.0
XII,A > XII,XII,Tài sản Có khác,14,3.874.520.829.865,2.101.533.819.826,,14.0,3874520829865.0,2101533819826.0
1,A > 1,1,Các khoản phải thu,,2.414.109.267.432,855.412.078.453,,,2414109267432.0,855412078453.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,1.116.408.031.639,943.998.088.252,,,1116408031639.0,943998088252.0
4,A > 4,4,Tài sản Có khác,,348.803.530.794,306.923.653.121,,,348803530794.0,306923653121.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(4.800.000.000),(4.800.000.000),,,-4800000000.0,-4800000000.0
,,,TỔNG TÀI SẢN,,100.046.571.533.882,84.352.902.552.874,,,100046571533882.0,84352902552874.0
