row_label_raw,row_label_full,Ông Nguyễn Xuân Thắng > Ông Trịnh Xuân Nhân,Giám đốc,bổ nhiệm ngày 19 tháng 4 năm 2015 > từ nhiệm ngày 19 tháng 4 năm 2015,numeric__Giám đốc,numeric__bổ nhiệm ngày 19 tháng 4 năm 2015 > từ nhiệm ngày 19 tháng 4 năm 2015
Ông Phan Thanh Thủ,Ông Phan Thanh Thủ,Ông Phan Thanh Thủ,Phó Giám đốc,,,
Ông Nguyễn Ngọc Ánh,Ông Nguyễn Ngọc Ánh,Ông Nguyễn Ngọc Ánh,Phó Giám đốc,,,
Ông Trịnh Xuân Nhân,Ông Trịnh Xuân Nhân,Ông Trịnh Xuân Nhân,Phó Giám đốc,bổ nhiệm ngày 19 tháng 4 năm 2015,,
Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Phó Giám đốc,bổ nhiệm ngày 19 tháng 4 năm 2015,,
Ông Hoàng Đình Quý,Ông Hoàng Đình Quý,Ông Hoàng Đình Quý,Phó Giám đốc,bổ nhiệm ngày 19 tháng 4 năm 2015,,
Ông Nguyễn Quan Anh,Ông Nguyễn Quan Anh,Ông Nguyễn Quan Anh,Phó Giám đốc,bổ nhiệm ngày 19 tháng 4 năm 2015,,
Ông Võ Nguyễn Công Bửu,Ông Võ Nguyễn Công Bửu,Ông Võ Nguyễn Công Bửu,Phó Giám đốc,từ nhiệm ngày 19 tháng 4 năm 2015,,
Ông Mai Đình Hồng,Ông Mai Đình Hồng,Ông Mai Đình Hồng,Phó Giám đốc,từ nhiệm ngày 19 tháng 4 năm 2015,,
