row_label_raw,row_label_full,col_0,Kinh doanhbất động sản,Kinh doanhdịch vụ khách sạn,Hoạt động xây lắp,Hoạt động cho thuêvà các hoạt độngkhác,Điều chỉnhvà loại trừ,Đơn vị tính: VND,numeric__Kinh doanhbất động sản,numeric__Kinh doanhdịch vụ khách sạn,numeric__Hoạt động xây lắp,numeric__Hoạt động cho thuêvà các hoạt độngkhác,numeric__Điều chỉnhvà loại trừ,numeric__Đơn vị tính: VND
Doanh thu,Doanh thu,Doanh thu,1.037.558.266.983,60.072.033.760,93.691.765.716,151.100.022.446,-,1.342.422.088.905,1037558266983.0,60072033760.0,93691765716.0,151100022446.0,,1342422088905.0
Doanh thu từ bán hàng rabên ngoài,Doanh thu từ bán hàng rabên ngoài,Doanh thu từ bán hàng rabên ngoài,1.037.558.266.983,60.072.033.760,93.691.765.716,151.100.022.446,-,1.342.422.088.905,1037558266983.0,60072033760.0,93691765716.0,151100022446.0,,1342422088905.0
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.037.558.266.983,60.072.033.760,93.691.765.716,151.100.022.446,-,1.342.422.088.905,1037558266983.0,60072033760.0,93691765716.0,151100022446.0,,1342422088905.0
Kết quả,Kết quả,Kết quả,,,,,,,,,,,,
Lợi nhuận/(lỗ) gộp trướcthuế của bộ phận,Kết quả > Lợi nhuận/(lỗ) gộp trướcthuế của bộ phận,Lợi nhuận/(lỗ) gộp trướcthuế của bộ phận,543.408.735.417,16.535.378.707,11.622.986.622,96.843.363.707,-,668.410.464.453,543408735417.0,16535378707.0,11622986622.0,96843363707.0,,668410464453.0
Thu nhập/(chi phí) khôngphân bổ (i),Kết quả > Thu nhập/(chi phí) khôngphân bổ (i),Thu nhập/(chi phí) khôngphân bổ (i),,,,,112.538.583.412,112.538.583.412,,,,,112538583412.0,112538583412.0
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,473.803.419.675,10.468.903.877,5.512.082.435,86.988.092.514,112.538.583.412,689.311.081.913,473803419675.0,10468903877.0,5512082435.0,86988092514.0,112538583412.0,689311081913.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,(138.799.502.185),,,,,(138.799.502.185),-138799502185.0,,,,,-138799502185.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,335.003.917.490,10.468.903.877,5.512.082.435,86.988.092.514,112.538.583.412,550.511.579.728,335003917490.0,10468903877.0,5512082435.0,86988092514.0,112538583412.0,550511579728.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,1.186.943.294.440,232.600.571.971,329.652.485.711,605.762.340.046,,2.354.958.692.168,1186943294440.0,232600571971.0,329652485711.0,605762340046.0,,2354958692168.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,,6.109.076.047.797,6.109.076.047.797,,,,,6109076047797.0,6109076047797.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,1.186.943.294.440,232.600.571.971,329.652.485.711,605.762.340.046,6.109.076.047.797,8.464.034.739.965,1186943294440.0,232600571971.0,329652485711.0,605762340046.0,6109076047797.0,8464034739965.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,1.231.077.015.021,6.930.444.271,12.945.345.851,75.652.190.879,,1.326.604.996.022,1231077015021.0,6930444271.0,12945345851.0,75652190879.0,,1326604996022.0
Công nợ không phân bổ (iii),Tài sản và công nợ > Công nợ không phân bổ (iii),Công nợ không phân bổ (iii),,,,,2.471.250.986.731,2.471.250.986.731,,,,,2471250986731.0,2471250986731.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,1.231.077.015.021,6.930.444.271,12.945.345.851,75.652.190.879,2.471.250.986.731,3.797.855.982.753,1231077015021.0,6930444271.0,12945345851.0,75652190879.0,2471250986731.0,3797855982753.0
