row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận chuyểnTriệu đồng,KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận chuyểnTriệu đồng,numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.700.403,1.419.220,527.801,159.239,5.806.663,3700403.0,1419220.0,527801.0,159239.0,5806663.0
Tăng do mua mới và nâng cấp trong năm,Nguyên giá > Tăng do mua mới và nâng cấp trong năm,Tăng do mua mới và nâng cấp trong năm,4.244,67.347,117.889,45.486,234.966,4244.0,67347.0,117889.0,45486.0,234966.0
Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định (Thuyết minh số 16.1),Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định (Thuyết minh số 16.1),Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định (Thuyết minh số 16.1),15.152,117.206,-,1.665,134.023,15152.0,117206.0,,1665.0,134023.0
Kết chuyển từ tài sản nhận cần trừ nợ,Nguyên giá > Kết chuyển từ tài sản nhận cần trừ nợ,Kết chuyển từ tài sản nhận cần trừ nợ,17.459,-,-,-,17.459,17459.0,,,,17459.0
Thanh lý và nhượng bán,Nguyên giá > Thanh lý và nhượng bán,Thanh lý và nhượng bán,(25.469),(33.152),(47.877),(7.856),(114.354),-25469.0,-33152.0,-47877.0,-7856.0,-114354.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,560,-,40,600,,560.0,,40.0,600.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.711.789,1.571.181,597.813,198.574,6.079.357,3711789.0,1571181.0,597813.0,198574.0,6079357.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,585.457,834.883,273.949,67.748,1.762.037,585457.0,834883.0,273949.0,67748.0,1762037.0
Khấu hao trong năm (Thuyết minh số 33),Giá trị khấu hao lũy kế > Khấu hao trong năm (Thuyết minh số 33),Khấu hao trong năm (Thuyết minh số 33),90.726,141.898,42.210,16.519,291.353,90726.0,141898.0,42210.0,16519.0,291353.0
Trích từ Quỹ Phát triển Khoa học và Công nghệ,Giá trị khấu hao lũy kế > Trích từ Quỹ Phát triển Khoa học và Công nghệ,Trích từ Quỹ Phát triển Khoa học và Công nghệ,-,3.894,-,-,3.894,,3894.0,,,3894.0
Thanh lý và nhượng bán,Giá trị khấu hao lũy kế > Thanh lý và nhượng bán,Thanh lý và nhượng bán,(4.323),(31.079),(19.419),(6.433),(61.254),-4323.0,-31079.0,-19419.0,-6433.0,-61254.0
Tăng khác,Giá trị khấu hao lũy kế > Tăng khác,Tăng khác,-,560,-,40,600,,560.0,,40.0,600.0
Số dư cuối năm,Giá trị khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,671.860,950.156,296.740,77.874,1.996.630,671860.0,950156.0,296740.0,77874.0,1996630.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.114.946,584.337,253.852,91.491,4.044.626,3114946.0,584337.0,253852.0,91491.0,4044626.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.039.929,621.025,301.073,120.700,4.082.727,3039929.0,621025.0,301073.0,120700.0,4082727.0
