row_label_raw,row_label_full,col_0,Khách hàng cá nhân và doanh nghiệp Triệu VND,Hoạt động đầu tư Triệu VND,Hoạt động liên ngân hàng Triệu VND,Hoạt động chung không phân bổ Triệu VND,Tổng cộng Triệu VND,numeric__Khách hàng cá nhân và doanh nghiệp Triệu VND,numeric__Hoạt động đầu tư Triệu VND,numeric__Hoạt động liên ngân hàng Triệu VND,numeric__Hoạt động chung không phân bổ Triệu VND,numeric__Tổng cộng Triệu VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,
Tiền mặt và vàng,TÀI SẢN > Tiền mặt và vàng,Tiền mặt và vàng,-,-,-,7.948.136,7.948.136,,,,7948136.0,7948136.0
Tiền gửi tại NHNNVN,TÀI SẢN > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,15.773.101,-,15.773.101,,,15773101.0,,15773101.0
Tiền gửi và cho vay các TCTD khác,TÀI SẢN > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,92.252.625,-,92.252.625,,,92252625.0,,92252625.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,-,-,,,,,
Cho vay khách hàng – thuần,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Cho vay khách hàng – thuần,Cho vay khách hàng – thuần,518.699.691,-,-,-,518.699.691,518699691.0,,,,518699691.0
Chứng khoán đầu tư – thuần,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Chứng khoán đầu tư – thuần,Chứng khoán đầu tư – thuần,-,85.638.228,-,-,85.638.228,,85638228.0,,,85638228.0
"Góp vốn, đầu tư dài hạn – thuần","Các công cụ tài chính phải sinh và các tài sản tài chính khác > Góp vốn, đầu tư dài hạn – thuần","Góp vốn, đầu tư dài hạn – thuần",-,3.614.879,-,-,3.614.879,,3614879.0,,,3614879.0
Tài sản cố định,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Tài sản cố định,Tài sản cố định,-,-,-,7.133.243,7.133.243,,,,7133243.0,7133243.0
Tài sản Có khác – thuần,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Tài sản Có khác – thuần,Tài sản Có khác – thuần,6.998.397,1.777.156,49.717,1.157.948,9.983.218,6998397.0,1777156.0,49717.0,1157948.0,9983218.0
TỔNG TÀI SẢN,Các công cụ tài chính phải sinh và các tài sản tài chính khác > TỔNG TÀI SẢN,TỔNG TÀI SẢN,525.698.088,91.030.263,108.075.443,16.239.327,741.043.121,525698088.0,91030263.0,108075443.0,16239327.0,741043121.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,
Các khoản nợ Chính phủ và NHNNVN,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,54.255,-,54.255,,,54255.0,,54255.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,71.580.613,-,71.580.613,,,71580613.0,,71580613.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,561.741.401,-,-,-,561.741.401,561741401.0,,,,561741401.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,54.007,-,54.007,,,54007.0,,54007.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,11.453.523,-,25.300.000,-,36.753.523,11453523.0,,25300000.0,,36753523.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,10.964.510,-,510.610,5.293.672,16.768.792,10964510.0,,510610.0,5293672.0,16768792.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,584.159.434,-,97.499.485,5.293.672,686.952.591,584159434.0,,97499485.0,5293672.0,686952591.0
