row_label_raw,row_label_full,col_0,EURđược quyđời,USDđược quyđời,Các ngoạihối khácđược quyđời,Tổng,numeric__EURđược quyđời,numeric__USDđược quyđời,numeric__Các ngoạihối khácđược quyđời,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
"I. Tiền mặt, vàng bạc, đá quý","TÀI SẢN > I. Tiền mặt, vàng bạc, đá quý","I. Tiền mặt, vàng bạc, đá quý",6.312,38.417,-,44.729,6312.0,38417.0,,44729.0
II. Tiền gửi tại NHNN,TÀI SẢN > II. Tiền gửi tại NHNN,II. Tiền gửi tại NHNN,-,3.337,-,3.337,,3337.0,,3337.0
"III. Tiền, vàng gửi và cho vay các TCTD khác (*)","TÀI SẢN > III. Tiền, vàng gửi và cho vay các TCTD khác (*)","III. Tiền, vàng gửi và cho vay các TCTD khác (*)",3.627,1.148.720,511.108,1.663.455,3627.0,1148720.0,511108.0,1663455.0
VI. Cho vay khách hàng (*),TÀI SẢN > VI. Cho vay khách hàng (*),VI. Cho vay khách hàng (*),-,67.617,-,67.617,,67617.0,,67617.0
X. Tài sản có khác,TÀI SẢN > X. Tài sản có khác,X. Tài sản có khác,-,1.188,1,1.189,,1188.0,1.0,1189.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,9.939,1.259.279,511.109,1.780.327,9939.0,1259279.0,511109.0,1780327.0
NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,
I. Tiền gửi và vay từ NHNN và các TCTD khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > I. Tiền gửi và vay từ NHNN và các TCTD khác,I. Tiền gửi và vay từ NHNN và các TCTD khác,-,453.844,-,453.844,,453844.0,,453844.0
II. Tiền gửi của khách hàng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > II. Tiền gửi của khách hàng,II. Tiền gửi của khách hàng,2.858,116.008,11,118.877,2858.0,116008.0,11.0,118877.0
III. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > III. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,III. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,1.947.900,-,1.947.900,,1947900.0,,1947900.0
VI. Các khoản nợ khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > VI. Các khoản nợ khác,VI. Các khoản nợ khác,104,121,229,454,104.0,121.0,229.0,454.0
Tổng nợ phải trả và vốn chủ sở hữu,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,2.962,2.517.873,240,2.521.075,2962.0,2517873.0,240.0,2521075.0
Trạng thái tiền tệ nội bảng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,6.977,(1.258.594),510.869,(740.748),6977.0,-1258594.0,510869.0,-740748.0
Trạng thái tiền tệ ngoại bảng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,(566.250),-,(566.250),,-566250.0,,-566250.0
Trạng thái tiền tệ nội ngoại bảng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Trạng thái tiền tệ nội ngoại bảng,Trạng thái tiền tệ nội ngoại bảng,6.977,(1.824.844),510.869,(1.306.998),6977.0,-1824844.0,510869.0,-1306998.0
