row_label_raw,row_label_full,STT > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Tên đơn vị > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Tỷ lệ sở hữu của Tập đoàn > 31/12/2017 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Tỷ lệ sở hữu của Tập đoàn > 1/1/2017 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Giá trị đầu tư theo mênh giá VND > 31/12/2017 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,Giá trị đầu tư theo mênh giá VND > 1/1/2017 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Tên đơn vị > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Tỷ lệ sở hữu của Tập đoàn > 31/12/2017 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Tỷ lệ sở hữu của Tập đoàn > 1/1/2017 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Giá trị đầu tư theo mênh giá VND > 31/12/2017 > Công ty liên kết của Tập đoàn Đệt May Việt Nam,numeric__Giá trị đầu tư theo mênh giá VND > 1/1/2017 > Công ty liên kết của Tập đoàn Đệt May Việt Nam
1,1,1,Tổng Công ty May Nhà Bè - CTCP,"27,69%","27,69%",50.400.000.000,50.400.000.000,,0.27690000000000003,0.27690000000000003,50400000000.0,50400000000.0
2,2,2,Tổng Công ty May Đức Giang – CTCP (i),"35,20%","36,79%",25.277.683.200,22.740.680.000,,0.35200000000000004,0.3679,25277683200.0,22740680000.0
3,3,3,Công ty CP May Hưng Yên,"35,01%","35,01%",47.434.460.000,47.434.460.000,,0.35009999999999997,0.35009999999999997,47434460000.0,47434460000.0
4,4,4,Công ty CP May Bình Minh,"25,00%","25,00%",9.450.000.000,9.450.000.000,,0.25,0.25,9450000000.0,9450000000.0
5,5,5,Công ty CP May Hữu Nghị (ii),"29,24%","29,24%",34.766.360.000,27.508.330.000,,0.2924,0.2924,34766360000.0,27508330000.0
6,6,6,Công ty CP May Đồng Nai (ii),"25,70%","25,70%",28.049.772.960,15.331.680.000,,0.257,0.257,28049772960.0,15331680000.0
7,7,7,Công ty CP Vinatex OJ,"35,00%","35,00%",10.143.000.000,10.143.000.000,,0.35,0.35,10143000000.0,10143000000.0
8,8,8,Công ty CP May Chiến Thắng,"21,99%","21,99%",6.120.000.000,6.120.000.000,,0.21989999999999998,0.21989999999999998,6120000000.0,6120000000.0
9,9,9,Công ty CP Vinatex Đà Nẵng,"30,00%","30,00%",9.000.000.000,9.000.000.000,,0.3,0.3,9000000000.0,9000000000.0
10,10,10,Công ty CP May Đáp Cầu,"24,04%","24,04%",12.621.000.000,12.621.000.000,,0.2404,0.2404,12621000000.0,12621000000.0
11,11,11,Công ty CP May Nam Định,"30,00%","30,00%",3.600.000.000,3.600.000.000,,0.3,0.3,3600000000.0,3600000000.0
12,12,12,Công ty TNHH May mặc Xuất khẩu Tân Châu,"44,00%","44,00%",3.564.000.000,3.564.000.000,,0.44,0.44,3564000000.0,3564000000.0
13,13,13,Công ty CP Tư vấn Xây dựng và Dịch vụ Đầu tư,"23,46%","23,46%",610.000.000,610.000.000,,0.2346,0.2346,610000000.0,610000000.0
14,14,14,Tổng Công ty CP May Việt Tiến (i),"30,40%","31,92%",134.059.200.000,134.059.200.000,,0.304,0.31920000000000004,134059200000.0,134059200000.0
15,15,15,Tổng Công ty Việt Thắng - CTCP,"46,93%","46,93%",98.550.000.000,98.550.000.000,,0.4693,0.4693,98550000000.0,98550000000.0
16,16,16,Tổng Công ty May 10 – CTCP (i),"33,80%","35,51%",63.921.240.000,63.921.240.000,,0.33799999999999997,0.35509999999999997,63921240000.0,63921240000.0
17,17,17,Công ty CP Đệt May Viễn thông Sài gòn Vina,"30,00%","30,00%",85.346.535.875,85.346.535.875,,0.3,0.3,85346535875.0,85346535875.0
18,18,18,Công ty CP Đệt May Liên Phương,"30,77%","30,77%",95.877.720.000,95.877.720.000,,0.3077,0.3077,95877720000.0,95877720000.0
19,19,19,Công ty CP Đầu tư Vinatex Tân Tạo,"27,00%","27,00%",29.700.000.000,29.700.000.000,,0.27,0.27,29700000000.0,29700000000.0
Công ty liên kết của Công ty 8-3,Công ty liên kết của Công ty 8-3,Công ty liên kết của Công ty 8-3,Công ty liên kết của Công ty 8-3,Công ty liên kết của Công ty 8-3,Công ty liên kết của Công ty 8-3,Công ty liên kết của Công ty 8-3,Công ty liên kết của Công ty 8-3,,,,,
20,Công ty liên kết của Công ty 8-3 > 20,20,Công ty CP Vinatex Quốc tế (iii),"49,00%","48,14%",49.000.000.000,48.500.000.000,,0.49,0.4814,49000000000.0,48500000000.0
Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định,Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định,Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định,Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định,Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định,Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định,Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định,Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định,,,,,
21,Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định > 21,21,Công ty CP May 1 Đệt Nam Định,"22,45%","22,45%",2.007.500.000,2.007.500.000,,0.2245,0.2245,2007500000.0,2007500000.0
