row_label_raw,row_label_full,STT,Tên đơn vị,Tổng tỷ lệ sở hữu của Tập đoàn > 31/12/2017,Tổng tỷ lệ sở hữu của Tập đoàn > 1/1/2017,Tỷ lệ sở hữu của công ty mẹ trực tiếp > 31/12/2017,Tỷ lệ sở hữu của công ty mẹ trực tiếp > 1/1/2017,Giá trị đầu tư của công ty mẹ trực tiếp theo mênh giá và giá gốc khoản đầu tư VND > 31/12/2017,Giá trị đầu tư của công ty mẹ trực tiếp theo mênh giá và giá gốc khoản đầu tư VND > 1/1/2017,Giá trị đầu tư của các công ty khác trong Tập đoàn theo mênh giá và giá gốc khoản đầu tư VND > 31/12/2017,Giá trị đầu tư của các công ty khác trong Tập đoàn theo mênh giá và giá gốc khoản đầu tư VND > 1/1/2017,numeric__Tên đơn vị,numeric__Tổng tỷ lệ sở hữu của Tập đoàn > 31/12/2017,numeric__Tổng tỷ lệ sở hữu của Tập đoàn > 1/1/2017,numeric__Tỷ lệ sở hữu của công ty mẹ trực tiếp > 31/12/2017,numeric__Tỷ lệ sở hữu của công ty mẹ trực tiếp > 1/1/2017,numeric__Giá trị đầu tư của công ty mẹ trực tiếp theo mênh giá và giá gốc khoản đầu tư VND > 31/12/2017,numeric__Giá trị đầu tư của công ty mẹ trực tiếp theo mênh giá và giá gốc khoản đầu tư VND > 1/1/2017,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn theo mênh giá và giá gốc khoản đầu tư VND > 31/12/2017,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn theo mênh giá và giá gốc khoản đầu tư VND > 1/1/2017
Công ty con của Tổng Công ty CP Đệt May Hòa Thọ,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ,,,,,,,,,
1,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ > 1,1,Công ty CP Thời trang Hòa Thọ,"49,94%","49,94%","76,88%","76,88%",2.667.900.000,2.667.900.000,-,-,,0.49939999999999996,0.49939999999999996,0.7687999999999999,0.7687999999999999,2667900000.0,2667900000.0,,
2,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ > 2,2,Công ty CP Hòa Thọ - Quảng Nam,"20,88%","20,88%","32,14%","32,14%",6.428.000.000,6.428.000.000,-,-,,0.20879999999999999,0.20879999999999999,0.3214,0.3214,6428000000.0,6428000000.0,,
3,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ > 3,3,Công ty May Hòa Thọ - Hội An,"35,19%","35,19%","54,18%","54,18%",5.418.000.000,5.418.000.000,-,-,,0.3519,0.3519,0.5418,0.5418,5418000000.0,5418000000.0,,
4,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ > 4,4,Công ty CP May Hòa Thọ - Duy Xuyên,"53,09%","53,09%","81,73%","81,73%",8.173.000.000,8.173.000.000,-,-,,0.5309,0.5309,0.8173,0.8173,8173000000.0,8173000000.0,,
5,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ > 5,5,Công ty TNHH MTV Cơ khí Xây dựng Hòa Thọ,"64,96%","64,96%",100%,100%,2.000.000.000,2.000.000.000,-,-,,0.6496,0.6496,1.0,1.0,2000000000.0,2000000000.0,,
6,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ > 6,6,Công ty CP May Hiệp Đức (i),-,"44,50%","68,50%","68,50%",13.700.000.000,13.700.000.000,-,-,,,0.445,0.685,0.685,13700000000.0,13700000000.0,,
7,Công ty con của Tổng Công ty CP Đệt May Hòa Thọ > 7,7,Công ty CP Hòa Thọ Thăng Bình,"33,13%","33,13%","51,00%","51,00%",26.520.000.000,26.520.000.000,5.200.000.000,5.200.000.000,,0.33130000000000004,0.33130000000000004,0.51,0.51,26520000000.0,26520000000.0,5200000000.0,5200000000.0
Công ty con của Tổng Công ty CP Đệt May Nam Định,Công ty con của Tổng Công ty CP Đệt May Nam Định,Công ty con của Tổng Công ty CP Đệt May Nam Định,Công ty con của Tổng Công ty CP Đệt May Nam Định,Công ty con của Tổng Công ty CP Đệt May Nam Định,Công ty con của Tổng Công ty CP Đệt May Nam Định,Công ty con của Tổng Công ty CP Đệt May Nam Định,Công ty con của Tổng Công ty CP Đệt May Nam Định,Công ty con của Tổng Công ty CP Đệt May Nam Định,Công ty con của Tổng Công ty CP Đệt May Nam Định,Công ty con của Tổng Công ty CP Đệt May Nam Định,Công ty con của Tổng Công ty CP Đệt May Nam Định,,,,,,,,,
8,Công ty con của Tổng Công ty CP Đệt May Nam Định > 8,8,Công ty CP Dịch vụ Thương mại Đệt Nam Định,"28,19%","28,19%","52,52%","52,52%",2.836.200.000,2.836.200.000,-,-,,0.28190000000000004,0.28190000000000004,0.5252,0.5252,2836200000.0,2836200000.0,,
9,Công ty con của Tổng Công ty CP Đệt May Nam Định > 9,9,Công ty CP Chăn Len Nam Định,"47,11%","47,11%","87,78%","87,78%",10.513.260.000,10.513.260.000,-,-,,0.4711,0.4711,0.8778,0.8778,10513260000.0,10513260000.0,,
10,Công ty con của Tổng Công ty CP Đệt May Nam Định > 10,10,Công ty CP May IV Đệt Nam Định,"28,69%","28,69%","53,46%","53,46%",4.009.500.000,4.009.500.000,-,-,,0.2869,0.2869,0.5346,0.5346,4009500000.0,4009500000.0,,
11,Công ty con của Tổng Công ty CP Đệt May Nam Định > 11,11,Công ty CP Đệt Khăn Đệt May Nam Định,"46,34%","46,34%","86,34%","86,34%",4.317.000.000,4.317.000.000,-,-,,0.46340000000000003,0.46340000000000003,0.8634000000000001,0.8634000000000001,4317000000.0,4317000000.0,,
12,Công ty con của Tổng Công ty CP Đệt May Nam Định > 12,12,Công ty CP Đệt - Đệt May Nam Định,"48,78%","48,78%","90,88%","90,88%",27.264.000.000,27.264.000.000,-,-,,0.4878,0.4878,0.9087999999999999,0.9087999999999999,27264000000.0,27264000000.0,,
13,Công ty con của Tổng Công ty CP Đệt May Nam Định > 13,13,Công ty CP Sợi Thanh Châu Đệt May Nam Định,"47,77%","47,77%","89,00%","89,00%",4.450.000.000,4.450.000.000,-,-,,0.4777,0.4777,0.89,0.89,4450000000.0,4450000000.0,,
14,Công ty con của Tổng Công ty CP Đệt May Nam Định > 14,14,Công ty CP May V Đệt May Nam Định,"42,22%","42,22%","78,65%","78,65%",4.326.000.000,4.326.000.000,-,-,,0.42219999999999996,0.42219999999999996,0.7865000000000001,0.7865000000000001,4326000000.0,4326000000.0,,
