row_label_raw,row_label_full,col_0,Số đầu năm > Giá trịVND,Số đầu năm > Số có khả năngtrả nợVND,Trong năm > TăngVND,Trong năm > GiảmVND,Số cuối năm > Giá trịVND,Số cuối năm > Số có khả năngtrả nợVND,numeric__Số đầu năm > Giá trịVND,numeric__Số đầu năm > Số có khả năngtrả nợVND,numeric__Trong năm > TăngVND,numeric__Trong năm > GiảmVND,numeric__Số cuối năm > Giá trịVND,numeric__Số cuối năm > Số có khả năngtrả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,7.111.809.513.905,7.111.809.513.905,87.242.249.563.794,87.475.452.036.885,6.878.607.040.814,6.878.607.040.814,7111809513905.0,7111809513905.0,87242249563794.0,87475452036885.0,6878607040814.0,6878607040814.0
Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Thành phố Hà Nội,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Thành phố Hà Nội,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Thành phố Hà Nội,4.154.449.159.315,4.154.449.159.315,47.354.214.251.321,47.318.663.410.636,4.190.000.000.000,4.190.000.000.000,4154449159315.0,4154449159315.0,47354214251321.0,47318663410636.0,4190000000000.0,4190000000000.0
Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,850.000.000.000,850.000.000.000,3.595.000.000.000,3.535.000.000.000,910.000.000.000,910.000.000.000,850000000000.0,850000000000.0,3595000000000.0,3535000000000.0,910000000000.0,910000000000.0
Ngân hàng TMCP Xuất nhập khẩu Việt Nam - Chi nhánh Long Biên,Ngân hàng TMCP Xuất nhập khẩu Việt Nam - Chi nhánh Long Biên,Ngân hàng TMCP Xuất nhập khẩu Việt Nam - Chi nhánh Long Biên,-,-,8.597.075.288.740,7.797.601.900.379,799.473.388.361,799.473.388.361,,,8597075288740.0,7797601900379.0,799473388361.0,799473388361.0
Ngân hàng TMCP Đại Chứng Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đại Chứng Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đại Chứng Việt Nam - Chi nhánh Quảng Ngãi,-,-,1.599.133.652.453,1.100.000.000.000,499.133.652.453,499.133.652.453,,,1599133652453.0,1100000000000.0,499133652453.0,499133652453.0
Ngân hàng BNP Paribas – Chi nhánh Hà Nội,Ngân hàng BNP Paribas – Chi nhánh Hà Nội,Ngân hàng BNP Paribas – Chi nhánh Hà Nội,370.000.000.000,370.000.000.000,2.513.000.000.000,2.403.000.000.000,480.000.000.000,480.000.000.000,370000000000.0,370000000000.0,2513000000000.0,2403000000000.0,480000000000.0,480000000000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,-,-,17.062.340.901.196,17.062.340.901.196,-,-,,,17062340901196.0,17062340901196.0,,
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,1.737.360.354.590,1.737.360.354.590,3.957.000.000.000,5.694.360.354.590,-,-,1737360354590.0,1737360354590.0,3957000000000.0,5694360354590.0,,
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Hội sở chính,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Hội sở chính,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Hội sở chính,-,-,2.564.485.470.084,2.564.485.470.084,-,-,,,2564485470084.0,2564485470084.0,,
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,1.919.644.760.000,1.919.644.760.000,1.871.669.058.160,1.904.586.778.160,1.886.727.040.000,1.886.727.040.000,1919644760000.0,1919644760000.0,1871669058160.0,1904586778160.0,1886727040000.0,1886727040000.0
Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi (xem Thuyết minh số 19),Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi (xem Thuyết minh số 19),Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi (xem Thuyết minh số 19),1.919.644.760.000,1.919.644.760.000,1.871.669.058.160,1.904.586.778.160,1.886.727.040.000,1.886.727.040.000,1919644760000.0,1919644760000.0,1871669058160.0,1904586778160.0,1886727040000.0,1886727040000.0
,,,9.031.454.273.905,9.031.454.273.905,89.113.918.621.954,89.380.038.815.045,8.765.334.080.814,8.765.334.080.814,9031454273905.0,9031454273905.0,89113918621954.0,89380038815045.0,8765334080814.0,8765334080814.0
