row_label_raw,row_label_full,Tên công ty,Tên công ty_1,Hoạt động chính,31/12/2021,31/12/2021_1,1/1/2021,1/1/2021_1,numeric__Tên công ty_1,numeric__Hoạt động chính,numeric__31/12/2021,numeric__31/12/2021_1,numeric__1/1/2021,numeric__1/1/2021_1
Tên công ty,Tên công ty,Tên công ty,Tên công ty,Hoạt động chính,% quyền sở hữu,% quyền biểu quyết,% quyền sở hữu,% quyền biểu quyết,,,,,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,,,,,,,,,,,
1,Các công ty con > 1,1,Công ty Cổ phần Sài Gòn Lương thực,"Sản xuất, chế biến lương thực, dịch vụ xuất nhập khẩu",51%,51%,51%,51%,,,0.51,0.51,0.51,0.51
2,Các công ty con > 2,2,Công ty Cổ phần Lương thực Nam Trung Bộ,"Sản xuất, chế biến lương thực, dịch vụ xuất nhập khẩu","66,27%","66,27%","66,27%","66,27%",,,0.6627,0.6627,0.6627,0.6627
3,Các công ty con > 3,3,Công ty Cổ phần Lương thực Thực phẩm Safoco,"Sản xuất, chế biến thực phẩm, kinh doanh thương mại","51,3%","51,3%","51,3%","51,3%",,,0.513,0.513,0.513,0.513
4,Các công ty con > 4,4,Công ty Cổ phần Bao bì Tiền Giang,"Sản xuất và kinh doanh, xuất nhập khẩu bao bì",60%,60%,60%,60%,,,0.6,0.6,0.6,0.6
5,Các công ty con > 5,5,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,"Kinh doanh nông sản, thực phẩm","62,5%","62,5%","62,5%","62,5%",,,0.625,0.625,0.625,0.625
6,Các công ty con > 6,6,Công ty Cổ phần Tô Châu,"Sản xuất và kinh doanh bia, cồn, rượu và nước giải khát","65,4%","65,4%","65,4%","65,4%",,,0.654,0.654,0.654,0.654
7,Các công ty con > 7,7,Công ty Cổ phần Lương thực Bình Định,"Sản xuất, chế biến lương thực",51%,51%,51%,51%,,,0.51,0.51,0.51,0.51
8,Các công ty con > 8,8,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,"Sản xuất sản phẩm cơ khí lương thực, kinh doanh lương thực",60%,60%,60%,60%,,,0.6,0.6,0.6,0.6
9,Các công ty con > 9,9,Công ty Cổ phần Lương thực Quảng Ngãi,"Sản xuất, chế biến, kinh doanh lương thực",51%,51%,51%,51%,,,0.51,0.51,0.51,0.51
10,Các công ty con > 10,10,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,"Sản xuất, chế biến, kinh doanh lương thực, thương mại","59,775%","59,775%","59,775%","59,775%",,,0.59775,0.59775,0.59775,0.59775
11,Các công ty con > 11,11,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,"Sản xuất, chế biến, kinh doanh lương thực, thương mại","83,31%","83,31%","83,31%","83,31%",,,0.8331000000000001,0.8331000000000001,0.8331000000000001,0.8331000000000001
12,Các công ty con > 12,12,Công ty Cổ phần Lương thực Hậu Giang,Công ty ngừng hoạt động từ năm 2014,"53,28%","53,28%","53,28%","53,28%",,,0.5328,0.5328,0.5328,0.5328
