row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020(Triệu VND),Quá hạn,Khônghượng lãi,Dưới1 tháng,Từ 1 đến3 tháng,Từ 3 đến6 tháng,Từ 6 đến12 tháng,Từ 1 đến 5năm,Trên 5năm,Tổng cộng,numeric__Quá hạn,numeric__Khônghượng lãi,numeric__Dưới1 tháng,numeric__Từ 1 đến3 tháng,numeric__Từ 3 đến6 tháng,numeric__Từ 6 đến12 tháng,numeric__Từ 1 đến 5năm,numeric__Trên 5năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,,1.012.074,,,,,,,1.012.074,,1012074.0,,,,,,,1012074.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,,,3.374.301,,,,,,3.374.301,,,3374301.0,,,,,,3374301.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,,,23.151.828,2.588.500,,,,,25.740.328,,,23151828.0,2588500.0,,,,,25740328.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,,,2.683.659,,,,,,2.683.659,,,2683659.0,,,,,,2683659.0
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,,144.604,,,,,,,144.604,,144604.0,,,,,,,144604.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.115.319,,32.177.709,21.278.972,40.933.577,12.152.628,57.772,8.070,108.724.047,2115319.0,,32177709.0,21278972.0,40933577.0,12152628.0,57772.0,8070.0,108724047.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,,,3.001.821,3.408.741,9.152.124,14.670.986,1.584.804,319.364,32.137.840,,,3001821.0,3408741.0,9152124.0,14670986.0,1584804.0,319364.0,32137840.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",,1.858.172,,,,,,,1.858.172,,1858172.0,,,,,,,1858172.0
Tài sản cố định - thuần,Tài sản > Tài sản cố định - thuần,Tài sản cố định - thuần,,861.142,,,,,,,861.142,,861142.0,,,,,,,861142.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,,5.160.538,,,,,,,5.160.538,,5160538.0,,,,,,,5160538.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.115.319,9.036.530,64.389.318,27.276.213,50.085.701,26.823.614,1.642.576,327.434,181.696.705,2115319.0,9036530.0,64389318.0,27276213.0,50085701.0,26823614.0,1642576.0,327434.0,181696705.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,,,25.240,60.968,68.086,51.408,,,205.702,,,25240.0,60968.0,68086.0,51408.0,,,205702.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,,,39.962.336,2.457.464,280.030,,,,42.699.830,,,39962336.0,2457464.0,280030.0,,,,42699830.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,32.262.000,18.678.351,25.143.734,23.337.181,13.876.982,,113.298.248,,,32262000.0,18678351.0,25143734.0,23337181.0,13876982.0,,113298248.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,104.610,457.490,1.683.130,2.312.090,1.541.420,966.000,7.064.740,,,104610.0,457490.0,1683130.0,2312090.0,1541420.0,966000.0,7064740.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,,3.442.763,,,,,,,3.442.763,,3442763.0,,,,,,,3442763.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,3.442.763,72.354.186,21.654.273,27.174.980,25.700.679,15.418.402,966.000,166.711.283,,3442763.0,72354186.0,21654273.0,27174980.0,25700679.0,15418402.0,966000.0,166711283.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,2.115.319,5.593.767,(7.964.868),5.621.940,22.910.721,1.122.935,(13.775.826),(638.566),14.985.422,2115319.0,5593767.0,-7964868.0,5621940.0,22910721.0,1122935.0,-13775826.0,-638566.0,14985422.0
