row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Lỗ lũy kế,Ngàn VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Lỗ lũy kế,numeric__Ngàn VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,11.085.538.950,1.170.127.000,(33.305.898),12.222.360.052,11085538950.0,1170127000.0,-33305898.0,12222360052.0
"Chia thù lao choHDQT, BKS","Năm trước > Chia thù lao choHDQT, BKS","Chia thù lao choHDQT, BKS",-,-,(144.000),(144.000),,,-144000.0,-144000.0
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,(912.908.221),(912.908.221),,,-912908221.0,-912908221.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,11.085.538.950,1.170.127.000,(946.358.119),11.309.307.831,11085538950.0,1170127000.0,-946358119.0,11309307831.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,11.085.538.950,1.170.127.000,(946.358.119),11.309.307.831,11085538950.0,1170127000.0,-946358119.0,11309307831.0
"Chia thù lao choHDQT, BKS","Năm nay > Chia thù lao choHDQT, BKS","Chia thù lao choHDQT, BKS",-,-,(126.000),(126.000),,,-126000.0,-126000.0
Lỗ thuần trong năm,Năm nay > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,(926.133.417),(926.133.417),,,-926133417.0,-926133417.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,11.085.538.950,1.170.127.000,(1.872.617.536),10.383.048.414,11085538950.0,1170127000.0,-1872617536.0,10383048414.0
