row_label_raw,row_label_full,col_0,Trong nước triệu đồng,Nước ngoài triệu đồng,Tổng cộng triệu đồng,numeric__Trong nước triệu đồng,numeric__Nước ngoài triệu đồng,numeric__Tổng cộng triệu đồng
Tài sản vào ngày 31 tháng 12 năm 2018,Tài sản vào ngày 31 tháng 12 năm 2018,Tài sản vào ngày 31 tháng 12 năm 2018,133.508.705,368.883,133.877.588,133508705.0,368883.0,133877588.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,8.047.326,368.279,8.415.605,8047326.0,368279.0,8415605.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,96.138.735,-,96.138.735,96138735.0,,96138735.0
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,419.171,-,419.171,419171.0,,419171.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,28.718.803,-,28.718.803,28718803.0,,28718803.0
"Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",184.670,604,185.274,184670.0,604.0,185274.0
Công nợ vào ngày 31 tháng 12 năm 2018,Công nợ vào ngày 31 tháng 12 năm 2018,Công nợ vào ngày 31 tháng 12 năm 2018,111.036.398,14.231.654,125.268.052,111036398.0,14231654.0,125268052.0
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,832.575,-,832.575,832575.0,,832575.0
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,19.231.966,10.167.981,29.399.947,19231966.0,10167981.0,29399947.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,80.798.956,4.063.673,84.862.629,80798956.0,4063673.0,84862629.0
Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,20.471,-,20.471,20471.0,,20471.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,10.152.430,-,10.152.430,10152430.0,,10152430.0
Cam kết ngoại bảng vào ngày 31 tháng 12 năm 2018,Cam kết ngoại bảng vào ngày 31 tháng 12 năm 2018,Cam kết ngoại bảng vào ngày 31 tháng 12 năm 2018,79.513.915,-,79.513.915,79513915.0,,79513915.0
