row_label_raw,row_label_full,Ông Đoàn Văn Bình,Chủ tịch,numeric__Chủ tịch
Bà Phạm Thị Mai Lan,Bà Phạm Thị Mai Lan,Bà Phạm Thị Mai Lan,Phó Chủ tịch,
Ông Lưu Đức Quang,Ông Lưu Đức Quang,Ông Lưu Đức Quang,Uỷ viên,
Ông Tạ Văn Tổ,Ông Tạ Văn Tổ,Ông Tạ Văn Tổ,Uỷ viên,
Bà Vũ Thị Lan Anh,Bà Vũ Thị Lan Anh,Bà Vũ Thị Lan Anh,Uỷ viên,
Ban Tổng giám đốc,Ban Tổng giám đốc,Ban Tổng giám đốc,Ban Tổng giám đốc,
Ông Tạ Văn Tổ,Ông Tạ Văn Tổ,Ông Tạ Văn Tổ,Tổng Giám đốc,
Bà Vũ Thị Lan Anh,Bà Vũ Thị Lan Anh,Bà Vũ Thị Lan Anh,Phó Tổng giám đốc,
Ông Cao Văn Kiên,Ông Cao Văn Kiên,Ông Cao Văn Kiên,Phó Tổng giám đốc,
Ông Trần Đạo Đức,Ông Trần Đạo Đức,Ông Trần Đạo Đức,Phó Tổng giám đốc,
Ông Nguyễn Văn Đông,Ông Nguyễn Văn Đông,Ông Nguyễn Văn Đông,Phó Tổng giám đốc (Bổ nhiệm theo Quyết định số 0101/2019/QĐ-CEO-HĐQT ngày 17/01/2019),
Bà Đỗ Phương Anh,Bà Đỗ Phương Anh,Bà Đỗ Phương Anh,Phó Tổng giám đốc (Bổ nhiệm theo Quyết định số 0202/2019/QĐ-HĐQT ngày 25/02/2019),
Bà Phan Lê Mỹ Hạnh,Bà Phan Lê Mỹ Hạnh,Bà Phan Lê Mỹ Hạnh,Phó Tổng giám đốc (Bổ nhiệm theo Quyết định số 0402/2019/QĐ-HĐQT ngày 25/2/2019),
