row_label_raw,row_label_full,col_0,TÀI SẢN,Thuyết > Mã số,Thuyết > minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__TÀI SẢN,numeric__Thuyết > Mã số,numeric__Thuyết > minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,7.012.092.363.170,7.355.084.520.681,,200.0,,7012092363170.0,7355084520681.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,19.125.282.100,18.052.806.569,,210.0,,19125282100.0,18052806569.0
1.,1.,1.,Phải thu dài hạn khác,216,8,19.125.282.100,18.052.806.569,,216.0,8.0,19125282100.0,18052806569.0
II.,II.,II.,Tài sản cố định,220,,5.439.137.959.453,5.858.949.022.221,,220.0,,5439137959453.0,5858949022221.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,5.334.570.231.936,5.763.638.916.086,,221.0,12.0,5334570231936.0,5763638916086.0
,,,- Nguyên giá,222,,13.796.728.976.500,13.679.547.010.890,,222.0,,13796728976500.0,13679547010890.0
,,,- Giá trị hao mòn lũy kế,223,,(8.462.158.744.564),(7.915.908.094.804),,223.0,,-8462158744564.0,-7915908094804.0
2.,2.,2.,Tài sản cố định vô hình,227,13,104.567.727.517,95.310.106.135,,227.0,13.0,104567727517.0,95310106135.0
,,,- Nguyên giá,228,,143.398.031.724,132.390.928.163,,228.0,,143398031724.0,132390928163.0
,,,- Giá trị hao mòn lũy kế,229,,(38.830.304.207),(37.080.822.028),,229.0,,-38830304207.0,-37080822028.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,1.031.790.459.241,952.027.372.191,,240.0,,1031790459241.0,952027372191.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,14,1.031.790.459.241,952.027.372.191,,242.0,14.0,1031790459241.0,952027372191.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,5,26.082.000.000,44.436.000.000,,250.0,5.0,26082000000.0,44436000000.0
1.,1.,1.,Đầu tư góp vốn vào đơn vị khác,253,,56.000.000.000,56.000.000.000,,253.0,,56000000000.0,56000000000.0
2.,2.,2.,Dự phòng đầu tư tài chính dài hạn,254,,(29.918.000.000),(11.564.000.000),,254.0,,-29918000000.0,-11564000000.0
V.,V.,V.,Tài sản dài hạn khác,260,,495.822.743.634,481.451.921.274,,260.0,,495822743634.0,481451921274.0
1.,1.,1.,Chi phí trả trước dài hạn,261,10,383.409.594.116,362.696.669.637,,261.0,10.0,383409594116.0,362696669637.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,28,12.764.403.292,10.831.790.217,,262.0,28.0,12764403292.0,10831790217.0
3.,3.,3.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,9,99.648.746.226,107.923.461.420,,263.0,9.0,99648746226.0,107923461420.0
VI.,VI.,VI.,Lợi thế thương mại,269,,133.918.742,167.398.426,,269.0,,133918742.0,167398426.0
,,,TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,9.385.057.537.636,8.882.950.627.392,,270.0,,9385057537636.0,8882950627392.0
