row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2017 > Triệu VND,31/12/2016 > Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2017 > Triệu VND,numeric__31/12/2016 > Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",3,503.505,426.131,,3.0,503505.0,426131.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,4,483.537,402.066,,4.0,483537.0,402066.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,5,13.124.945,6.279.533,,5.0,13124945.0,6279533.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,10.455.270,222.033,,,10455270.0,222033.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,2.669.675,6.128.000,,,2669675.0,6128000.0
3,A > 3,3,Dự phòng rủi ro,,-,(70.500),,,,-70500.0
IV,A > IV,IV,Chứng khoán kinh doanh,6,1.110.918,104.963,,6.0,1110918.0,104963.0
1,A > 1,1,Chứng khoán kinh doanh,,1.135.820,128.469,,,1135820.0,128469.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(24.902),(23.506),,,-24902.0,-23506.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính,7,35.812,29.299,,7.0,35812.0,29299.0
VI,A > VI,VI,Cho vay khách hàng,,54.874.639,47.658.336,,,54874639.0,47658336.0
1,A > 1,1,Cho vay khách hàng,8,55.487.573,48.102.315,,8.0,55487573.0,48102315.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9,(612.934),(443.979),,9.0,-612934.0,-443979.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,10,18.112.279,17.231.308,,10.0,18112279.0,17231308.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,17.810.674,16.786.010,,,17810674.0,16786010.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,595.725,611.950,,,595725.0,611950.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(294.120),(166.652),,,-294120.0,-166652.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",11,251.225,252.271,,11.0,251225.0,252271.0
4,A > 4,4,Đầu tư dài hạn khác,,287.650,287.650,,,287650.0,287650.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(36.425),(35.379),,,-36425.0,-35379.0
X,A > X,X,Tài sản cố định,,655.601,658.579,,,655601.0,658579.0
1.,A > 1.,1.,Tài sản cố định hữu hình,12,114.411,121.365,,12.0,114411.0,121365.0
a,A > a,a,Nguyên giá TSCĐ,,281.007,265.810,,,281007.0,265810.0
b,A > b,b,Hao mòn TSCĐ,,(166.596),(144.445),,,-166596.0,-144445.0
3.,A > 3.,3.,Tài sản cố định vô hình,13,541.190,537.214,,13.0,541190.0,537214.0
a,A > a,a,Nguyên giá TSCĐ,,604.991,590.482,,,604991.0,590482.0
b,A > b,b,Hao mòn TSCĐ,,(63.801),(53.268),,,-63801.0,-53268.0
XI,A > XI,XI,Bất động sản đầu tư,,8.987,15.554,,,8987.0,15554.0
a,A > a,a,Nguyên giá BĐSĐT,,8.987,15.554,,,8987.0,15554.0
XII,A > XII,XII,Tài sản Có khác,14,2.620.753,2.880.108,,14.0,2620753.0,2880108.0
1,A > 1,1,Các khoản phải thu,,80.647,95.020,,,80647.0,95020.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,2.508.156,2.721.075,,,2508156.0,2721075.0
3,A > 3,3,Tài sản thuế TNDN hoãn lại,,3.892,1.298,,,3892.0,1298.0
4,A > 4,4,Tài sản Có khác,,28.058,62.715,,,28058.0,62715.0
,,,TỔNG TÀI SẢN CÓ,,91.782.201,75.938.148,,,91782201.0,75938148.0
