row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2017 > Triệu VND,31/12/2016 > Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2017 > Triệu VND,numeric__31/12/2016 > Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,15,105.970,428.139,,15.0,105970.0,428139.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,18.837.374,7.138.426,,16.0,18837374.0,7138426.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,14.022.129,5.352.604,,,14022129.0,5352604.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,4.815.245,1.785.822,,,4815245.0,1785822.0
III,B > III,III,Tiền gửi của khách hàng,17,63.415.099,59.156.703,,17.0,63415099.0,59156703.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",18,3.887,7.901,,18.0,3887.0,7901.0
VI,B > VI,VI,Phát hành giấy tờ có giá,19,950.000,1.450.000,,19.0,950000.0,1450000.0
VII,B > VII,VII,Các khoản nợ khác,,2.095.259,1.949.870,,,2095259.0,1949870.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,1.803.323,1.547.005,,,1803323.0,1547005.0
3,B > 3,3,Các khoản phải trả và công nợ khác,20,291.936,402.865,,20.0,291936.0,402865.0
,,,TỔNG NỘ PHẢI TRẢ,,85.407.589,70.131.039,,,85407589.0,70131039.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,21,6.374.612,5.807.109,,21.0,6374612.0,5807109.0
1,B > 1,1,Vốn của tổ chức tín dụng,,5.007.398,5.007.398,,,5007398.0,5007398.0
\( a \),B > \( a \),\( a \),Vốn điều lệ,,5.000.000,5.000.000,,,5000000.0,5000000.0
\( c \),B > \( c \),\( c \),Thặng dư vốn cổ phần,,7.398,7.398,,,7398.0,7398.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,312.172,235.296,,,312172.0,235296.0
5,B > 5,5,Lợi nhuận chưa phân phối,,1.055.042,564.415,,,1055042.0,564415.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,91.782.201,75.938.148,,,91782201.0,75938148.0
