row_label_raw,row_label_full,Chỉ tiêu,Quá hạn > Trên 3 tháng,Quá hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 - 3 tháng,Trong hạn > Từ 3 - 12 tháng,Trong hạn > Trên 1 năm,Trong hạn > Trên 5 năm,Tổng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 - 3 tháng,numeric__Trong hạn > Từ 3 - 12 tháng,numeric__Trong hạn > Trên 1 năm,numeric__Trong hạn > Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,248.513,-,-,-,-,248.513,,,248513.0,,,,,248513.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,2.287.057,-,-,-,-,2.287.057,,,2287057.0,,,,,2287057.0
Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,8.460.903,-,-,-,-,8.460.903,,,8460903.0,,,,,8460903.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),11.037.201,3.710.838,2.443.448,3.167.185,14.691.229,11.563.148,8.731.210,55.344.259,11037201.0,3710838.0,2443448.0,3167185.0,14691229.0,11563148.0,8731210.0,55344259.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,288.261,1.700.000,300.000,2.009.146,4.890.716,4.201.561,13.389.684,,288261.0,1700000.0,300000.0,2009146.0,4890716.0,4201561.0,13389684.0
"Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,719.600,719.600,,,,,,,719600.0,719600.0
Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,-,-,-,-,-,-,785.746,785.746,,,,,,,785746.0,785746.0
Tài sản Có khác (*),Tài sản Có khác (*),Tài sản Có khác (*),-,-,338.391,72.683,73.691,33.632,16.135.546,16.653.943,,,338391.0,72683.0,73691.0,33632.0,16135546.0,16653943.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,11.037.201,3.999.099,15.478.312,3.539.868,16.774.066,16.487.496,30.573.663,97.889.705,11037201.0,3999099.0,15478312.0,3539868.0,16774066.0,16487496.0,30573663.0,97889705.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,9.030.301,-,-,-,-,9.030.301,,,9030301.0,,,,,9030301.0
Tiền vay từ Chính phủ và NHNN,Tiền vay từ Chính phủ và NHNN,Tiền vay từ Chính phủ và NHNN,-,-,-,-,-,-,-,-,,,,,,,,
Tiền gửi của khách hàng,Tiền vay từ Chính phủ và NHNN > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,15.305.785,13.635.546,32.521.636,15.387.100,147,76.850.214,,,15305785.0,13635546.0,32521636.0,15387100.0,147.0,76850214.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Tiền vay từ Chính phủ và NHNN > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,992,17.055,8.360,-,-,26.407,,,992.0,17055.0,8360.0,,,26407.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Tiền vay từ Chính phủ và NHNN > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,-,16.658,16.658,,,,,,,16658.0,16658.0
Phát hành giấy tờ có giá,Tiền vay từ Chính phủ và NHNN > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,1.991.125,1.175.781,3.166.906,,,,,,1991125.0,1175781.0,3166906.0
Các khoản nợ khác,Tiền vay từ Chính phủ và NHNN > Các khoản nợ khác,Các khoản nợ khác,-,-,892.642,574.411,572.133,12.577,12.578,2.064.341,,,892642.0,574411.0,572133.0,12577.0,12578.0,2064341.0
Tổng Nợ phải trả,Tiền vay từ Chính phủ và NHNN > Tổng Nợ phải trả,Tổng Nợ phải trả,-,-,25.229.720,14.227.012,33.102.129,17.390.802,1.205.164,91.154.827,,,25229720.0,14227012.0,33102129.0,17390802.0,1205164.0,91154827.0
Mức chênh thanh khoản ròng,Tiền vay từ Chính phủ và NHNN > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,11.037.201,3.999.099,(9.751.408),(10.687.144),(16.328.063),(903.306),29.368.499,6.734.878,11037201.0,3999099.0,-9751408.0,-10687144.0,-16328063.0,-903306.0,29368499.0,6734878.0
