row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,Tổng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng
,,,VND,VND,VND,VND,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,8.514.957.930.000,663.218.256.718,403.298.841.793,9.581.475.028.511,8514957930000.0,663218256718.0,403298841793.0,9581475028511.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,652.422.117.645,652.422.117.645,,,652422117645.0,652422117645.0
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,(3.500.000.000),(3.500.000.000),,,-3500000000.0,-3500000000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,8.514.957.930.000,663.218.256.718,1.052.220.959.438,10.230.397.146.156,8514957930000.0,663218256718.0,1052220959438.0,10230397146156.0
Tăng vốn trong năm (ii),Tăng vốn trong năm (ii),Tăng vốn trong năm (ii),79.340.000.000,(214.400.000),-,79.125.600.000,79340000000.0,-214400000.0,,79125600000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,123.497.695.887,123.497.695.887,,,123497695887.0,123497695887.0
"Trích lập Quỹ khen thưởng, phúc lợi (i)","Trích lập Quỹ khen thưởng, phúc lợi (i)","Trích lập Quỹ khen thưởng, phúc lợi (i)",-,-,(3.300.000.000),(3.300.000.000),,,-3300000000.0,-3300000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,8.594.297.930.000,663.003.856.718,1.172.418.655.325,10.429.720.442.043,8594297930000.0,663003856718.0,1172418655325.0,10429720442043.0
