row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bịdụng cụquản lýTriệu đồng,Tài sảncó định khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bịdụng cụquản lýTriệu đồng,numeric__Tài sảncó định khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.032.460,848.380,151.225,104.009,75.151,2.211.225,1032460.0,848380.0,151225.0,104009.0,75151.0,2211225.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,9.578,8.047,3.597,-,21.222,,9578.0,8047.0,3597.0,,21222.0
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,(15.149),145.195,5.666,29.783,4.655,170.150,-15149.0,145195.0,5666.0,29783.0,4655.0,170150.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.645),(2.510),(10.047),(5.287),(22.489),,-4645.0,-2510.0,-10047.0,-5287.0,-22489.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.017.311,998.508,162.428,127.342,74.519,2.380.108,1017311.0,998508.0,162428.0,127342.0,74519.0,2380108.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,39.961,560.641,95.574,77.150,52.327,825.653,39961.0,560641.0,95574.0,77150.0,52327.0,825653.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,27.448,154.013,19.127,21.122,11.636,233.346,27448.0,154013.0,19127.0,21122.0,11636.0,233346.0
Tăng khác,Giá trị khấu hao lũy kế > Tăng khác,Tăng khác,-,-,-,19,-,19,,,,19.0,,19.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.627),(1.732),(10.045),(5.196),(21.600),,-4627.0,-1732.0,-10045.0,-5196.0,-21600.0
Số dư cuối năm,Giá trị khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,67.409,710.027,112.969,88.246,58.767,1.037.418,67409.0,710027.0,112969.0,88246.0,58767.0,1037418.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,992.499,287.739,55.651,26.859,22.824,1.385.572,992499.0,287739.0,55651.0,26859.0,22824.0,1385572.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,949.902,288.481,49.459,39.096,15.752,1.342.690,949902.0,288481.0,49459.0,39096.0,15752.0,1342690.0
