row_label_raw,row_label_full,Tên công ty,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty TNHH Kính nổi Việt Nam (VFG),Công ty TNHH Kính nổi Việt Nam (VFG),Công ty TNHH Kính nổi Việt Nam (VFG),Bắc Ninh,"29,28%","29,28%",Sản xuất và kinh doanh kính,,0.2928,0.2928,
Công ty Cổ phần Viglacera Từ Sơn,Công ty Cổ phần Viglacera Từ Sơn,Công ty Cổ phần Viglacera Từ Sơn,Bắc Ninh,"24,93%","24,93%",Sản xuất và kinh doanh gạch,,0.2493,0.2493,
Công ty Cổ phần Viglacera Hạ Long I,Công ty Cổ phần Viglacera Hạ Long I,Công ty Cổ phần Viglacera Hạ Long I,Quảng Ninh,"26,00%","26,00%",Sản xuất và kinh doanh gạch,,0.26,0.26,
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Hà Nội,"25,00%","25,00%",Kinh doanh xuất nhập khẩu,,0.25,0.25,
Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,Hà Nội,"25,00%","25,00%",Sản xuất và kinh doanh gạch chịu lửa,,0.25,0.25,
