row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu VND,Phần mềm máy tính triệu VND,TSCĐ vô hình khác triệu VND,Tổng cộng triệu VND,numeric__Quyền sử dụng đất triệu VND,numeric__Phần mềm máy tính triệu VND,numeric__TSCĐ vô hình khác triệu VND,numeric__Tổng cộng triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.629.594,179.022,35.493,3.844.109,3629594.0,179022.0,35493.0,3844109.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,4.402,-,4.402,,4402.0,,4402.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.629.594,183.424,35.493,3.848.511,3629594.0,183424.0,35493.0,3848511.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,5.332,103.343,13.590,122.265,5332.0,103343.0,13590.0,122265.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,157,27.386,3.455,30.998,157.0,27386.0,3455.0,30998.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,5.489,130.729,17.045,153.263,5489.0,130729.0,17045.0,153263.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2015,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,3.624.262,75.679,21.903,3.721.844,3624262.0,75679.0,21903.0,3721844.0
Tại ngày 31 tháng 12 năm 2015,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,3.624.105,52.695,18.448,3.695.248,3624105.0,52695.0,18448.0,3695248.0
