row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Nguyên giá VND,Giá trị ghi sổ > Dự phòng giảm giá trị VND,Giá trị ghi sổ > Giá trị thuần VND,Giá trị hợp lý > VND,numeric__Giá trị ghi sổ > Nguyên giá VND,numeric__Giá trị ghi sổ > Dự phòng giảm giá trị VND,numeric__Giá trị ghi sổ > Giá trị thuần VND,numeric__Giá trị hợp lý > VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Chứng khoán kinh doanh,Tài sản tài chính > Chứng khoán kinh doanh,Chứng khoán kinh doanh,55.334.361.164,(1.986.021.164),53.348.340.000,67.332.840.000,55334361164.0,-1986021164.0,53348340000.0,67332840000.0
- Cổ phiếu niêm yết,Tài sản tài chính > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,10.334.361.164,(1.986.021.164),8.348.340.000,8.348.340.000,10334361164.0,-1986021164.0,8348340000.0,8348340000.0
- Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,-,-,-,-,,,,
- Chứng chỉ quỹ,- Cổ phiếu chưa niêm yết > - Chứng chỉ quỹ,- Chứng chỉ quỹ,45.000.000.000,-,45.000.000.000,58.984.500.000,45000000000.0,,45000000000.0,58984500000.0
Đầu tư nằm giữ đến ngày đáo hạn,- Cổ phiếu chưa niêm yết > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,3.018.096.549.518,(318.709.500.000),2.699.387.049.518,2.763.926.858.255,3018096549518.0,-318709500000.0,2699387049518.0,2763926858255.0
- Hợp đồng tiền gửi,- Cổ phiếu chưa niêm yết > - Hợp đồng tiền gửi,- Hợp đồng tiền gửi,1.782.537.627.389,(164.000.000.000),1.618.537.627.389,1.617.196.645.217,1782537627389.0,-164000000000.0,1618537627389.0,1617196645217.0
- Trải phiếu,- Cổ phiếu chưa niêm yết > - Trải phiếu,- Trải phiếu,1.235.558.922.129,(154.709.500.000),1.080.849.422.129,1.146.730.213.038,1235558922129.0,-154709500000.0,1080849422129.0,1146730213038.0
Đầu tư tài chính khác,- Cổ phiếu chưa niêm yết > Đầu tư tài chính khác,Đầu tư tài chính khác,616.781.114.000,(186.994.966.564),429.786.147.436,652.945.222.578,616781114000.0,-186994966564.0,429786147436.0,652945222578.0
Các khoản phải thu,- Cổ phiếu chưa niêm yết > Các khoản phải thu,Các khoản phải thu,767.339.942.916,-,767.339.942.916,767.339.942.916,767339942916.0,,767339942916.0,767339942916.0
- Phải thu các bên liên quan,- Cổ phiếu chưa niêm yết > - Phải thu các bên liên quan,- Phải thu các bên liên quan,8.443.730.072,-,8.443.730.072,8.443.730.072,8443730072.0,,8443730072.0,8443730072.0
- Phải thu cố tức và lợi nhuận,- Cổ phiếu chưa niêm yết > - Phải thu cố tức và lợi nhuận,- Phải thu cố tức và lợi nhuận,749.050.518.249,-,749.050.518.249,749.050.518.249,749050518249.0,,749050518249.0,749050518249.0
- Phải thu khác,- Cổ phiếu chưa niêm yết > - Phải thu khác,- Phải thu khác,9.845.694.595,-,9.845.694.595,9.845.694.595,9845694595.0,,9845694595.0,9845694595.0
Tiền và các khoản tương đương tiền,- Cổ phiếu chưa niêm yết > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.536.206.569.386,-,2.536.206.569.386,2.536.206.569.386,2536206569386.0,,2536206569386.0,2536206569386.0
TỔNG CỘNG,- Cổ phiếu chưa niêm yết > TỔNG CỘNG,TỔNG CỘNG,6.993.758.536.984,(507.690.487.728),6.486.068.049.256,6.787.751.433.135,6993758536984.0,-507690487728.0,6486068049256.0,6787751433135.0
