row_label_raw,row_label_full,Tài sản tài chính,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản tài chính > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",538.410,-,660.595,-,538410.0,,660595.0,
Tiền gửi tại Ngân hàng Nhà nước,Tài sản tài chính > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,4.207.486,-,6.134.683,-,4207486.0,,6134683.0,
Tiền gửi tại và cho vay các TCTD khác,Tài sản tài chính > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,15.504.604,-,18.373.502,-,15504604.0,,18373502.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,-,-,,,,
Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,-,,,,
Cho vay khách hàng,Công cụ tài chính phải sinh và các tài sản tài chính khác > Cho vay khách hàng,Cho vay khách hàng,61.431.909,(980.347),51.783.052,(623.233),61431909.0,-980347.0,51783052.0,-623233.0
Chứng khoán đầu tư,Công cụ tài chính phải sinh và các tài sản tài chính khác > Chứng khoán đầu tư,Chứng khoán đầu tư,2.973.962,-,3.384.995,(6.045),2973962.0,,3384995.0,-6045.0
"Các khoản lãi, phí phải thu","Công cụ tài chính phải sinh và các tài sản tài chính khác > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",1.393.393,-,1.437.931,-,1393393.0,,1437931.0,
Các tài sản có khác,Công cụ tài chính phải sinh và các tài sản tài chính khác > Các tài sản có khác,Các tài sản có khác,5.791.246,(99.356),3.934.649,(29.304),5791246.0,-99356.0,3934649.0,-29304.0
,,,91.841.010,(1.079.703),85.709.407,(658.582),91841010.0,-1079703.0,85709407.0,-658582.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,Số cuối năm,Số đầu năm,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,,,15.125.547,18.118.930,,,15125547.0,18118930.0
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,63.521.494,56.897.722,,,63521494.0,56897722.0
Phát hành giấy tờ có giá,Nợ phải trả tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,3.928.457,3.459.091,,,3928457.0,3459091.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả tài chính > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,,,112.476,25.404,,,112476.0,25404.0
"Các khoản lãi, phí phải trả","Nợ phải trả tài chính > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",,,1.002.054,1.607.566,,,1002054.0,1607566.0
Các khoản nợ khác,Nợ phải trả tài chính > Các khoản nợ khác,Các khoản nợ khác,,,1.332.235,1.017.403,,,1332235.0,1017403.0
,,,,,85.022.263,81.126.116,,,85022263.0,81126116.0
