row_label_raw,row_label_full,T MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo),T MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_1,T MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_2,T MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_3,T MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_4,MÃU SỐ B 09-DN,numeric__T MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_1,numeric__T MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_2,numeric__T MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_3,numeric__T MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_4,numeric__MÃU SỐ B 09-DN
Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng,,,,,
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Dịch vụ vận tải,Dịch vụ kho nổi,Thương mại,Dịch vụ khác,Tổng,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,VND,VND,VND,VND,VND,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu > Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,2.721.566.505.787,616.803.810.045,62.176.822.049,42.219.443.817,3.442.766.581.698,2721566505787.0,616803810045.0,62176822049.0,42219443817.0,3442766581698.0
Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,,,,,
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,2.103.161.519.825,427.534.344.896,58.906.110.871,35.008.740.294,2.624.610.715.886,2103161519825.0,427534344896.0,58906110871.0,35008740294.0,2624610715886.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,,,,,
Lợi nhuận gộp,Lợi nhuận gộp > Lợi nhuận gộp,Lợi nhuận gộp,618.404.985.962,189.269.465.149,3.270.711.178,7.210.703.523,818.155.865.812,618404985962.0,189269465149.0,3270711178.0,7210703523.0,818155865812.0
Chỉ phí không phân bổ,Lợi nhuận gộp > Chỉ phí không phân bổ,Chỉ phí không phân bổ,,,,,(126.713.459.226),,,,,-126713459226.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận gộp > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,691.442.406.586,,,,,691442406586.0
Doanh thu hoạt động tài chính,Lợi nhuận gộp > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,191.501.248.390,,,,,191501248390.0
Lợi nhuận khác,Lợi nhuận gộp > Lợi nhuận khác,Lợi nhuận khác,,,,,31.521.686.260,,,,,31521686260.0
Chi phí tài chính,Lợi nhuận gộp > Chi phí tài chính,Chi phí tài chính,,,,,(154.265.856.092),,,,,-154265856092.0
Lợi nhuận trước thuế,Lợi nhuận gộp > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,760.199.485.144,,,,,760199485144.0
Chi phí thuế thu nhập doanh nghiệp,Lợi nhuận gộp > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(125.336.097.704),,,,,-125336097704.0
Thuế thu nhập doanh nghiệp hoãn lại,Lợi nhuận gộp > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,(8.689.222.761),,,,,-8689222761.0
Lợi nhuận trong năm,Lợi nhuận gộp > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,626.174.164.679,,,,,626174164679.0
Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,,,,,
Khấu hao,Thông tin khác > Khấu hao,Khấu hao,,,,,488.344.327.830,,,,,488344327830.0
