row_label_raw,row_label_full,STT,Loại phải thu khóđời phải lập dự phòng,Giá trị phải thu khó đòi,Số cuối năm > Tham chiếu,Số cuối năm > Số đầu năm,Số cuối năm > Số trích lập trong năm,Số cuối năm > Số hoàn nhập trong năm,Số cuối năm,Số đầu năm,numeric__Loại phải thu khóđời phải lập dự phòng,numeric__Giá trị phải thu khó đòi,numeric__Số cuối năm > Tham chiếu,numeric__Số cuối năm > Số đầu năm,numeric__Số cuối năm > Số trích lập trong năm,numeric__Số cuối năm > Số hoàn nhập trong năm,numeric__Số cuối năm,numeric__Số đầu năm
1,1,1,Dự phòng khó đòi phải thu bán các tài sản tài chính,,,,,,,,,,,,,,,
2,2,2,"Dự phòng khó đòi phải thu và dự thu cổ tức, tiền lãi đến hạn",,,,,,,,,,,,,,,
3,3,3,Dự phòng nợ phải thu các khoản đầu tư đáo hạn,,,,,,,,,,,,,,,
4,3 > 4,4,Dự phòng nợ phải thu khác khó đòi,133.100.000,,119.130.000,2.310.000,3.300.000,118.140.000,125.070.000,,133100000.0,,119130000.0,2310000.0,3300000.0,118140000.0,125070000.0
,,,Công ty CP Lisemco,71.500.000,,71.500.000,,,71.500.000,71.500.000,,71500000.0,,71500000.0,,,71500000.0,71500000.0
,,,Công ty CP Máy Phú Thành,13.200.000,,13.200.000,,,13.200.000,13.200.000,,13200000.0,,13200000.0,,,13200000.0,13200000.0
,,,Công ty CP Thông Quảng Ninh,7.700.000,,5.390.000,2.310.000,,7.700.000,5.390.000,,7700000.0,,5390000.0,2310000.0,,7700000.0,5390000.0
,,,Công ty CP Tập đoàn Đầu tư EDX,16.500.000,,16.500.000,,,16.500.000,16.500.000,,16500000.0,,16500000.0,,,16500000.0,16500000.0
,,,Công ty CP Thương mại Hà Tây,13.200.000,,9.240.000,,,9.240.000,6.600.000,,13200000.0,,9240000.0,,,9240000.0,6600000.0
,,,Công ty CP Nhiệt Điện Quảng Ninh,,,,,,,11.880.000,,,,,,,,11880000.0
,,,Công ty CP Bê Tông Khí Viglacera,11.000.000,,3.300.000,,3.300.000,,,,11000000.0,,3300000.0,,3300000.0,,
,,,Công,133.100.000,,119.130.000,2.310.000,3.300.000,118.140.000,125.070.000,,133100000.0,,119130000.0,2310000.0,3300000.0,118140000.0,125070000.0
