row_label_raw,row_label_full,Họ và tên,Chức vụ,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Chức vụ,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,,26.999,21.413,,26999.0,21413.0
Ông Vũ Văn Tiền,Ông Vũ Văn Tiền,Ông Vũ Văn Tiền,Chủ tịch,8.180,6.465,,8180.0,6465.0
Ông Đào Mạnh Kháng,Ông Đào Mạnh Kháng,Ông Đào Mạnh Kháng,Phó Chủ tịch,9.170,6.073,,9170.0,6073.0
Ông John Chong Eng Chuan,Ông John Chong Eng Chuan,Ông John Chong Eng Chuan,Thành viên,510,1.702,,510.0,1702.0
Ông Foong Seong Yew,Ông Foong Seong Yew,Ông Foong Seong Yew,Thành viên,723,1.702,,723.0,1702.0
Ông Nguyễn Danh Lương,Ông Nguyễn Danh Lương,Ông Nguyễn Danh Lương,Thành viên,2.454,1.943,,2454.0,1943.0
Ông Trần Bá Vinh,Ông Trần Bá Vinh,Ông Trần Bá Vinh,Thành viên độc lập,555,1.852,,555.0,1852.0
Bà Đỗ Thị Nhung,Bà Đỗ Thị Nhung,Bà Đỗ Thị Nhung,Thành viên độc lập,2.188,1.676,,2188.0,1676.0
Ông Syed Ahmad Taufik Albar,Ông Syed Ahmad Taufik Albar,Ông Syed Ahmad Taufik Albar,Thành viên,1.666,-,,1666.0,
Ông Trịnh Thanh Hải,Ông Trịnh Thanh Hải,Ông Trịnh Thanh Hải,Thành viên độc lập,1.553,-,,1553.0,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,,6.841,5.125,,6841.0,5125.0
Bà Nguyễn Thị Hạnh Tâm,Bà Nguyễn Thị Hạnh Tâm,Bà Nguyễn Thị Hạnh Tâm,Trường ban,3.691,2.400,,3691.0,2400.0
Bà Nguyễn Thị Thanh Thái,Bà Nguyễn Thị Thanh Thái,Bà Nguyễn Thị Thanh Thái,Thành viênbán chuyên trách,1.632,1.225,,1632.0,1225.0
Ông Nguyễn Hồng Quang,Ông Nguyễn Hồng Quang,Ông Nguyễn Hồng Quang,Thành viênchuyên trách,1.518,1.350,,1518.0,1350.0
Bà Phạm Thị Hằng,Bà Phạm Thị Hằng,Bà Phạm Thị Hằng,Thành viênchuyên trách,-,150,,,150.0
Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,,7.550,6.050,,7550.0,6050.0
Ông Phạm Duy Hiếu,Ông Phạm Duy Hiếu,Ông Phạm Duy Hiếu,Tổng Giám đốc,5.550,6.050,,5550.0,6050.0
Ông Lê Mạnh Hùng,Ông Lê Mạnh Hùng,Ông Lê Mạnh Hùng,Tổng Giám đốc,2.000,-,,2000.0,
