row_label_raw,row_label_full,col_0,USDđược quy đổiTriệu đồng,EURđược quy đổiTriệu đồng,Các ngoại tệ khácđược quy đổiTriệu đồng,Tổng cộngTriệu đồng,numeric__USDđược quy đổiTriệu đồng,numeric__EURđược quy đổiTriệu đồng,numeric__Các ngoại tệ khácđược quy đổiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,14.591,1.184,413,16.188,14591.0,1184.0,413.0,16188.0
Tiền gửi tại NHNNViệt Nam,Tài sản > Tiền gửi tại NHNNViệt Nam,Tiền gửi tại NHNNViệt Nam,134.275,86,-,134.361,134275.0,86.0,,134361.0
Tiền gửi tại cácTCTD khác,Tài sản > Tiền gửi tại cácTCTD khác,Tiền gửi tại cácTCTD khác,1.576.929,127.460,37.177,1.741.566,1576929.0,127460.0,37177.0,1741566.0
Cho vay kháchhàng,Tài sản > Cho vay kháchhàng,Cho vay kháchhàng,1.033.238,136.455,-,1.169.693,1033238.0,136455.0,,1169693.0
Hoạt động mua nợ,Tài sản > Hoạt động mua nợ,Hoạt động mua nợ,495.240,-,-,495.240,495240.0,,,495240.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,4.455,169,-,4.624,4455.0,169.0,,4624.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,3.258.728,265.354,37.590,3.561.672,3258728.0,265354.0,37590.0,3561672.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Tiền gửi và vay cácTCTD khác,Nợ phải trả > Tiền gửi và vay cácTCTD khác,Tiền gửi và vay cácTCTD khác,1.546.656,27,-,1.546.683,1546656.0,27.0,,1546683.0
Tiền gửi của kháchhàng,Nợ phải trả > Tiền gửi của kháchhàng,Tiền gửi của kháchhàng,1.065.212,24.576,29.320,1.119.108,1065212.0,24576.0,29320.0,1119108.0
Các công cụ tàichính phải sinh vàcác tài sản tài chínhkhác,Nợ phải trả > Các công cụ tàichính phải sinh vàcác tài sản tài chínhkhác,Các công cụ tàichính phải sinh vàcác tài sản tài chínhkhác,98.542,216.020,-,314.562,98542.0,216020.0,,314562.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,5.008,257,1.658,6.923,5008.0,257.0,1658.0,6923.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,2.715.418,240.880,30.978,2.987.276,2715418.0,240880.0,30978.0,2987276.0
Trạng thái tiền tệnội bảng,Nợ phải trả > Trạng thái tiền tệnội bảng,Trạng thái tiền tệnội bảng,543.310,24.474,6.612,574.396,543310.0,24474.0,6612.0,574396.0
Trạng thái tiền tệngoại bảng,Nợ phải trả > Trạng thái tiền tệngoại bảng,Trạng thái tiền tệngoại bảng,234.939,-,1.757,236.696,234939.0,,1757.0,236696.0
"Trạng thái tiền tệnội, ngoại bảng","Nợ phải trả > Trạng thái tiền tệnội, ngoại bảng","Trạng thái tiền tệnội, ngoại bảng",778.249,24.474,8.369,811.092,778249.0,24474.0,8369.0,811092.0
