row_label_raw,row_label_full,Tại ngày 31.12.2024,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Tại ngày 31.12.2024,Tổng giá trị ghi số kế toán (theo tỷ giá ngày lập báo cáo) > Tài sảnTriệu đồng > Tại ngày 31.12.2024,Tổng giá trị ghi số kế toán (theo tỷ giá ngày lập báo cáo) > Công nợTriệu đồng > Tại ngày 31.12.2024,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Tại ngày 31.12.2024,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá ngày lập báo cáo) > Tài sảnTriệu đồng > Tại ngày 31.12.2024,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá ngày lập báo cáo) > Công nợTriệu đồng > Tại ngày 31.12.2024
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,
- Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > - Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,13.269.073,-,14.664,13269073.0,,14664.0
- Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ > - Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,46.334.463,318.435,-,46334463.0,318435.0,
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,,,
- Giao dịch hoán đổi lãi suất tiền tệ chéo,Công cụ tài chính phải sinh khác > - Giao dịch hoán đổi lãi suất tiền tệ chéo,- Giao dịch hoán đổi lãi suất tiền tệ chéo,1.892.313,-,11.885,1892313.0,,11885.0
,,,61.495.849,318.435,26.549,61495849.0,318435.0,26549.0
Số thuần,Công cụ tài chính phải sinh khác > Số thuần,Số thuần,,291.886,,,291886.0,
Tại ngày 31.12.2023,Tại ngày 31.12.2023,Tại ngày 31.12.2023,Tại ngày 31.12.2023,Tại ngày 31.12.2023,Tại ngày 31.12.2023,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,
- Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > - Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,12.512.507,79.493,-,12512507.0,79493.0,
- Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ > - Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,43.908.286,-,295.178,43908286.0,,295178.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,,,
- Giao dịch hoán đổi lãi suất tiền tệ chéo,Công cụ tài chính phải sinh khác > - Giao dịch hoán đổi lãi suất tiền tệ chéo,- Giao dịch hoán đổi lãi suất tiền tệ chéo,730.932,-,15.137,730932.0,,15137.0
,,,57.151.725,79.493,310.315,57151725.0,79493.0,310315.0
Số thuần,Công cụ tài chính phải sinh khác > Số thuần,Số thuần,,,230.822,,,230822.0
8 CHO VAY KHÁCH HÀNG,8 CHO VAY KHÁCH HÀNG,8 CHO VAY KHÁCH HÀNG,8 CHO VAY KHÁCH HÀNG,8 CHO VAY KHÁCH HÀNG,8 CHO VAY KHÁCH HÀNG,,,
8.1 Theo loại hình cho vay,8.1 Theo loại hình cho vay,8.1 Theo loại hình cho vay,8.1 Theo loại hình cho vay,8.1 Theo loại hình cho vay,8.1 Theo loại hình cho vay,,,
,,,,31.12.2024Triệu đồng,31.12.2023Triệu đồng,,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước","8.1 Theo loại hình cho vay > Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước",163.247.486,138.881.721,,163247486.0,138881721.0
Cho vay thầu chi và thể tín dụng,8.1 Theo loại hình cho vay > Cho vay thầu chi và thể tín dụng,Cho vay thầu chi và thể tín dụng,Cho vay thầu chi và thể tín dụng,941.160,944.257,,941160.0,944257.0
Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,8.1 Theo loại hình cho vay > Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,966.251,621.777,,966251.0,621777.0
Các khoản trả thay khách hàng,8.1 Theo loại hình cho vay > Các khoản trả thay khách hàng,Các khoản trả thay khách hàng,Các khoản trả thay khách hàng,-,1.169,,,1169.0
,,,,165.154.897,140.448.924,,165154897.0,140448924.0
