row_label_raw,row_label_full,"(*) Chi phí sản xuất, kinh doanh dở dang, gồm:",Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
"Dự án CSHT khu Trung tâm Chí Linh, Vũng Tàu","Dự án CSHT khu Trung tâm Chí Linh, Vũng Tàu","Dự án CSHT khu Trung tâm Chí Linh, Vũng Tàu",127.633.595.584,107.999.630.844,127633595584.0,107999630844.0
Dự án khu đô thị du lịch sinh thái Đại Phước\( ^{(i)} \),Dự án khu đô thị du lịch sinh thái Đại Phước\( ^{(i)} \),Dự án khu đô thị du lịch sinh thái Đại Phước\( ^{(i)} \),823.210.933.139,805.899.965.460,823210933139.0,805899965460.0
"Dự án khu đô thị trục đường 51B, Vũng Tàu","Dự án khu đô thị trục đường 51B, Vũng Tàu","Dự án khu đô thị trục đường 51B, Vũng Tàu",2.358.537.215,1.774.950.578,2358537215.0,1774950578.0
Dự án chung cư B13 - Vũng Tàu Gateway,Dự án chung cư B13 - Vũng Tàu Gateway,Dự án chung cư B13 - Vũng Tàu Gateway,173.276.718.027,72.517.344.131,173276718027.0,72517344131.0
"Dự án tổ hợp KS, văn phòng - Phoenix (GD 1)","Dự án tổ hợp KS, văn phòng - Phoenix (GD 1)","Dự án tổ hợp KS, văn phòng - Phoenix (GD 1)",344.726.557.748,239.326.839.978,344726557748.0,239326839978.0
Dự án căn hộ cao cấp DIC - Phoenix (GD 2),Dự án căn hộ cao cấp DIC - Phoenix (GD 2),Dự án căn hộ cao cấp DIC - Phoenix (GD 2),420.316.290.285,458.370.401.190,420316290285.0,458370401190.0
Dự án khu đô thị mới Nam Vĩnh Yên,Dự án khu đô thị mới Nam Vĩnh Yên,Dự án khu đô thị mới Nam Vĩnh Yên,949.330.409.408,719.129.651.261,949330409408.0,719129651261.0
"Dự án khu dân cư P.4, Hậu Giang","Dự án khu dân cư P.4, Hậu Giang","Dự án khu dân cư P.4, Hậu Giang",105.562.524.830,104.559.675.956,105562524830.0,104559675956.0
"Dự án khu biệt thư An Sơn, TP. Đà Lạt","Dự án khu biệt thư An Sơn, TP. Đà Lạt","Dự án khu biệt thư An Sơn, TP. Đà Lạt",-,79.139.375.808,,79139375808.0
"Dự án khu du lịch Long Tân, Nhơn Trạch","Dự án khu du lịch Long Tân, Nhơn Trạch","Dự án khu du lịch Long Tân, Nhơn Trạch",8.711.187.773,7.170.536.412,8711187773.0,7170536412.0
"Dự án khu dân cư Hiệp Phước, Nhơn Trạch\( ^{(i)} \)","Dự án khu dân cư Hiệp Phước, Nhơn Trạch\( ^{(i)} \)","Dự án khu dân cư Hiệp Phước, Nhơn Trạch\( ^{(i)} \)",121.135.768.091,73.972.489.101,121135768091.0,73972489101.0
Tổng thầu thi công Bệnh viện đa khoa Bà Rịa,Tổng thầu thi công Bệnh viện đa khoa Bà Rịa,Tổng thầu thi công Bệnh viện đa khoa Bà Rịa,3.374.999.080,3.279.349.747,3374999080.0,3279349747.0
"Dự án khu đô thị An Thới, Phú Quốc, Kiên Giang","Dự án khu đô thị An Thới, Phú Quốc, Kiên Giang","Dự án khu đô thị An Thới, Phú Quốc, Kiên Giang",-,20.368.115.022,,20368115022.0
Khách sạn DIC Star Vĩnh Yên,Khách sạn DIC Star Vĩnh Yên,Khách sạn DIC Star Vĩnh Yên,42.455.949.624,2.426.475.305,42455949624.0,2426475305.0
Dự án Block B Pullman,Dự án Block B Pullman,Dự án Block B Pullman,244.142.587.187,14.424.115.029,244142587187.0,14424115029.0
Dự án Khu phức hợp Cap Saint Jacques,Dự án Khu phức hợp Cap Saint Jacques,Dự án Khu phức hợp Cap Saint Jacques,2.894.229.758,-,2894229758.0,
Chi phí sản xuất kinh doanh dở dang khác,Chi phí sản xuất kinh doanh dở dang khác,Chi phí sản xuất kinh doanh dở dang khác,97.669.585.205,86.779.704.027,97669585205.0,86779704027.0
Công,Công,Công,3.466.799.872.954,2.797.138.619.849,3466799872954.0,2797138619849.0
