row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc",Ngàn VND Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc",numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,27.072.022,47.003.809,74.075.831,27072022.0,47003809.0,74075831.0
Giá trị khấu hao và hao mòn lũy kế,Giá trị khấu hao và hao mòn lũy kế,Giá trị khấu hao và hao mòn lũy kế,Giá trị khấu hao và hao mòn lũy kế,Giá trị khấu hao và hao mòn lũy kế,Giá trị khấu hao và hao mòn lũy kế,,,
Số đầu năm,Giá trị khấu hao và hao mòn lũy kế > Số đầu năm,Số đầu năm,(4.436.365),(7.033.172),(11.469.537),-4436365.0,-7033172.0,-11469537.0
Khấu hao và hao mòn trong năm,Giá trị khấu hao và hao mòn lũy kế > Khấu hao và hao mòn trong năm,Khấu hao và hao mòn trong năm,(739.394),(1.891.458),(2.630.852),-739394.0,-1891458.0,-2630852.0
Số cuối năm,Giá trị khấu hao và hao mòn lũy kế > Số cuối năm,Số cuối năm,(5.175.759),(8.924.630),(14.100.389),-5175759.0,-8924630.0,-14100389.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,22.635.657,39.970.637,62.606.294,22635657.0,39970637.0,62606294.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,21.896.263,38.079.179,59.975.442,21896263.0,38079179.0,59975442.0
Trong đó:Thế chấp để đảm bảo cho các khoản vay (TM số 23),Giá trị còn lại > Trong đó:Thế chấp để đảm bảo cho các khoản vay (TM số 23),Trong đó:Thế chấp để đảm bảo cho các khoản vay (TM số 23),23.005.354,40.916.366,63.921.720,23005354.0,40916366.0,63921720.0
