row_label_raw,row_label_full,col_0,31/12/2018 > Giá trị,31/12/2018 > Số có khả năng trả nợ,01/01/2018 > Giá trị,01/01/2018 > Số có khả năng trả nợ,numeric__31/12/2018 > Giá trị,numeric__31/12/2018 > Số có khả năng trả nợ,numeric__01/01/2018 > Giá trị,numeric__01/01/2018 > Số có khả năng trả nợ
,,,VND,VND,VND,VND,,,,
a) Phải trả người bán chỉ tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chỉ tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chỉ tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chỉ tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chỉ tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chỉ tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chỉ tiết theo nhà cung cấp có số dư lớn,,,,
- Công ty Cổ phần Thống Nhất 508,a) Phải trả người bán chỉ tiết theo nhà cung cấp có số dư lớn > - Công ty Cổ phần Thống Nhất 508,- Công ty Cổ phần Thống Nhất 508,2.239.847.346,2.239.847.346,2.239.847.346,2.239.847.346,2239847346.0,2239847346.0,2239847346.0,2239847346.0
- Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,a) Phải trả người bán chỉ tiết theo nhà cung cấp có số dư lớn > - Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,- Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,5.346.065.332,5.346.065.332,5.346.065.332,5.346.065.332,5346065332.0,5346065332.0,5346065332.0,5346065332.0
- Công ty TNHH Bê Tông và Xây dựng Minh Đức,a) Phải trả người bán chỉ tiết theo nhà cung cấp có số dư lớn > - Công ty TNHH Bê Tông và Xây dựng Minh Đức,- Công ty TNHH Bê Tông và Xây dựng Minh Đức,-,-,1.998.173.220,1.998.173.220,,,1998173220.0,1998173220.0
- Công ty TNHH VNT,a) Phải trả người bán chỉ tiết theo nhà cung cấp có số dư lớn > - Công ty TNHH VNT,- Công ty TNHH VNT,1.278.702.061,1.278.702.061,1.849.806.891,1.849.806.891,1278702061.0,1278702061.0,1849806891.0,1849806891.0
- Tổng Công ty Đầu tư Phát triển Hạ tầng Đô thị UDIC - Công ty TNHH MTV,a) Phải trả người bán chỉ tiết theo nhà cung cấp có số dư lớn > - Tổng Công ty Đầu tư Phát triển Hạ tầng Đô thị UDIC - Công ty TNHH MTV,- Tổng Công ty Đầu tư Phát triển Hạ tầng Đô thị UDIC - Công ty TNHH MTV,1.640.063.507,1.640.063.507,2.090.680.171,2.090.680.171,1640063507.0,1640063507.0,2090680171.0,2090680171.0
- Chi nhánh Công ty Cổ phần của số Nhựa Châu Âu tại Đà Nẵng,a) Phải trả người bán chỉ tiết theo nhà cung cấp có số dư lớn > - Chi nhánh Công ty Cổ phần của số Nhựa Châu Âu tại Đà Nẵng,- Chi nhánh Công ty Cổ phần của số Nhựa Châu Âu tại Đà Nẵng,2.672.432.244,2.672.432.244,3.372.432.244,3.372.432.244,2672432244.0,2672432244.0,3372432244.0,3372432244.0
- Công ty Cổ phần MGM Nha Trang,a) Phải trả người bán chỉ tiết theo nhà cung cấp có số dư lớn > - Công ty Cổ phần MGM Nha Trang,- Công ty Cổ phần MGM Nha Trang,5.119.660.505,5.119.660.505,5.119.660.505,5.119.660.505,5119660505.0,5119660505.0,5119660505.0,5119660505.0
- Phải trả các đối tượng khác,a) Phải trả người bán chỉ tiết theo nhà cung cấp có số dư lớn > - Phải trả các đối tượng khác,- Phải trả các đối tượng khác,40.395.690.552,40.395.690.552,45.576.876.467,45.576.876.467,40395690552.0,40395690552.0,45576876467.0,45576876467.0
