row_label_raw,row_label_full,14. Tài sản có khác,14. Tài sản có khác_1,14. Tài sản có khác_2,numeric__14. Tài sản có khác_1,numeric__14. Tài sản có khác_2
,,,31/12/2022,31/12/2021,,
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,2.584,6.750,2584.0,6750.0
2. Mua sắm tài sản cố định,2. Mua sắm tài sản cố định,2. Mua sắm tài sản cố định,11.666,12.371,11666.0,12371.0
3. Các khoản phải thu,3. Các khoản phải thu,3. Các khoản phải thu,159.217,105.159,159217.0,105159.0
4. Tài sản có khác,4. Tài sản có khác,4. Tài sản có khác,9.187,5.251,9187.0,5251.0
Cộng,Cộng,Cộng,182.654,129.531,182654.0,129531.0
14.1 Chi phí xây dựng cơ bản dở dang,14.1 Chi phí xây dựng cơ bản dở dang,14.1 Chi phí xây dựng cơ bản dở dang,31/12/2022,31/12/2021,,
Trong đó:,Trong đó:,Trong đó:,,,,
- Những công trình lớn,Trong đó: > - Những công trình lớn,- Những công trình lớn,2.584,6.750,2584.0,6750.0
Xây dựng mới chi nhánh Hà Nội,Trong đó: > Xây dựng mới chi nhánh Hà Nội,Xây dựng mới chi nhánh Hà Nội,823,823,823.0,823.0
Đất 50 Nguyễn Tất Thành Đaklak,Trong đó: > Đất 50 Nguyễn Tất Thành Đaklak,Đất 50 Nguyễn Tất Thành Đaklak,860,4.142,860.0,4142.0
Sửa chữa nhà 2C Phó Đức Chính,Trong đó: > Sửa chữa nhà 2C Phó Đức Chính,Sửa chữa nhà 2C Phó Đức Chính,-,885,,885.0
Khác,Trong đó: > Khác,Khác,901,900,901.0,900.0
Cộng,Trong đó: > Cộng,Cộng,2.584,6.750,2584.0,6750.0
14.2 Mua sắm tài sản cố định,14.2 Mua sắm tài sản cố định,14.2 Mua sắm tài sản cố định,31/12/2022,31/12/2021,,
Trong đó:,Trong đó:,Trong đó:,,,,
36 máy ATM,Trong đó: > 36 máy ATM,36 máy ATM,476,476,476.0,476.0
Năng cấp phần mềm Oracle và Module Trade Finance,Trong đó: > Năng cấp phần mềm Oracle và Module Trade Finance,Năng cấp phần mềm Oracle và Module Trade Finance,5.605,4.345,5605.0,4345.0
Phần mềm hệ thống quản lý văn bản diện tử,Trong đó: > Phần mềm hệ thống quản lý văn bản diện tử,Phần mềm hệ thống quản lý văn bản diện tử,538,538,538.0,538.0
Phần mềm phòng chống rửa tiền,Trong đó: > Phần mềm phòng chống rửa tiền,Phần mềm phòng chống rửa tiền,3.105,2.971,3105.0,2971.0
Phần mềm hóa đơn diện tử,Trong đó: > Phần mềm hóa đơn diện tử,Phần mềm hóa đơn diện tử,-,286,,286.0
Năng cấp hệ thống SAN,Trong đó: > Năng cấp hệ thống SAN,Năng cấp hệ thống SAN,-,2.838,,2838.0
Khác,Trong đó: > Khác,Khác,1.942,917,1942.0,917.0
Cộng,Trong đó: > Cộng,Cộng,11.666,12.371,11666.0,12371.0
14.3 Các khoản phải thu,14.3 Các khoản phải thu,14.3 Các khoản phải thu,31/12/2022,31/12/2021,,
- Các khoản phải thu nội bộ,14.3 Các khoản phải thu > - Các khoản phải thu nội bộ,- Các khoản phải thu nội bộ,17.846,10.089,17846.0,10089.0
Tạm ứng nghiệp vụ,14.3 Các khoản phải thu > Tạm ứng nghiệp vụ,Tạm ứng nghiệp vụ,13.169,6.849,13169.0,6849.0
Các khoản phải thu khác,14.3 Các khoản phải thu > Các khoản phải thu khác,Các khoản phải thu khác,4.677,3.240,4677.0,3240.0
- Các khoản phải thu bên ngoài,14.3 Các khoản phải thu > - Các khoản phải thu bên ngoài,- Các khoản phải thu bên ngoài,141.371,95.070,141371.0,95070.0
Khoản khác chờ Nhà nước thanh toán (**),14.3 Các khoản phải thu > Khoản khác chờ Nhà nước thanh toán (**),Khoản khác chờ Nhà nước thanh toán (**),4.781,4.664,4781.0,4664.0
"Tham ô, thiếu mất tiên, tài sản thiếu chờ xử lý (*)","14.3 Các khoản phải thu > Tham ô, thiếu mất tiên, tài sản thiếu chờ xử lý (*)","Tham ô, thiếu mất tiên, tài sản thiếu chờ xử lý (*)",14.489,14.489,14489.0,14489.0
Các khoản khác,14.3 Các khoản phải thu > Các khoản khác,Các khoản khác,122.101,75.917,122101.0,75917.0
Cộng,14.3 Các khoản phải thu > Cộng,Cộng,159.217,105.159,159217.0,105159.0
