row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2019,Địa chỉ,% sở hữu,% lợi ích kinh tế (i),Giá gốc VND,Dự phòng giảm giá VND,Giá trị hợp lý VND,numeric__Địa chỉ,numeric__% sở hữu,numeric__% lợi ích kinh tế (i),numeric__Giá gốc VND,numeric__Dự phòng giảm giá VND,numeric__Giá trị hợp lý VND
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,,,,,
▪ Mseafood Corporation,Các công ty con > ▪ Mseafood Corporation,▪ Mseafood Corporation,"Tiểu bang California, Hoa Kỳ","90,0%","90,0%",323.162.400.000,,- (****),,0.9,0.9,323162400000.0,,
▪ Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,Các công ty con > ▪ Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,▪ Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,"Tỉnh Hậu Giang, Việt Nam","98,27%","98,27%",1.587.861.174.231,,- (****),,0.9826999999999999,0.9826999999999999,1587861174231.0,,
▪ Công ty TNHH Chế biến Thủy sản Minh Quí (*),Các công ty con > ▪ Công ty TNHH Chế biến Thủy sản Minh Quí (*),▪ Công ty TNHH Chế biến Thủy sản Minh Quí (*),"Tỉnh Cà Mau, Việt Nam","97,50%","97,50%",195.000.000.000,,- (****),,0.975,0.975,195000000000.0,,
▪ Công ty TNHH Chế biến Thủy sản Minh Phát,Các công ty con > ▪ Công ty TNHH Chế biến Thủy sản Minh Phát,▪ Công ty TNHH Chế biến Thủy sản Minh Phát,"Tỉnh Cà Mau, Việt Nam","95,0%","95,0%",95.000.000.000,,- (****),,0.95,0.95,95000000000.0,,
▪ Công ty TNHH Thủy Hải sản Minh Phú – Kiên Giang (*),Các công ty con > ▪ Công ty TNHH Thủy Hải sản Minh Phú – Kiên Giang (*),▪ Công ty TNHH Thủy Hải sản Minh Phú – Kiên Giang (*),"Tỉnh Kiên Giang, Việt Nam","99,67%","99,67%",407.597.760.876,(148.650.000.000),(****),,0.9967,0.9967,407597760876.0,-148650000000.0,
▪ Công ty TNHH Sản xuất Giống Thủy sản Minh Phú (*),Các công ty con > ▪ Công ty TNHH Sản xuất Giống Thủy sản Minh Phú (*),▪ Công ty TNHH Sản xuất Giống Thủy sản Minh Phú (*),"Tỉnh Ninh Thuận, Việt Nam","99,5%","99,5%",53.383.420.074,(16.869.553.925),(****),,0.995,0.995,53383420074.0,-16869553925.0,
▪ Công ty TNHH Nười trồng Thủy sản Minh Phú – Lộc An (*),Các công ty con > ▪ Công ty TNHH Nười trồng Thủy sản Minh Phú – Lộc An (*),▪ Công ty TNHH Nười trồng Thủy sản Minh Phú – Lộc An (*),"Tỉnh Bà Rịa – Vũng Tàu, Việt Nam","100,0%","100,0%",473.880.690.554,(150.000.000.000),(****),,1.0,1.0,473880690554.0,-150000000000.0,
▪ Công ty TNHH Sản xuất Chế phẩm Sinh học Minh Phú (trước đây là “Công ty TNHH MTV Sản xuất Chế phẩm Sinh học Minh Phú”) (*),Các công ty con > ▪ Công ty TNHH Sản xuất Chế phẩm Sinh học Minh Phú (trước đây là “Công ty TNHH MTV Sản xuất Chế phẩm Sinh học Minh Phú”) (*),▪ Công ty TNHH Sản xuất Chế phẩm Sinh học Minh Phú (trước đây là “Công ty TNHH MTV Sản xuất Chế phẩm Sinh học Minh Phú”) (*),"Tỉnh Cà Mau, Việt Nam","100,0%","100,0%",4.500.000.000,(715.852.027),(****),,1.0,1.0,4500000000.0,-715852027.0,
