row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,numeric__Môi quan hệ
Tổng Công ty Xi măng Việt Nam,Tổng Công ty Xi măng Việt Nam,Tổng Công ty Xi măng Việt Nam,Công ty mẹ,
Công ty TNHH MTV Xi măng Hạ Long,Công ty TNHH MTV Xi măng Hạ Long,Công ty TNHH MTV Xi măng Hạ Long,Đơn vị thành viên trong cùng Tổng Công ty,
Công ty Cổ phần Logistics Vicem,Công ty Cổ phần Logistics Vicem,Công ty Cổ phần Logistics Vicem,Đơn vị thành viên trong cùng Tổng Công ty,
Công ty Cổ phần Bao bì Hà Tiên,Công ty Cổ phần Bao bì Hà Tiên,Công ty Cổ phần Bao bì Hà Tiên,Đơn vị thành viên trong cùng Tổng Công ty,
Công ty Cổ phần Xi măng Hạ Long,Công ty Cổ phần Xi măng Hạ Long,Công ty Cổ phần Xi măng Hạ Long,Đơn vị thành viên trong cùng Tổng Công ty,
Công ty Tư vấn Đầu tư Phát triển Xi măng,Công ty Tư vấn Đầu tư Phát triển Xi măng,Công ty Tư vấn Đầu tư Phát triển Xi măng,Đơn vị thành viên trong cùng Tổng Công ty,
Công ty Cổ phần Xi măng Vicem Hoàng Mai,Công ty Cổ phần Xi măng Vicem Hoàng Mai,Công ty Cổ phần Xi măng Vicem Hoàng Mai,Đơn vị thành viên trong cùng Tổng Công ty,
Công ty TNHH Siam City Cement Việt Nam,Công ty TNHH Siam City Cement Việt Nam,Công ty TNHH Siam City Cement Việt Nam,Công ty liên kết của Tổng Công ty,
Công ty TNHH Siam City Cement Việt Nam - Chi nhánh Kiên Giang,Công ty TNHH Siam City Cement Việt Nam - Chi nhánh Kiên Giang,Công ty TNHH Siam City Cement Việt Nam - Chi nhánh Kiên Giang,Công ty liên kết của Tổng Công ty,
Công ty Cổ phần Vicem Thạch cao Xi măng,Công ty Cổ phần Vicem Thạch cao Xi măng,Công ty Cổ phần Vicem Thạch cao Xi măng,Đơn vị thành viên trong cùng Tổng Công ty,
Trường Trung cấp nghề Kỹ thuật Xi măng,Trường Trung cấp nghề Kỹ thuật Xi măng,Trường Trung cấp nghề Kỹ thuật Xi măng,Đơn vị thành viên trong cùng Tổng Công ty,
Viện Công nghệ Xi măng,Viện Công nghệ Xi măng,Viện Công nghệ Xi măng,Đơn vị thành viên trong cùng Tổng Công ty,
Công ty Cổ phần Vicem Vật liệu Xây dựng Đà Nẵng,Công ty Cổ phần Vicem Vật liệu Xây dựng Đà Nẵng,Công ty Cổ phần Vicem Vật liệu Xây dựng Đà Nẵng,Đơn vị thành viên trong cùng Tổng Công ty,
Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Đơn vị thành viên trong cùng Tổng Công ty,
Công ty Cổ phần Năng lượng và Môi trường Vicem,Công ty Cổ phần Năng lượng và Môi trường Vicem,Công ty Cổ phần Năng lượng và Môi trường Vicem,Đơn vị thành viên trong cùng Tổng Công ty,
Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,Công ty liên kết của Công ty,
Công ty Cổ phần Vận tải và Thương mại Quốc tế,Công ty Cổ phần Vận tải và Thương mại Quốc tế,Công ty Cổ phần Vận tải và Thương mại Quốc tế,Bên liên quan khác,
