row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép VND,Nông nghiệp VND,Sản xuất công nghiệp khác VND,Bất động sản VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép VND,numeric__Nông nghiệp VND,numeric__Sản xuất công nghiệp khác VND,numeric__Bất động sản VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,,,,,,
Doanh thu thuần ra bên ngoài,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Doanh thu thuần ra bên ngoài,Doanh thu thuần ra bên ngoài,51.233.120.178.424,7.985.316.066.488,2.817.712.434.540,1.622.043.994.339,,63.658.192.673.791,51233120178424.0,7985316066488.0,2817712434540.0,1622043994339.0,,63658192673791.0
Doanh thu thuần giữa các bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,34.507.078.536.582,2.095.876.750,108.085.621.241,36.560.304.199,(34.653.820.338.772),,34507078536582.0,2095876750.0,108085621241.0,36560304199.0,-34653820338772.0,
Tổng doanh thu của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,85.740.198.715.006,7.987.411.943.238,2.925.798.055.781,1.658.604.298.538,(34.653.820.338.772),63.658.192.673.791,85740198715006.0,7987411943238.0,2925798055781.0,1658604298538.0,-34653820338772.0,63658192673791.0
Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,18.349.735.019.472,606.035.403.717,433.838.415.313,578.705.175.478,(10.935.903.061.158),9.032.410.952.822,18349735019472.0,606035403717.0,433838415313.0,578705175478.0,-10935903061158.0,9032410952822.0
Thu nhập khác,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Thu nhập khác,Thu nhập khác,751.180.909.150,2.836.887.646,4.965.484.603,4.300.049.645,(105.602.399.567),657.680.931.477,751180909150.0,2836887646.0,4965484603.0,4300049645.0,-105602399567.0,657680931477.0
Chi phí khác,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Chi phí khác,Chi phí khác,(582.603.733.733),(5.402.833.606),(601.653.980),(7.400.744.172),4.010.518.193,(591.998.447.298),-582603733733.0,-5402833606.0,-601653980.0,-7400744172.0,4010518193.0,-591998447298.0
Phấn lỗ trong công ty liên kết,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Phấn lỗ trong công ty liên kết,Phấn lỗ trong công ty liên kết,,(1.431.313.615),,,,(1.431.313.615),,-1431313615.0,,,,-1431313615.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(1.339.481.995.523),(42.474.252.047),(85.209.957.087),(136.141.722.023),,(1.603.307.926.680),-1339481995523.0,-42474252047.0,-85209957087.0,-136141722023.0,,-1603307926680.0
(Chi phí)/lợi ích thuế thu nhập hoãn lại,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > (Chi phí)/lợi ích thuế thu nhập hoãn lại,(Chi phí)/lợi ích thuế thu nhập hoãn lại,5.289.924.979,(1.019.358.304),4.456.555.534,5.175.725.890,70.991.191.424,84.894.039.523,5289924979.0,-1019358304.0,4456555534.0,5175725890.0,70991191424.0,84894039523.0
Lợi nhuận thuần sau thuế,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,17.184.120.124.345,558.544.533.791,357.448.844.383,444.638.484.818,(10.966.503.751.108),7.578.248.236.229,17184120124345.0,558544533791.0,357448844383.0,444638484818.0,-10966503751108.0,7578248236229.0
