row_label_raw,row_label_full,Hội đồng quản trị > Ông NGUYÊN TIÊN DŨNG > Ông VŨ MANH TIÊN > Ông PHẠM THỂ HIỆP > Bà TRẦN HÀI ANH > Ông TRẦN KIM CHUNG > Ông LÊ XUẤN NGHĨA > Ông TAMAKI KIDO > Ông NGUYÊN VĂN HẢO > Ông BÙI ĐỨC LONG,Chủ tịch > Phó chủ tịch > Thành viên > Thành viên độc lập > Thành viên,Ngày bổ nhiệm > 26/06/2020 > 09/11/2017 > 24/04/2015 > 26/06/2020,Ngày miễn nhiệm > 26/06/2020,numeric__Chủ tịch > Phó chủ tịch > Thành viên > Thành viên độc lập > Thành viên,numeric__Ngày bổ nhiệm > 26/06/2020 > 09/11/2017 > 24/04/2015 > 26/06/2020,numeric__Ngày miễn nhiệm > 26/06/2020
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,,,
Bà TRẦN THỊ HÀ GIANG,Bà TRẦN THỊ HÀ GIANG,Bà TRẦN THỊ HÀ GIANG,Trường ban,26/04/2018,,,,
Bà VŨ KIM PHƯỢNG,Bà VŨ KIM PHƯỢNG,Bà VŨ KIM PHƯỢNG,Thành viên,24/04/2015,,,,
Ông LÊ TRỌNG HIẾU,Ông LÊ TRỌNG HIẾU,Ông LÊ TRỌNG HIẾU,Thành viên,24/04/2015,26/06/2020,,,
Bà TRẦN THỊ MINH HUỆ,Bà TRẦN THỊ MINH HUỆ,Bà TRẦN THỊ MINH HUỆ,Thành viên,26/06/2020,,,,
Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,,,
Ông PHẠM THỂ HIỆP,Ông PHẠM THỂ HIỆP,Ông PHẠM THỂ HIỆP,Tổng Giám đốc,19/07/2019,,,,
Bà DUONG THỊ LỆ HÀ,Bà DUONG THỊ LỆ HÀ,Bà DUONG THỊ LỆ HÀ,Phó Tổng giám đốc thường trực,26/04/2018,,,,
Ông NGUYÊN ĐÌNH TUẤN,Ông NGUYÊN ĐÌNH TUẤN,Ông NGUYÊN ĐÌNH TUẤN,Phó Tổng giám đốc,26/01/2019,,,,
Ông HOÀNG TUẤN TÚ,Ông HOÀNG TUẤN TÚ,Ông HOÀNG TUẤN TÚ,Phó Tổng giám đốc,13/11/2017,20/07/2020,,,
Ông NGUYÊN HỒNG LONG,Ông NGUYÊN HỒNG LONG,Ông NGUYÊN HỒNG LONG,Phó Tổng giám đốc,21/08/2017,,,,
Ông ĐỒ DANH HÀI,Ông ĐỒ DANH HÀI,Ông ĐỒ DANH HÀI,Phó Tổng giám đốc,01/10/2019,,,,
Bà HÀ THỊ LINH,Bà HÀ THỊ LINH,Bà HÀ THỊ LINH,Phó Tổng giám đốc,19/11/2019,20/04/2020,,,
Ông TRẦN THANH QUANG,Ông TRẦN THANH QUANG,Ông TRẦN THANH QUANG,Phó Tổng giám đốc,01/10/2019,26/06/2020,,,
Bà ĐỒ THỊ THANH HƯỜNG,Bà ĐỒ THỊ THANH HƯỜNG,Bà ĐỒ THỊ THANH HƯỜNG,Kế toán trường,01/08/2016,,,,
